,word,pos,lemma,year,president
0,is,VBZ,Is,1861,Abraham Lincoln
1,there,EX,there,1861,Abraham Lincoln
2,such,JJ,such,1861,Abraham Lincoln
3,perfect,JJ,perfect,1861,Abraham Lincoln
4,identity,NN,identity,1861,Abraham Lincoln
5,of,IN,of,1861,Abraham Lincoln
6,interests,NNS,interest,1861,Abraham Lincoln
7,among,IN,among,1861,Abraham Lincoln
8,the,DT,the,1861,Abraham Lincoln
9,states,NNPS,States,1861,Abraham Lincoln
10,to,TO,to,1861,Abraham Lincoln
11,compose,VB,compose,1861,Abraham Lincoln
12,a,DT,a,1861,Abraham Lincoln
13,new,JJ,new,1861,Abraham Lincoln
14,union,NNP,Union,1861,Abraham Lincoln
15,as,IN,as,1861,Abraham Lincoln
16,to,TO,to,1861,Abraham Lincoln
17,produce,VB,produce,1861,Abraham Lincoln
18,harmony,NN,harmony,1861,Abraham Lincoln
19,only,RB,only,1861,Abraham Lincoln
20,and,CC,and,1861,Abraham Lincoln
21,prevent,NN,prevent,1861,Abraham Lincoln
22,renewed,VBN,renew,1861,Abraham Lincoln
23,secession,NN,secession,1861,Abraham Lincoln
24,plainly,RB,Plainly,1861,Abraham Lincoln
25,the,DT,the,1861,Abraham Lincoln
26,central,JJ,central,1861,Abraham Lincoln
27,idea,NN,idea,1861,Abraham Lincoln
28,of,IN,of,1861,Abraham Lincoln
29,secession,NN,secession,1861,Abraham Lincoln
30,is,VBZ,be,1861,Abraham Lincoln
31,the,DT,the,1861,Abraham Lincoln
32,essence,NN,essence,1861,Abraham Lincoln
33,of,IN,of,1861,Abraham Lincoln
34,anarchy,NN,anarchy,1861,Abraham Lincoln
35,a,DT,A,1861,Abraham Lincoln
36,majority,NN,majority,1861,Abraham Lincoln
37,held,VBN,hold,1861,Abraham Lincoln
38,in,IN,in,1861,Abraham Lincoln
39,restraint,NN,restraint,1861,Abraham Lincoln
40,by,IN,by,1861,Abraham Lincoln
41,constitutional,JJ,constitutional,1861,Abraham Lincoln
42,checks,NNS,check,1861,Abraham Lincoln
43,and,CC,and,1861,Abraham Lincoln
44,limitations,NNS,limitation,1861,Abraham Lincoln
45,and,CC,and,1861,Abraham Lincoln
46,always,RB,always,1861,Abraham Lincoln
47,changing,VBG,change,1861,Abraham Lincoln
48,easily,RB,easily,1861,Abraham Lincoln
49,with,IN,with,1861,Abraham Lincoln
50,deliberate,JJ,deliberate,1861,Abraham Lincoln
51,changes,NNS,change,1861,Abraham Lincoln
52,of,IN,of,1861,Abraham Lincoln
53,popular,JJ,popular,1861,Abraham Lincoln
54,opinions,NNS,opinion,1861,Abraham Lincoln
55,and,CC,and,1861,Abraham Lincoln
56,sentiments,NNS,sentiment,1861,Abraham Lincoln
57,is,VBZ,be,1861,Abraham Lincoln
58,the,DT,the,1861,Abraham Lincoln
59,only,JJ,only,1861,Abraham Lincoln
60,true,JJ,true,1861,Abraham Lincoln
61,sovereign,NN,sovereign,1861,Abraham Lincoln
62,of,IN,of,1861,Abraham Lincoln
63,a,DT,a,1861,Abraham Lincoln
64,free,JJ,free,1861,Abraham Lincoln
65,people,NNS,people,1861,Abraham Lincoln
66,whoever,WP,Whoever,1861,Abraham Lincoln
67,rejects,VBZ,reject,1861,Abraham Lincoln
68,it,PRP,it,1861,Abraham Lincoln
69,does,VBZ,do,1861,Abraham Lincoln
70,of,IN,of,1861,Abraham Lincoln
71,necessity,NN,necessity,1861,Abraham Lincoln
72,fly,VBP,fly,1861,Abraham Lincoln
73,to,TO,to,1861,Abraham Lincoln
74,anarchy,VB,anarchy,1861,Abraham Lincoln
75,or,CC,or,1861,Abraham Lincoln
76,to,TO,to,1861,Abraham Lincoln
77,despotism,NN,despotism,1861,Abraham Lincoln
78,unanimity,NN,Unanimity,1861,Abraham Lincoln
79,is,VBZ,be,1861,Abraham Lincoln
80,impossible,JJ,impossible,1861,Abraham Lincoln
81,the,DT,the,1861,Abraham Lincoln
82,rule,NN,rule,1861,Abraham Lincoln
83,of,IN,of,1861,Abraham Lincoln
84,a,DT,a,1861,Abraham Lincoln
85,minority,NN,minority,1861,Abraham Lincoln
86,as,IN,as,1861,Abraham Lincoln
87,a,DT,a,1861,Abraham Lincoln
88,permanent,JJ,permanent,1861,Abraham Lincoln
89,arrangement,NN,arrangement,1861,Abraham Lincoln
90,is,VBZ,be,1861,Abraham Lincoln
91,wholly,RB,wholly,1861,Abraham Lincoln
92,inadmissible,JJ,inadmissible,1861,Abraham Lincoln
93,so,CC,so,1861,Abraham Lincoln
94,that,IN,that,1861,Abraham Lincoln
95,rejecting,VBG,reject,1861,Abraham Lincoln
96,the,DT,the,1861,Abraham Lincoln
97,majority,NN,majority,1861,Abraham Lincoln
98,principle,NN,principle,1861,Abraham Lincoln
99,anarchy,NN,anarchy,1861,Abraham Lincoln
100,or,CC,or,1861,Abraham Lincoln
101,despotism,NN,despotism,1861,Abraham Lincoln
102,in,IN,in,1861,Abraham Lincoln
103,some,DT,some,1861,Abraham Lincoln
104,form,NN,form,1861,Abraham Lincoln
105,is,VBZ,be,1861,Abraham Lincoln
106,all,DT,all,1861,Abraham Lincoln
107,that,WDT,that,1861,Abraham Lincoln
108,is,VBZ,be,1861,Abraham Lincoln
109,left,VBN,leave,1861,Abraham Lincoln
110,i,PRP,I,1861,Abraham Lincoln
111,do,VBP,do,1861,Abraham Lincoln
112,not,RB,not,1861,Abraham Lincoln
113,forget,VB,forget,1861,Abraham Lincoln
114,the,DT,the,1861,Abraham Lincoln
115,position,NN,position,1861,Abraham Lincoln
116,assumed,VBN,assume,1861,Abraham Lincoln
117,by,IN,by,1861,Abraham Lincoln
118,some,DT,some,1861,Abraham Lincoln
119,that,IN,that,1861,Abraham Lincoln
120,constitutional,JJ,constitutional,1861,Abraham Lincoln
121,questions,NNS,question,1861,Abraham Lincoln
122,are,VBP,be,1861,Abraham Lincoln
123,to,TO,to,1861,Abraham Lincoln
124,be,VB,be,1861,Abraham Lincoln
125,decided,VBN,decide,1861,Abraham Lincoln
126,by,IN,by,1861,Abraham Lincoln
127,the,DT,the,1861,Abraham Lincoln
128,supreme,NNP,Supreme,1861,Abraham Lincoln
129,court,NNP,Court,1861,Abraham Lincoln
130,nor,CC,nor,1861,Abraham Lincoln
131,do,VBP,do,1861,Abraham Lincoln
132,i,PRP,I,1861,Abraham Lincoln
133,deny,VB,deny,1861,Abraham Lincoln
134,that,DT,that,1861,Abraham Lincoln
135,such,JJ,such,1861,Abraham Lincoln
136,decisions,NNS,decision,1861,Abraham Lincoln
137,must,MD,must,1861,Abraham Lincoln
138,be,VB,be,1861,Abraham Lincoln
139,binding,VBG,bind,1861,Abraham Lincoln
140,in,IN,in,1861,Abraham Lincoln
141,any,DT,any,1861,Abraham Lincoln
142,case,NN,case,1861,Abraham Lincoln
143,upon,IN,upon,1861,Abraham Lincoln
144,the,DT,the,1861,Abraham Lincoln
145,parties,NNS,party,1861,Abraham Lincoln
146,to,TO,to,1861,Abraham Lincoln
147,a,DT,a,1861,Abraham Lincoln
148,suit,NN,suit,1861,Abraham Lincoln
149,as,IN,as,1861,Abraham Lincoln
150,to,TO,to,1861,Abraham Lincoln
151,the,DT,the,1861,Abraham Lincoln
152,object,NN,object,1861,Abraham Lincoln
153,of,IN,of,1861,Abraham Lincoln
154,that,DT,that,1861,Abraham Lincoln
155,suit,NN,suit,1861,Abraham Lincoln
156,while,IN,while,1861,Abraham Lincoln
157,they,PRP,they,1861,Abraham Lincoln
158,are,VBP,be,1861,Abraham Lincoln
159,also,RB,also,1861,Abraham Lincoln
160,entitled,VBN,entitle,1861,Abraham Lincoln
161,to,TO,to,1861,Abraham Lincoln
162,very,RB,very,1861,Abraham Lincoln
163,high,JJ,high,1861,Abraham Lincoln
164,respect,NN,respect,1861,Abraham Lincoln
165,and,CC,and,1861,Abraham Lincoln
166,consideration,NN,consideration,1861,Abraham Lincoln
167,in,IN,in,1861,Abraham Lincoln
168,all,DT,all,1861,Abraham Lincoln
169,parallel,JJ,parallel,1861,Abraham Lincoln
170,cases,NNS,case,1861,Abraham Lincoln
171,by,IN,by,1861,Abraham Lincoln
172,all,DT,all,1861,Abraham Lincoln
173,other,JJ,other,1861,Abraham Lincoln
174,departments,NNS,department,1861,Abraham Lincoln
175,of,IN,of,1861,Abraham Lincoln
176,the,DT,the,1861,Abraham Lincoln
177,government,NN,government,1861,Abraham Lincoln
178,and,CC,And,1861,Abraham Lincoln
179,while,IN,while,1861,Abraham Lincoln
180,it,PRP,it,1861,Abraham Lincoln
181,is,VBZ,be,1861,Abraham Lincoln
182,obviously,RB,obviously,1861,Abraham Lincoln
183,possible,JJ,possible,1861,Abraham Lincoln
184,that,IN,that,1861,Abraham Lincoln
185,such,JJ,such,1861,Abraham Lincoln
186,decision,NN,decision,1861,Abraham Lincoln
187,may,MD,may,1861,Abraham Lincoln
188,be,VB,be,1861,Abraham Lincoln
189,erroneous,JJ,erroneous,1861,Abraham Lincoln
190,in,IN,in,1861,Abraham Lincoln
191,any,DT,any,1861,Abraham Lincoln
192,given,VBN,give,1861,Abraham Lincoln
193,case,NN,case,1861,Abraham Lincoln
194,still,RB,still,1861,Abraham Lincoln
195,the,DT,the,1861,Abraham Lincoln
196,evil,JJ,evil,1861,Abraham Lincoln
197,effect,NN,effect,1861,Abraham Lincoln
198,following,VBG,follow,1861,Abraham Lincoln
199,it,PRP,it,1861,Abraham Lincoln
200,being,VBG,be,1861,Abraham Lincoln
201,limited,VBN,limit,1861,Abraham Lincoln
202,to,TO,to,1861,Abraham Lincoln
203,that,DT,that,1861,Abraham Lincoln
204,particular,JJ,particular,1861,Abraham Lincoln
205,case,NN,case,1861,Abraham Lincoln
206,with,IN,with,1861,Abraham Lincoln
207,the,DT,the,1861,Abraham Lincoln
208,chance,NN,chance,1861,Abraham Lincoln
209,that,IN,that,1861,Abraham Lincoln
210,it,PRP,it,1861,Abraham Lincoln
211,may,MD,may,1861,Abraham Lincoln
212,be,VB,be,1861,Abraham Lincoln
213,overruled,VBN,overrule,1861,Abraham Lincoln
214,and,CC,and,1861,Abraham Lincoln
215,never,RB,never,1861,Abraham Lincoln
216,become,VB,become,1861,Abraham Lincoln
217,a,DT,a,1861,Abraham Lincoln
218,precedent,NN,precedent,1861,Abraham Lincoln
219,for,IN,for,1861,Abraham Lincoln
220,other,JJ,other,1861,Abraham Lincoln
221,cases,NNS,case,1861,Abraham Lincoln
222,can,MD,can,1861,Abraham Lincoln
223,better,RB,well,1861,Abraham Lincoln
224,be,VB,be,1861,Abraham Lincoln
225,borne,JJ,borne,1861,Abraham Lincoln
226,than,IN,than,1861,Abraham Lincoln
227,could,MD,could,1861,Abraham Lincoln
228,the,DT,the,1861,Abraham Lincoln
229,evils,NNS,evil,1861,Abraham Lincoln
230,of,IN,of,1861,Abraham Lincoln
231,a,DT,a,1861,Abraham Lincoln
232,different,JJ,different,1861,Abraham Lincoln
233,practice,NN,practice,1861,Abraham Lincoln
234,at,IN,At,1861,Abraham Lincoln
235,the,DT,the,1861,Abraham Lincoln
236,same,JJ,same,1861,Abraham Lincoln
237,time,NN,time,1861,Abraham Lincoln
238,the,DT,the,1861,Abraham Lincoln
239,candid,JJ,candid,1861,Abraham Lincoln
240,citizen,NN,citizen,1861,Abraham Lincoln
241,must,MD,must,1861,Abraham Lincoln
242,confess,VB,confess,1861,Abraham Lincoln
243,that,IN,that,1861,Abraham Lincoln
244,if,IN,if,1861,Abraham Lincoln
245,the,DT,the,1861,Abraham Lincoln
246,policy,NN,policy,1861,Abraham Lincoln
247,of,IN,of,1861,Abraham Lincoln
248,the,DT,the,1861,Abraham Lincoln
249,government,NN,government,1861,Abraham Lincoln
250,upon,IN,upon,1861,Abraham Lincoln
251,vital,JJ,vital,1861,Abraham Lincoln
252,questions,NNS,question,1861,Abraham Lincoln
253,affecting,VBG,affect,1861,Abraham Lincoln
254,the,DT,the,1861,Abraham Lincoln
255,whole,JJ,whole,1861,Abraham Lincoln
256,people,NNS,people,1861,Abraham Lincoln
257,is,VBZ,be,1861,Abraham Lincoln
258,to,TO,to,1861,Abraham Lincoln
259,be,VB,be,1861,Abraham Lincoln
260,irrevocably,RB,irrevocably,1861,Abraham Lincoln
261,fixed,VBN,fix,1861,Abraham Lincoln
262,by,IN,by,1861,Abraham Lincoln
263,decisions,NNS,decision,1861,Abraham Lincoln
264,of,IN,of,1861,Abraham Lincoln
265,the,DT,the,1861,Abraham Lincoln
266,supreme,NNP,Supreme,1861,Abraham Lincoln
267,court,NNP,Court,1861,Abraham Lincoln
268,the,DT,the,1861,Abraham Lincoln
269,instant,NN,instant,1861,Abraham Lincoln
270,they,PRP,they,1861,Abraham Lincoln
271,are,VBP,be,1861,Abraham Lincoln
272,made,VBN,make,1861,Abraham Lincoln
273,in,IN,in,1861,Abraham Lincoln
274,ordinary,JJ,ordinary,1861,Abraham Lincoln
275,litigation,NN,litigation,1861,Abraham Lincoln
276,between,IN,between,1861,Abraham Lincoln
277,parties,NNS,party,1861,Abraham Lincoln
278,in,IN,in,1861,Abraham Lincoln
279,personal,JJ,personal,1861,Abraham Lincoln
280,actions,NNS,action,1861,Abraham Lincoln
281,the,DT,the,1861,Abraham Lincoln
282,people,NNS,people,1861,Abraham Lincoln
283,will,MD,will,1861,Abraham Lincoln
284,have,VB,have,1861,Abraham Lincoln
285,ceased,VBN,cease,1861,Abraham Lincoln
286,to,TO,to,1861,Abraham Lincoln
287,be,VB,be,1861,Abraham Lincoln
288,their,PRP$,their,1861,Abraham Lincoln
289,own,JJ,own,1861,Abraham Lincoln
290,rulers,NNS,ruler,1861,Abraham Lincoln
291,having,VBG,have,1861,Abraham Lincoln
292,to,TO,to,1861,Abraham Lincoln
293,that,DT,that,1861,Abraham Lincoln
294,extent,NN,extent,1861,Abraham Lincoln
295,practically,RB,practically,1861,Abraham Lincoln
296,resigned,VBD,resign,1861,Abraham Lincoln
297,their,PRP$,their,1861,Abraham Lincoln
298,government,NN,government,1861,Abraham Lincoln
299,into,IN,into,1861,Abraham Lincoln
300,the,DT,the,1861,Abraham Lincoln
301,hands,NNS,hand,1861,Abraham Lincoln
302,of,IN,of,1861,Abraham Lincoln
303,that,DT,that,1861,Abraham Lincoln
304,eminent,JJ,eminent,1861,Abraham Lincoln
305,tribunal,NN,tribunal,1861,Abraham Lincoln
306,nor,CC,Nor,1861,Abraham Lincoln
307,is,VBZ,be,1861,Abraham Lincoln
308,there,RB,there,1861,Abraham Lincoln
309,in,IN,in,1861,Abraham Lincoln
310,this,DT,this,1861,Abraham Lincoln
311,view,NN,view,1861,Abraham Lincoln
312,any,DT,any,1861,Abraham Lincoln
313,assault,NN,assault,1861,Abraham Lincoln
314,upon,IN,upon,1861,Abraham Lincoln
315,the,DT,the,1861,Abraham Lincoln
316,court,NN,court,1861,Abraham Lincoln
317,or,CC,or,1861,Abraham Lincoln
318,the,DT,the,1861,Abraham Lincoln
319,judges,NNS,judge,1861,Abraham Lincoln
320,it,PRP,It,1861,Abraham Lincoln
321,is,VBZ,be,1861,Abraham Lincoln
322,a,DT,a,1861,Abraham Lincoln
323,duty,NN,duty,1861,Abraham Lincoln
324,from,IN,from,1861,Abraham Lincoln
325,which,WDT,which,1861,Abraham Lincoln
326,they,PRP,they,1861,Abraham Lincoln
327,may,MD,may,1861,Abraham Lincoln
328,not,RB,not,1861,Abraham Lincoln
329,shrink,VB,shrink,1861,Abraham Lincoln
330,to,TO,to,1861,Abraham Lincoln
331,decide,VB,decide,1861,Abraham Lincoln
332,cases,NNS,case,1861,Abraham Lincoln
333,properly,RB,properly,1861,Abraham Lincoln
334,brought,VBN,bring,1861,Abraham Lincoln
335,before,IN,before,1861,Abraham Lincoln
336,them,PRP,them,1861,Abraham Lincoln
337,and,CC,and,1861,Abraham Lincoln
338,it,PRP,it,1861,Abraham Lincoln
339,is,VBZ,be,1861,Abraham Lincoln
340,no,DT,no,1861,Abraham Lincoln
341,fault,NN,fault,1861,Abraham Lincoln
342,of,IN,of,1861,Abraham Lincoln
343,theirs,NNS,theirs,1861,Abraham Lincoln
344,if,IN,if,1861,Abraham Lincoln
345,others,NNS,others,1861,Abraham Lincoln
346,seek,VBP,seek,1861,Abraham Lincoln
347,to,TO,to,1861,Abraham Lincoln
348,turn,VB,turn,1861,Abraham Lincoln
349,their,PRP$,their,1861,Abraham Lincoln
350,decisions,NNS,decision,1861,Abraham Lincoln
351,to,TO,to,1861,Abraham Lincoln
352,political,JJ,political,1861,Abraham Lincoln
353,purposes,NNS,purpose,1861,Abraham Lincoln
354,one,CD,One,1861,Abraham Lincoln
355,section,NN,section,1861,Abraham Lincoln
356,of,IN,of,1861,Abraham Lincoln
357,our,PRP$,our,1861,Abraham Lincoln
358,country,NN,country,1861,Abraham Lincoln
359,believes,VBZ,believe,1861,Abraham Lincoln
360,slavery,NN,slavery,1861,Abraham Lincoln
361,is,VBZ,be,1861,Abraham Lincoln
362,right,JJ,right,1861,Abraham Lincoln
