,word,pos,lemma,year,president
0,the,DT,The,2013,Barack Obama
1,path,NN,path,2013,Barack Obama
2,towards,NNS,towards,2013,Barack Obama
3,sustainable,JJ,sustainable,2013,Barack Obama
4,energy,NN,energy,2013,Barack Obama
5,sources,NNS,source,2013,Barack Obama
6,will,MD,will,2013,Barack Obama
7,be,VB,be,2013,Barack Obama
8,long,JJ,long,2013,Barack Obama
9,and,CC,and,2013,Barack Obama
10,sometimes,RB,sometimes,2013,Barack Obama
11,difficult,JJ,difficult,2013,Barack Obama
12,but,CC,But,2013,Barack Obama
13,america,NNP,America,2013,Barack Obama
14,can,MD,can,2013,Barack Obama
15,not,RB,not,2013,Barack Obama
16,resist,VB,resist,2013,Barack Obama
17,this,DT,this,2013,Barack Obama
18,transition,NN,transition,2013,Barack Obama
19,we,PRP,we,2013,Barack Obama
20,must,MD,must,2013,Barack Obama
21,lead,VB,lead,2013,Barack Obama
22,it,PRP,it,2013,Barack Obama
23,we,PRP,We,2013,Barack Obama
24,can,MD,can,2013,Barack Obama
25,not,RB,not,2013,Barack Obama
26,cede,VB,cede,2013,Barack Obama
27,to,TO,to,2013,Barack Obama
28,other,JJ,other,2013,Barack Obama
29,nations,NNS,nation,2013,Barack Obama
30,the,DT,the,2013,Barack Obama
31,technology,NN,technology,2013,Barack Obama
32,that,WDT,that,2013,Barack Obama
33,will,MD,will,2013,Barack Obama
34,power,NN,power,2013,Barack Obama
35,new,JJ,new,2013,Barack Obama
36,jobs,NNS,job,2013,Barack Obama
37,and,CC,and,2013,Barack Obama
38,new,JJ,new,2013,Barack Obama
39,industries,NNS,industry,2013,Barack Obama
40,we,PRP,we,2013,Barack Obama
41,must,MD,must,2013,Barack Obama
42,claim,VB,claim,2013,Barack Obama
43,its,PRP$,its,2013,Barack Obama
44,promise,NN,promise,2013,Barack Obama
45,that,DT,That,2013,Barack Obama
46,’,VBZ,’,2013,Barack Obama
47,s,JJ,s,2013,Barack Obama
48,how,WRB,how,2013,Barack Obama
49,we,PRP,we,2013,Barack Obama
50,will,MD,will,2013,Barack Obama
51,maintain,VB,maintain,2013,Barack Obama
52,our,PRP$,our,2013,Barack Obama
53,economic,JJ,economic,2013,Barack Obama
54,vitality,NN,vitality,2013,Barack Obama
55,and,CC,and,2013,Barack Obama
56,our,PRP$,our,2013,Barack Obama
57,national,JJ,national,2013,Barack Obama
58,treasure,NN,treasure,2013,Barack Obama
59,--,:,--,2013,Barack Obama
60,our,PRP$,our,2013,Barack Obama
61,forests,NNS,forest,2013,Barack Obama
62,and,CC,and,2013,Barack Obama
63,waterways,NNS,waterway,2013,Barack Obama
64,our,PRP$,our,2013,Barack Obama
65,crop,NN,crop,2013,Barack Obama
66,lands,NNS,land,2013,Barack Obama
67,and,CC,and,2013,Barack Obama
68,snow-capped,JJ,snow-capped,2013,Barack Obama
69,peaks,NNS,peak,2013,Barack Obama
70,that,DT,That,2013,Barack Obama
71,is,VBZ,be,2013,Barack Obama
72,how,WRB,how,2013,Barack Obama
73,we,PRP,we,2013,Barack Obama
74,will,MD,will,2013,Barack Obama
75,preserve,VB,preserve,2013,Barack Obama
76,our,PRP$,our,2013,Barack Obama
77,planet,NN,planet,2013,Barack Obama
78,commanded,VBD,command,2013,Barack Obama
79,to,TO,to,2013,Barack Obama
80,our,PRP$,our,2013,Barack Obama
81,care,NN,care,2013,Barack Obama
82,by,IN,by,2013,Barack Obama
83,god,NNP,God,2013,Barack Obama
84,that,DT,That,2013,Barack Obama
85,’,VBZ,’,2013,Barack Obama
86,s,VBP,s,2013,Barack Obama
87,what,WP,what,2013,Barack Obama
88,will,MD,will,2013,Barack Obama
89,lend,VB,lend,2013,Barack Obama
90,meaning,NN,meaning,2013,Barack Obama
91,to,TO,to,2013,Barack Obama
92,the,DT,the,2013,Barack Obama
93,creed,NN,creed,2013,Barack Obama
94,our,PRP$,our,2013,Barack Obama
95,fathers,NNS,father,2013,Barack Obama
96,once,RB,once,2013,Barack Obama
97,declared,VBD,declare,2013,Barack Obama
98,we,PRP,We,2013,Barack Obama
99,the,DT,the,2013,Barack Obama
100,people,NNS,people,2013,Barack Obama
101,still,RB,still,2013,Barack Obama
102,believe,VB,believe,2013,Barack Obama
103,that,IN,that,2013,Barack Obama
