,word,pos,lemma,year,president
0,beloved,NNP,Beloved,1796,George Washington
1,cherokees,NNP,Cherokees,1796,George Washington
2,the,DT,The,1796,George Washington
3,wise,NN,wise,1796,George Washington
4,men,NNS,men,1796,George Washington
5,of,IN,of,1796,George Washington
6,the,DT,the,1796,George Washington
7,united,NNP,United,1796,George Washington
8,states,NNPS,States,1796,George Washington
9,meet,VBP,meet,1796,George Washington
10,together,RB,together,1796,George Washington
11,once,RB,once,1796,George Washington
12,a,DT,a,1796,George Washington
13,year,NN,year,1796,George Washington
14,to,TO,to,1796,George Washington
15,consider,VB,consider,1796,George Washington
16,what,WP,what,1796,George Washington
17,will,MD,will,1796,George Washington
18,be,VB,be,1796,George Washington
19,for,IN,for,1796,George Washington
20,the,DT,the,1796,George Washington
21,good,JJ,good,1796,George Washington
22,of,IN,of,1796,George Washington
23,all,PDT,all,1796,George Washington
24,their,PRP$,their,1796,George Washington
25,people,NNS,people,1796,George Washington
26,the,DT,The,1796,George Washington
27,wise,JJ,wise,1796,George Washington
28,men,NNS,men,1796,George Washington
29,of,IN,of,1796,George Washington
30,each,DT,each,1796,George Washington
31,separate,JJ,separate,1796,George Washington
32,state,NN,state,1796,George Washington
33,also,RB,also,1796,George Washington
34,meet,VB,meet,1796,George Washington
35,together,RB,together,1796,George Washington
36,once,RB,once,1796,George Washington
37,or,CC,or,1796,George Washington
38,twice,RB,twice,1796,George Washington
39,every,DT,every,1796,George Washington
40,year,NN,year,1796,George Washington
41,to,TO,to,1796,George Washington
42,consult,VB,consult,1796,George Washington
43,and,CC,and,1796,George Washington
44,do,VB,do,1796,George Washington
45,what,WP,what,1796,George Washington
46,is,VBZ,be,1796,George Washington
47,good,JJ,good,1796,George Washington
48,for,IN,for,1796,George Washington
49,the,DT,the,1796,George Washington
50,people,NNS,people,1796,George Washington
51,of,IN,of,1796,George Washington
52,their,PRP$,their,1796,George Washington
53,respective,JJ,respective,1796,George Washington
54,states,NNS,state,1796,George Washington
55,i,PRP,I,1796,George Washington
56,have,VBP,have,1796,George Washington
57,thought,VBN,think,1796,George Washington
58,that,IN,that,1796,George Washington
59,a,DT,a,1796,George Washington
60,meeting,NN,meeting,1796,George Washington
61,of,IN,of,1796,George Washington
62,your,PRP$,your,1796,George Washington
63,wise,NN,wise,1796,George Washington
64,men,NNS,men,1796,George Washington
65,once,RB,once,1796,George Washington
66,or,CC,or,1796,George Washington
67,twice,RB,twice,1796,George Washington
68,a,DT,a,1796,George Washington
69,year,NN,year,1796,George Washington
70,would,MD,would,1796,George Washington
71,be,VB,be,1796,George Washington
72,alike,RB,alike,1796,George Washington
73,useful,JJ,useful,1796,George Washington
74,to,TO,to,1796,George Washington
75,you,PRP,you,1796,George Washington
76,every,DT,Every,1796,George Washington
77,town,NN,town,1796,George Washington
78,might,MD,might,1796,George Washington
79,send,VB,send,1796,George Washington
80,one,CD,one,1796,George Washington
81,or,CC,or,1796,George Washington
82,two,CD,two,1796,George Washington
83,of,IN,of,1796,George Washington
