,word,pos,lemma,year,president
0,the,DT,The,1870,Ulysses S. Grant
1,work,NN,work,1870,Ulysses S. Grant
2,of,IN,of,1870,Ulysses S. Grant
3,the,DT,the,1870,Ulysses S. Grant
4,census,NNP,Census,1870,Ulysses S. Grant
5,bureau,NNP,Bureau,1870,Ulysses S. Grant
6,has,VBZ,have,1870,Ulysses S. Grant
7,been,VBN,be,1870,Ulysses S. Grant
8,energetically,RB,energetically,1870,Ulysses S. Grant
9,prosecuted,VBN,prosecute,1870,Ulysses S. Grant
10,the,DT,The,1870,Ulysses S. Grant
11,preliminary,JJ,preliminary,1870,Ulysses S. Grant
12,report,NN,report,1870,Ulysses S. Grant
13,containing,VBG,contain,1870,Ulysses S. Grant
14,much,JJ,much,1870,Ulysses S. Grant
15,information,NN,information,1870,Ulysses S. Grant
16,of,IN,of,1870,Ulysses S. Grant
17,special,JJ,special,1870,Ulysses S. Grant
18,value,NN,value,1870,Ulysses S. Grant
19,and,CC,and,1870,Ulysses S. Grant
20,interest,NN,interest,1870,Ulysses S. Grant
21,will,MD,will,1870,Ulysses S. Grant
22,be,VB,be,1870,Ulysses S. Grant
23,ready,JJ,ready,1870,Ulysses S. Grant
24,for,IN,for,1870,Ulysses S. Grant
25,delivery,NN,delivery,1870,Ulysses S. Grant
26,during,IN,during,1870,Ulysses S. Grant
27,the,DT,the,1870,Ulysses S. Grant
28,present,JJ,present,1870,Ulysses S. Grant
29,session,NN,session,1870,Ulysses S. Grant
30,the,DT,The,1870,Ulysses S. Grant
31,remaining,VBG,remain,1870,Ulysses S. Grant
32,volumes,NNS,volume,1870,Ulysses S. Grant
33,will,MD,will,1870,Ulysses S. Grant
34,be,VB,be,1870,Ulysses S. Grant
35,completed,VBN,complete,1870,Ulysses S. Grant
36,with,IN,with,1870,Ulysses S. Grant
37,all,PDT,all,1870,Ulysses S. Grant
38,the,DT,the,1870,Ulysses S. Grant
39,dispatch,NN,dispatch,1870,Ulysses S. Grant
40,consistent,NN,consistent,1870,Ulysses S. Grant
41,with,IN,with,1870,Ulysses S. Grant
42,perfect,JJ,perfect,1870,Ulysses S. Grant
43,accuracy,NN,accuracy,1870,Ulysses S. Grant
44,in,IN,in,1870,Ulysses S. Grant
45,arranging,VBG,arrange,1870,Ulysses S. Grant
46,and,CC,and,1870,Ulysses S. Grant
47,classifying,VBG,classify,1870,Ulysses S. Grant
48,the,DT,the,1870,Ulysses S. Grant
49,returns,NNS,return,1870,Ulysses S. Grant
50,we,PRP,We,1870,Ulysses S. Grant
51,shall,MD,shall,1870,Ulysses S. Grant
52,thus,RB,thus,1870,Ulysses S. Grant
53,at,IN,at,1870,Ulysses S. Grant
54,no,DT,no,1870,Ulysses S. Grant
55,distant,JJ,distant,1870,Ulysses S. Grant
56,day,NN,day,1870,Ulysses S. Grant
57,be,VB,be,1870,Ulysses S. Grant
58,furnished,VBN,furnish,1870,Ulysses S. Grant
59,with,IN,with,1870,Ulysses S. Grant
60,an,DT,an,1870,Ulysses S. Grant
61,authentic,JJ,authentic,1870,Ulysses S. Grant
62,record,NN,record,1870,Ulysses S. Grant
63,of,IN,of,1870,Ulysses S. Grant
64,our,PRP$,our,1870,Ulysses S. Grant
65,condition,NN,condition,1870,Ulysses S. Grant
66,and,CC,and,1870,Ulysses S. Grant
67,resources,NNS,resource,1870,Ulysses S. Grant
68,it,PRP,It,1870,Ulysses S. Grant
69,will,MD,will,1870,Ulysses S. Grant
70,i,PRP,I,1870,Ulysses S. Grant
71,doubt,VBP,doubt,1870,Ulysses S. Grant
72,not,RB,not,1870,Ulysses S. Grant
73,attest,IN,attest,1870,Ulysses S. Grant
74,the,DT,the,1870,Ulysses S. Grant
75,growing,VBG,grow,1870,Ulysses S. Grant
76,prosperity,NN,prosperity,1870,Ulysses S. Grant
77,of,IN,of,1870,Ulysses S. Grant
78,the,DT,the,1870,Ulysses S. Grant
79,country,NN,country,1870,Ulysses S. Grant
80,although,IN,although,1870,Ulysses S. Grant
81,during,IN,during,1870,Ulysses S. Grant
82,the,DT,the,1870,Ulysses S. Grant
83,decade,NN,decade,1870,Ulysses S. Grant
84,which,WDT,which,1870,Ulysses S. Grant
85,has,VBZ,have,1870,Ulysses S. Grant
86,just,RB,just,1870,Ulysses S. Grant
87,closed,VBN,close,1870,Ulysses S. Grant
88,it,PRP,it,1870,Ulysses S. Grant
89,was,VBD,be,1870,Ulysses S. Grant
90,so,RB,so,1870,Ulysses S. Grant
91,severely,RB,severely,1870,Ulysses S. Grant
92,tried,VBN,try,1870,Ulysses S. Grant
93,by,IN,by,1870,Ulysses S. Grant
94,the,DT,the,1870,Ulysses S. Grant
95,great,JJ,great,1870,Ulysses S. Grant
96,war,NN,war,1870,Ulysses S. Grant
97,waged,VBD,wag,1870,Ulysses S. Grant
98,to,TO,to,1870,Ulysses S. Grant
99,maintain,VB,maintain,1870,Ulysses S. Grant
100,its,PRP$,its,1870,Ulysses S. Grant
101,integrity,NN,integrity,1870,Ulysses S. Grant
102,and,CC,and,1870,Ulysses S. Grant
103,to,TO,to,1870,Ulysses S. Grant
104,secure,VB,secure,1870,Ulysses S. Grant
105,and,CC,and,1870,Ulysses S. Grant
106,perpetuate,VB,perpetuate,1870,Ulysses S. Grant
107,our,PRP$,our,1870,Ulysses S. Grant
108,free,JJ,free,1870,Ulysses S. Grant
109,institutions,NNS,institution,1870,Ulysses S. Grant
110,during,IN,During,1870,Ulysses S. Grant
111,the,DT,the,1870,Ulysses S. Grant
112,last,JJ,last,1870,Ulysses S. Grant
113,fiscal,JJ,fiscal,1870,Ulysses S. Grant
114,year,NN,year,1870,Ulysses S. Grant
115,the,DT,the,1870,Ulysses S. Grant
116,sum,NN,sum,1870,Ulysses S. Grant
117,paid,VBD,pay,1870,Ulysses S. Grant
118,to,TO,to,1870,Ulysses S. Grant
119,pensioners,NNS,pensioner,1870,Ulysses S. Grant
120,including,VBG,include,1870,Ulysses S. Grant
121,the,DT,the,1870,Ulysses S. Grant
122,cost,NN,cost,1870,Ulysses S. Grant
123,of,IN,of,1870,Ulysses S. Grant
124,disbursement,NN,disbursement,1870,Ulysses S. Grant
125,was,VBD,be,1870,Ulysses S. Grant
126,"27,780,811.11",CD,"27,780,811.11",1870,Ulysses S. Grant
127,and,CC,and,1870,Ulysses S. Grant
128,"1,758",CD,"1,758",1870,Ulysses S. Grant
129,bounty-land,JJ,bounty-land,1870,Ulysses S. Grant
130,warrants,NNS,warrant,1870,Ulysses S. Grant
131,were,VBD,be,1870,Ulysses S. Grant
132,issued,VBN,issue,1870,Ulysses S. Grant
133,at,IN,At,1870,Ulysses S. Grant
134,its,PRP$,its,1870,Ulysses S. Grant
135,close,JJ,close,1870,Ulysses S. Grant
136,"198,686",CD,"198,686",1870,Ulysses S. Grant
137,names,NNS,name,1870,Ulysses S. Grant
138,were,VBD,be,1870,Ulysses S. Grant
139,on,IN,on,1870,Ulysses S. Grant
140,the,DT,the,1870,Ulysses S. Grant
141,pension,NN,pension,1870,Ulysses S. Grant
142,rolls,NNS,roll,1870,Ulysses S. Grant
143,the,DT,The,1870,Ulysses S. Grant
144,labors,NNS,labor,1870,Ulysses S. Grant
145,of,IN,of,1870,Ulysses S. Grant
146,the,DT,the,1870,Ulysses S. Grant
147,pension,NNP,Pension,1870,Ulysses S. Grant
148,office,NNP,Office,1870,Ulysses S. Grant
149,have,VBP,have,1870,Ulysses S. Grant
150,been,VBN,be,1870,Ulysses S. Grant
151,directed,VBN,direct,1870,Ulysses S. Grant
152,to,TO,to,1870,Ulysses S. Grant
153,the,DT,the,1870,Ulysses S. Grant
154,severe,JJ,severe,1870,Ulysses S. Grant
155,scrutiny,NN,scrutiny,1870,Ulysses S. Grant
156,of,IN,of,1870,Ulysses S. Grant
157,the,DT,the,1870,Ulysses S. Grant
158,evidence,NN,evidence,1870,Ulysses S. Grant
159,submitted,VBN,submit,1870,Ulysses S. Grant
160,in,IN,in,1870,Ulysses S. Grant
161,favor,NN,favor,1870,Ulysses S. Grant
162,of,IN,of,1870,Ulysses S. Grant
163,new,JJ,new,1870,Ulysses S. Grant
164,claims,NNS,claim,1870,Ulysses S. Grant
165,and,CC,and,1870,Ulysses S. Grant
166,to,TO,to,1870,Ulysses S. Grant
167,the,DT,the,1870,Ulysses S. Grant
168,discovery,NN,discovery,1870,Ulysses S. Grant
169,of,IN,of,1870,Ulysses S. Grant
170,fictitious,JJ,fictitious,1870,Ulysses S. Grant
171,claims,NNS,claim,1870,Ulysses S. Grant
172,which,WDT,which,1870,Ulysses S. Grant
173,have,VBP,have,1870,Ulysses S. Grant
174,been,VBN,be,1870,Ulysses S. Grant
175,heretofore,RB,heretofore,1870,Ulysses S. Grant
176,allowed,VBN,allow,1870,Ulysses S. Grant
177,the,DT,The,1870,Ulysses S. Grant
178,appropriation,NN,appropriation,1870,Ulysses S. Grant
179,for,IN,for,1870,Ulysses S. Grant
180,the,DT,the,1870,Ulysses S. Grant
181,employment,NN,employment,1870,Ulysses S. Grant
182,of,IN,of,1870,Ulysses S. Grant
183,special,JJ,special,1870,Ulysses S. Grant
184,agents,NNS,agent,1870,Ulysses S. Grant
185,for,IN,for,1870,Ulysses S. Grant
186,the,DT,the,1870,Ulysses S. Grant
187,investigation,NN,investigation,1870,Ulysses S. Grant
188,of,IN,of,1870,Ulysses S. Grant
189,frauds,NN,fraud,1870,Ulysses S. Grant
190,has,VBZ,have,1870,Ulysses S. Grant
191,been,VBN,be,1870,Ulysses S. Grant
192,judiciously,RB,judiciously,1870,Ulysses S. Grant
193,used,VBN,use,1870,Ulysses S. Grant
194,and,CC,and,1870,Ulysses S. Grant
195,the,DT,the,1870,Ulysses S. Grant
196,results,NNS,result,1870,Ulysses S. Grant
197,obtained,VBD,obtain,1870,Ulysses S. Grant
198,have,VBP,have,1870,Ulysses S. Grant
199,been,VBN,be,1870,Ulysses S. Grant
200,of,IN,of,1870,Ulysses S. Grant
201,unquestionable,JJ,unquestionable,1870,Ulysses S. Grant
202,benefit,NN,benefit,1870,Ulysses S. Grant
203,to,TO,to,1870,Ulysses S. Grant
204,the,DT,the,1870,Ulysses S. Grant
205,service,NN,service,1870,Ulysses S. Grant
206,the,DT,The,1870,Ulysses S. Grant
207,subjects,NNS,subject,1870,Ulysses S. Grant
208,of,IN,of,1870,Ulysses S. Grant
209,education,NN,education,1870,Ulysses S. Grant
210,and,CC,and,1870,Ulysses S. Grant
211,agriculture,NN,agriculture,1870,Ulysses S. Grant
212,are,VBP,be,1870,Ulysses S. Grant
213,of,IN,of,1870,Ulysses S. Grant
214,great,JJ,great,1870,Ulysses S. Grant
215,interest,NN,interest,1870,Ulysses S. Grant
216,to,TO,to,1870,Ulysses S. Grant
217,the,DT,the,1870,Ulysses S. Grant
218,success,NN,success,1870,Ulysses S. Grant
219,of,IN,of,1870,Ulysses S. Grant
220,our,PRP$,our,1870,Ulysses S. Grant
221,republican,JJ,republican,1870,Ulysses S. Grant
222,institutions,NNS,institution,1870,Ulysses S. Grant
223,happiness,NN,happiness,1870,Ulysses S. Grant
224,and,CC,and,1870,Ulysses S. Grant
225,grandeur,NN,grandeur,1870,Ulysses S. Grant
226,as,IN,as,1870,Ulysses S. Grant
227,a,DT,a,1870,Ulysses S. Grant
228,nation,NN,nation,1870,Ulysses S. Grant
229,in,IN,In,1870,Ulysses S. Grant
230,the,DT,the,1870,Ulysses S. Grant
231,interest,NN,interest,1870,Ulysses S. Grant
232,of,IN,of,1870,Ulysses S. Grant
233,one,CD,one,1870,Ulysses S. Grant
234,a,DT,a,1870,Ulysses S. Grant
235,bureau,NN,bureau,1870,Ulysses S. Grant
236,has,VBZ,have,1870,Ulysses S. Grant
237,been,VBN,be,1870,Ulysses S. Grant
238,established,VBN,establish,1870,Ulysses S. Grant
239,in,IN,in,1870,Ulysses S. Grant
240,the,DT,the,1870,Ulysses S. Grant
241,interior,NNP,Interior,1870,Ulysses S. Grant
242,department,NNP,Department,1870,Ulysses S. Grant
243,--,:,--,1870,Ulysses S. Grant
244,the,DT,the,1870,Ulysses S. Grant
245,bureau,NNP,Bureau,1870,Ulysses S. Grant
246,of,IN,of,1870,Ulysses S. Grant
247,education,NNP,Education,1870,Ulysses S. Grant
248,and,CC,and,1870,Ulysses S. Grant
249,in,IN,in,1870,Ulysses S. Grant
250,the,DT,the,1870,Ulysses S. Grant
251,interest,NN,interest,1870,Ulysses S. Grant
252,of,IN,of,1870,Ulysses S. Grant
253,the,DT,the,1870,Ulysses S. Grant
254,other,JJ,other,1870,Ulysses S. Grant
255,a,DT,a,1870,Ulysses S. Grant
256,separate,JJ,separate,1870,Ulysses S. Grant
257,department,NNP,Department,1870,Ulysses S. Grant
258,that,IN,that,1870,Ulysses S. Grant
259,of,IN,of,1870,Ulysses S. Grant
260,agriculture,NNP,Agriculture,1870,Ulysses S. Grant
261,i,PRP,I,1870,Ulysses S. Grant
262,believe,VBP,believe,1870,Ulysses S. Grant
263,great,JJ,great,1870,Ulysses S. Grant
264,general,JJ,general,1870,Ulysses S. Grant
265,good,NN,good,1870,Ulysses S. Grant
266,is,VBZ,be,1870,Ulysses S. Grant
267,to,TO,to,1870,Ulysses S. Grant
268,flow,VB,flow,1870,Ulysses S. Grant
269,from,IN,from,1870,Ulysses S. Grant
270,the,DT,the,1870,Ulysses S. Grant
271,operations,NNS,operation,1870,Ulysses S. Grant
272,of,IN,of,1870,Ulysses S. Grant
273,both,DT,both,1870,Ulysses S. Grant
274,these,DT,these,1870,Ulysses S. Grant
275,bureaus,NNP,Bureaus,1870,Ulysses S. Grant
276,if,IN,if,1870,Ulysses S. Grant
277,properly,RB,properly,1870,Ulysses S. Grant
278,fostered,VBN,foster,1870,Ulysses S. Grant
279,i,PRP,I,1870,Ulysses S. Grant
280,can,MD,can,1870,Ulysses S. Grant
281,not,RB,not,1870,Ulysses S. Grant
282,commend,VB,commend,1870,Ulysses S. Grant
283,to,TO,to,1870,Ulysses S. Grant
284,your,PRP$,your,1870,Ulysses S. Grant
285,careful,JJ,careful,1870,Ulysses S. Grant
286,consideration,NN,consideration,1870,Ulysses S. Grant
287,too,RB,too,1870,Ulysses S. Grant
288,highly,RB,highly,1870,Ulysses S. Grant
289,the,DT,the,1870,Ulysses S. Grant
290,reports,NNS,report,1870,Ulysses S. Grant
291,of,IN,of,1870,Ulysses S. Grant
292,the,DT,the,1870,Ulysses S. Grant
293,commissioners,NNP,Commissioners,1870,Ulysses S. Grant
294,of,IN,of,1870,Ulysses S. Grant
295,education,NNP,Education,1870,Ulysses S. Grant
296,and,CC,and,1870,Ulysses S. Grant
297,of,IN,of,1870,Ulysses S. Grant
298,agriculture,NNP,Agriculture,1870,Ulysses S. Grant
299,nor,CC,nor,1870,Ulysses S. Grant
300,urge,JJ,urge,1870,Ulysses S. Grant
301,too,RB,too,1870,Ulysses S. Grant
302,strongly,RB,strongly,1870,Ulysses S. Grant
303,such,JJ,such,1870,Ulysses S. Grant
304,liberal,JJ,liberal,1870,Ulysses S. Grant
305,legislation,NN,legislation,1870,Ulysses S. Grant
306,as,IN,as,1870,Ulysses S. Grant
307,to,TO,to,1870,Ulysses S. Grant
308,secure,VB,secure,1870,Ulysses S. Grant
309,their,PRP$,their,1870,Ulysses S. Grant
310,efficiency,NN,efficiency,1870,Ulysses S. Grant
311,in,IN,In,1870,Ulysses S. Grant
312,conclusion,NN,conclusion,1870,Ulysses S. Grant
313,i,PRP,I,1870,Ulysses S. Grant
314,would,MD,would,1870,Ulysses S. Grant
315,sum,VB,sum,1870,Ulysses S. Grant
316,up,RP,up,1870,Ulysses S. Grant
317,the,DT,the,1870,Ulysses S. Grant
318,policy,NN,policy,1870,Ulysses S. Grant
319,of,IN,of,1870,Ulysses S. Grant
320,the,DT,the,1870,Ulysses S. Grant
321,administration,NNP,Administration,1870,Ulysses S. Grant
322,to,TO,to,1870,Ulysses S. Grant
323,be,VB,be,1870,Ulysses S. Grant
324,a,DT,a,1870,Ulysses S. Grant
325,thorough,JJ,thorough,1870,Ulysses S. Grant
326,enforcement,NN,enforcement,1870,Ulysses S. Grant
327,of,IN,of,1870,Ulysses S. Grant
328,every,DT,every,1870,Ulysses S. Grant
329,law,NN,law,1870,Ulysses S. Grant
330,a,DT,a,1870,Ulysses S. Grant
331,faithful,JJ,faithful,1870,Ulysses S. Grant
332,collection,NN,collection,1870,Ulysses S. Grant
333,of,IN,of,1870,Ulysses S. Grant
334,every,DT,every,1870,Ulysses S. Grant
335,tax,NN,tax,1870,Ulysses S. Grant
336,provided,VBN,provide,1870,Ulysses S. Grant
337,for,IN,for,1870,Ulysses S. Grant
338,economy,NN,economy,1870,Ulysses S. Grant
339,in,IN,in,1870,Ulysses S. Grant
340,the,DT,the,1870,Ulysses S. Grant
341,disbursement,NN,disbursement,1870,Ulysses S. Grant
342,of,IN,of,1870,Ulysses S. Grant
343,the,DT,the,1870,Ulysses S. Grant
344,same,JJ,same,1870,Ulysses S. Grant
345,a,DT,a,1870,Ulysses S. Grant
346,prompt,JJ,prompt,1870,Ulysses S. Grant
347,payment,NN,payment,1870,Ulysses S. Grant
348,of,IN,of,1870,Ulysses S. Grant
349,every,DT,every,1870,Ulysses S. Grant
350,debt,NN,debt,1870,Ulysses S. Grant
351,of,IN,of,1870,Ulysses S. Grant
352,the,DT,the,1870,Ulysses S. Grant
353,nation,NN,nation,1870,Ulysses S. Grant
