metric,estimate,unit,interval_low,interval_high,p_value,p_adjusted,p_resolution,test_family,bootstrap_unit,bootstrap_draws,treatment,taxonomy,n_presidents,n_speeches,status,caveat,surprise_label
effective_topics,2.1660777602343178,effective topics,-0.4340871940604012,4.565967897654893,0.04294785260736963,0.04294785260736963,4.999750012499375e-05,coverage-pressure primary outcomes,president then speech,20000,modern eras minus postbellum eras,AI taxonomy v1,17,56,confirmatory,Annual-message sample with at least 12 paragraphs.,No-change surprise: 4.29%
depth_words,-303.5676146160595,equivalent words,-430.87955623396846,-184.4195617433605,4.999750012499375e-05,9.99950002499875e-05,4.999750012499375e-05,coverage-pressure primary outcomes,president then speech,20000,modern eras minus postbellum eras,AI taxonomy v1,17,56,confirmatory,Annual-message sample with at least 12 paragraphs.,"No-change surprise: ≤0.005%, at the test’s resolution floor"
effective_topics,2.4646569413445345,effective topics,0.14908647155376084,5.029597991409781,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19,282,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested
depth_words,-246.5205396374024,equivalent words,-560.8216367563549,-3.20372018626148,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19,282,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested
leading_topic_share,-0.12877623037328467,share,-0.22142941186051224,-0.04340285518798771,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19,282,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested
median_episode_words,-78.64532701305959,words,-128.97865990154136,-36.77581755601252,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19,282,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested
singleton_run_share,0.07918854118710683,share,0.0165885802150468,0.15922044183471473,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19,282,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested
adjacent_topic_similarity,-0.10502298600730275,Jaccard,-0.17839782996101394,-0.03409000265376899,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19,282,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested
episodes_250_share,-0.14242471348371016,share,-0.23536155219086174,-0.041268478033591426,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19,282,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested
episodes_500_share,-0.08402632165300525,share,-0.19241603668672333,0.03367232834622728,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19,282,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested
effective_topics,2.4041816697065865,effective topics,0.11856496738516954,5.125072930941864,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (genre-standardized),AI taxonomy v1,19,282,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested
depth_words,-186.26830606193602,equivalent words,-577.2670763879761,38.577340806088856,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (genre-standardized),AI taxonomy v1,19,282,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested
