speaker,target,raw_mentions,distinct_speeches,function_mix,stance_mix,era_mix,distinct_speakers,mentions_per_100_speeches,evidence_status
Abraham Lincoln,George Washington,10,1,"{'policy inheritance': 10.0, 'other/unclear': None, 'historical comparison': None, 'ceremonial/biographical': None, 'institutional precedent': None, 'contemporary rivalry': None, 'legacy/inheritance': None}","{'mixed': 6.0, 'neutral': 4.0, 'positive': None, 'negative': None}","{'Civil War & Reconstruction': 10.0, 'Expansion': None, 'Post-Cold War': None, 'The present era': None, 'The Gilded Age': None, 'Progressives & Depression': None, 'The Cold War': None, 'War & New Deal': None, 'The founding': None}",1,66.66666666666666,AI-classified; not human-validated
Abraham Lincoln,James Buchanan,1,1,"{'policy inheritance': None, 'other/unclear': 1.0, 'historical comparison': None, 'ceremonial/biographical': None, 'institutional precedent': None, 'contemporary rivalry': None, 'legacy/inheritance': None}","{'mixed': None, 'neutral': 1.0, 'positive': None, 'negative': None}","{'Civil War & Reconstruction': 1.0, 'Expansion': None, 'Post-Cold War': None, 'The present era': None, 'The Gilded Age': None, 'Progressives & Depression': None, 'The Cold War': None, 'War & New Deal': None, 'The founding': None}",1,6.666666666666667,AI-classified; not human-validated
Abraham Lincoln,James K. Polk,2,1,"{'policy inheritance': 2.0, 'other/unclear': None, 'historical comparison': None, 'ceremonial/biographical': None, 'institutional precedent': None, 'contemporary rivalry': None, 'legacy/inheritance': None}","{'mixed': None, 'neutral': 2.0, 'positive': None, 'negative': None}","{'Civil War & Reconstruction': 2.0, 'Expansion': None, 'Post-Cold War': None, 'The present era': None, 'The Gilded Age': None, 'Progressives & Depression': None, 'The Cold War': None, 'War & New Deal': None, 'The founding': None}",1,13.333333333333334,AI-classified; not human-validated
Abraham Lincoln,James Madison,1,1,"{'policy inheritance': None, 'other/unclear': 1.0, 'historical comparison': None, 'ceremonial/biographical': None, 'institutional precedent': None, 'contemporary rivalry': None, 'legacy/inheritance': None}","{'mixed': None, 'neutral': 1.0, 'positive': None, 'negative': None}","{'Civil War & Reconstruction': 1.0, 'Expansion': None, 'Post-Cold War': None, 'The present era': None, 'The Gilded Age': None, 'Progressives & Depression': None, 'The Cold War': None, 'War & New Deal': None, 'The founding': None}",1,6.666666666666667,AI-classified; not human-validated
Abraham Lincoln,Martin Van Buren,2,1,"{'policy inheritance': None, 'other/unclear': 2.0, 'historical comparison': None, 'ceremonial/biographical': None, 'institutional precedent': None, 'contemporary rivalry': None, 'legacy/inheritance': None}","{'mixed': None, 'neutral': 2.0, 'positive': None, 'negative': None}","{'Civil War & Reconstruction': 2.0, 'Expansion': None, 'Post-Cold War': None, 'The present era': None, 'The Gilded Age': None, 'Progressives & Depression': None, 'The Cold War': None, 'War & New Deal': None, 'The founding': None}",1,13.333333333333334,AI-classified; not human-validated
Abraham Lincoln,Thomas Jefferson,18,6,"{'policy inheritance': None, 'other/unclear': 14.0, 'historical comparison': 2.0, 'ceremonial/biographical': 2.0, 'institutional precedent': None, 'contemporary rivalry': None, 'legacy/inheritance': None}","{'mixed': None, 'neutral': 17.0, 'positive': 1.0, 'negative': None}","{'Civil War & Reconstruction': 18.0, 'Expansion': None, 'Post-Cold War': None, 'The present era': None, 'The Gilded Age': None, 'Progressives & Depression': None, 'The Cold War': None, 'War & New Deal': None, 'The founding': None}",1,120.0,AI-classified; not human-validated
Andrew Jackson,George Washington,2,2,"{'policy inheritance': None, 'other/unclear': 1.0, 'historical comparison': None, 'ceremonial/biographical': None, 'institutional precedent': 1.0, 'contemporary rivalry': None, 'legacy/inheritance': None}","{'mixed': None, 'neutral': 2.0, 'positive': None, 'negative': None}","{'Civil War & Reconstruction': None, 'Expansion': 2.0, 'Post-Cold War': None, 'The present era': None, 'The Gilded Age': None, 'Progressives & Depression': None, 'The Cold War': None, 'War & New Deal': None, 'The founding': None}",1,7.6923076923076925,AI-classified; not human-validated
Andrew Jackson,James Madison,2,2,"{'policy inheritance': None, 'other/unclear': 1.0, 'historical comparison': None, 'ceremonial/biographical': None, 'institutional precedent': 1.0, 'contemporary rivalry': None, 'legacy/inheritance': None}","{'mixed': None, 'neutral': 2.0, 'positive': None, 'negative': None}","{'Civil War & Reconstruction': None, 'Expansion': 2.0, 'Post-Cold War': None, 'The present era': None, 'The Gilded Age': None, 'Progressives & Depression': None, 'The Cold War': None, 'War & New Deal': None, 'The founding': None}",1,7.6923076923076925,AI-classified; not human-validated
Andrew Jackson,James Monroe,2,2,"{'policy inheritance': None, 'other/unclear': 1.0, 'historical comparison': None, 'ceremonial/biographical': None, 'institutional precedent': 1.0, 'contemporary rivalry': None, 'legacy/inheritance': None}","{'mixed': None, 'neutral': 1.0, 'positive': 1.0, 'negative': None}","{'Civil War & Reconstruction': None, 'Expansion': 2.0, 'Post-Cold War': None, 'The present era': None, 'The Gilded Age': None, 'Progressives & Depression': None, 'The Cold War': None, 'War & New Deal': None, 'The founding': None}",1,7.6923076923076925,AI-classified; not human-validated
Andrew Jackson,John Quincy Adams,1,1,"{'policy inheritance': None, 'other/unclear': 1.0, 'historical comparison': None, 'ceremonial/biographical': None, 'institutional precedent': None, 'contemporary rivalry': None, 'legacy/inheritance': None}","{'mixed': None, 'neutral': 1.0, 'positive': None, 'negative': None}","{'Civil War & Reconstruction': None, 'Expansion': 1.0, 'Post-Cold War': None, 'The present era': None, 'The Gilded Age': None, 'Progressives & Depression': None, 'The Cold War': None, 'War & New Deal': None, 'The founding': None}",1,3.8461538461538463,AI-classified; not human-validated
