candidate_id,speaker,target,doc_name,para_idx,speech_date,era,raw_mention,function,stance,evidence_span,rationale,quotation_status,target_status,evidence_status
f54e790240a5080d5476bc34,Gerald Ford,Harry S. Truman,/the-presidency/presidential-speeches/april-10-1975-address-us-foreign-policy,6,1975-04-10 17:00:00,The Cold War,President Truman,institutional precedent,neutral,I recall quite vividly the words of President Truman to the Congress when the United States faced a far greater challenge at the end of the Second World War.,Fixed-rubric classification from the supplied sentence context.,narration,former_president,AI-classified; not human-validated
7a40f904f2b6c254061c6eea,Gerald Ford,Harry S. Truman,/the-presidency/presidential-speeches/april-10-1975-address-us-foreign-policy,6,1975-04-10 17:00:00,The Cold War,President Truman,other/unclear,neutral,""" President Truman's resolution must guide us today.",Fixed-rubric classification from the supplied sentence context.,deliberate_quotation,former_president,AI-classified; not human-validated
aec2be1f1deb102be315b8d8,Gerald Ford,Abraham Lincoln,/the-presidency/presidential-speeches/april-10-1975-address-us-foreign-policy,59,1975-04-10 17:00:00,The Cold War,Abraham Lincoln,other/unclear,neutral,"In an hour far darker than this, Abraham Lincoln told his fellow citizens, and I quote: ""We cannot escape history.",Fixed-rubric classification from the supplied sentence context.,deliberate_quotation,former_president,AI-classified; not human-validated
981e6f0952e59193647c2fad,William McKinley,Ulysses S. Grant,/the-presidency/presidential-speeches/april-11-1898-message-regarding-cuban-civil-war,16,1898-04-11 22:32:00,The Gilded Age,President Grant,policy inheritance,neutral,"Thereupon I reviewed these alternatives, in the light of President Grant's measured words, uttered in 1875, when after seven years of sanguinary, destructive, and cruel hostilities in Cuba he reached the conclusion that the recognition of the independence of Cuba was impracticable and indefensible, and that the recognition of belligerence was not warranted by the facts according to the tests of public law.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,AI-classified; not human-validated
dfdca646ad31d6c4a057daa9,William McKinley,Andrew Jackson,/the-presidency/presidential-speeches/april-11-1898-message-regarding-cuban-civil-war,18,1898-04-11 22:32:00,The Gilded Age,President Jackson,institutional precedent,neutral,"They are well summed up in President Jackson's message to Congress, December 21, 1836, on the subject of the recognition of the independence of Texas.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,AI-classified; not human-validated
0f3656f4de2fa3cb75f907e1,William McKinley,Andrew Jackson,/the-presidency/presidential-speeches/april-11-1898-message-regarding-cuban-civil-war,21,1898-04-11 22:32:00,The Gilded Age,Andrew Jackson,other/unclear,positive,"Thereupon Andrew Jackson proceeded to consider the risk that there might be imputed to the United States motives of selfish interest in view of the former claim on our part to the territory of Texas, and of the avowed purpose of the Texas in seeking recognition of independence as an incident to the incorporation of Texas into the Union, concluding thus: Prudence, therefore, seems to dictate that we should still stand aloof and maintain our present attitude, if not until Mexico itself or one of the great foreign powers shall recognize the independence of the new government, at least until the lapse of time or the course of events shall have proved beyond cavil or dispute the ability of the people of that country to maintain their separate sovereignty and to uphold the government constituted by them.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,AI-classified; not human-validated
88c082136164e75b9b819091,William McKinley,Andrew Jackson,/the-presidency/presidential-speeches/april-11-1898-message-regarding-cuban-civil-war,22,1898-04-11 22:32:00,The Gilded Age,Jackson,other/unclear,neutral,These are the words of the resolute and patriotic Jackson.,Fixed-rubric classification from the supplied sentence context.,narration,former_president,AI-classified; not human-validated
3153090a6652d181399cd764,William McKinley,Andrew Jackson,/the-presidency/presidential-speeches/april-11-1898-message-regarding-cuban-civil-war,23,1898-04-11 22:32:00,The Gilded Age,President Jackson,institutional precedent,neutral,"The Congress to whom President Jackson referred the question as one ""probably leading to war,"" and therefore a proper subject for ""a previous understanding with that body by whom war can alone be declared and by whom all the provisions for sustaining its perils must be furnished,"" left the matter of the recognition of Texas to the discretion of the Executive, providing merely for the sending of a diplomatic agent when the President should be satisfied that the Republic of Texas had become ""an independent",Fixed-rubric classification from the supplied sentence context.,deliberate_quotation,former_president,AI-classified; not human-validated
dfa3e64ba2c1f494fd59b85f,William McKinley,Martin Van Buren,/the-presidency/presidential-speeches/april-11-1898-message-regarding-cuban-civil-war,23,1898-04-11 22:32:00,The Gilded Age,Buren,other/unclear,neutral,""" It was so recognized by President Van Buren, who commissioned a charge d'affaires March 7, 1837, after Mexico had abandoned an attempt to reconquer the Texan territory, and when there was at the time no bona fide contest going on between the insurgent province and its former Sovereign.",Fixed-rubric classification from the supplied sentence context.,deliberate_quotation,former_president,AI-classified; not human-validated
180efce4fb582ae357d5f787,William McKinley,Ulysses S. Grant,/the-presidency/presidential-speeches/april-11-1898-message-regarding-cuban-civil-war,32,1898-04-11 22:32:00,The Gilded Age,President Grant,other/unclear,neutral,"President Grant, in 1875, after discussing the phases of the contest as it then appeared, and its hopeless and apparent indefinite prolongation, said: In such event, I am of opinion that other nations will be compelled to assume the responsibility which devolves upon them, and to seriously consider the only remaining measures possible - mediation and intervention.",Fixed-rubric classification from the supplied sentence context.,narration,former_president,AI-classified; not human-validated
6d3c9a6dd6718fbf06611922,Lyndon B. Johnson,Abraham Lincoln,/the-presidency/presidential-speeches/april-11-1968-remarks-signing-civil-rights-act,1,1968-04-11 18:00:00,The Cold War,Abraham Lincoln,other/unclear,neutral,I shall never forget that it was more than 100 years ago when Abraham Lincoln issued the Emancipation Proclamation - but it was a proclamation; it was not a fact.,Fixed-rubric classification from the supplied sentence context.,narration,former_president,AI-classified; not human-validated
