president_profile_id,topic_id,topic_level,state,topic_paragraph_count,topic_appearance_count,eligible_president_paragraph_count,eligible_president_appearance_count,speaker_paragraph_share,president_support_status,edge_support_status,evidence_receipt_count
george-washington,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,49,13,254,22,0.19291338582677164,supported,supported,3
john-adams,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,57,7,107,9,0.5327102803738317,supported,supported,3
thomas-jefferson,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,78,16,314,25,0.2484076433121019,supported,supported,3
james-madison,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,92,16,270,21,0.34074074074074073,supported,supported,3
james-monroe,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,165,10,407,10,0.40540540540540543,supported,supported,3
john-quincy-adams,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,78,7,276,8,0.2826086956521739,supported,supported,3
andrew-jackson,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,228,12,1137,26,0.20052770448548812,supported,supported,3
martin-van-buren,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,81,8,457,9,0.1772428884026258,supported,supported,3
william-harrison,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,thin_president,2,1,57,1,0.03508771929824561,thin,thin_president,1
john-tyler,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,162,12,495,18,0.32727272727272727,supported,supported,3
james-k-polk,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,209,17,686,24,0.30466472303207,supported,supported,3
zachary-taylor,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,thin_president,36,4,80,4,0.45,thin,thin_president,3
millard-fillmore,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,88,6,253,7,0.34782608695652173,supported,supported,3
franklin-pierce,topic_53f9c63ed6aedcab84709226f843c89a577ea30928250cda0021a52c0d9dd5d2,level1,supported,158,10,451,15,0.35033259423503327,supported,supported,3
