president_profile_id,issue_id,state,positive_paragraph_count,source_document_paragraph_count,source_document_speech_count,paragraph_share
george-washington,economy-and-jobs,supported,31,253,21,0.1225296442687747
john-adams,economy-and-jobs,supported,19,116,9,0.16379310344827586
thomas-jefferson,economy-and-jobs,supported,35,313,24,0.11182108626198083
james-madison,economy-and-jobs,supported,30,274,21,0.10948905109489052
james-monroe,economy-and-jobs,supported,31,407,10,0.07616707616707617
john-quincy-adams,economy-and-jobs,supported,21,276,8,0.07608695652173914
andrew-jackson,economy-and-jobs,supported,128,1150,26,0.11130434782608696
martin-van-buren,economy-and-jobs,supported,92,465,10,0.1978494623655914
william-harrison,economy-and-jobs,thin_president,3,57,1,0.05263157894736842
john-tyler,economy-and-jobs,supported,59,540,18,0.10925925925925926
james-k-polk,economy-and-jobs,supported,66,722,25,0.09141274238227147
zachary-taylor,economy-and-jobs,thin_president,10,80,4,0.125
millard-fillmore,economy-and-jobs,supported,38,268,7,0.1417910447761194
franklin-pierce,economy-and-jobs,supported,42,472,15,0.08898305084745763
james-buchanan,economy-and-jobs,supported,43,625,14,0.0688
abraham-lincoln,economy-and-jobs,supported,32,859,15,0.037252619324796274
andrew-johnson,economy-and-jobs,supported,60,725,31,0.08275862068965517
ulysses-s-grant,economy-and-jobs,supported,100,813,32,0.12300123001230012
rutherford-b-hayes,economy-and-jobs,supported,65,500,16,0.13
james-a-garfield,economy-and-jobs,thin_president,4,29,1,0.13793103448275862
chester-a-arthur,economy-and-jobs,supported,37,478,11,0.07740585774058577
grover-cleveland,economy-and-jobs,supported,187,1350,32,0.1385185185185185
benjamin-harrison,economy-and-jobs,supported,100,598,16,0.16722408026755853
william-mckinley,economy-and-jobs,supported,84,767,14,0.10951760104302477
theodore-roosevelt,economy-and-jobs,supported,288,1530,22,0.18823529411764706
william-taft,economy-and-jobs,supported,207,969,12,0.21362229102167182
woodrow-wilson,economy-and-jobs,supported,132,661,33,0.19969742813918306
warren-g-harding,economy-and-jobs,supported,36,238,18,0.15126050420168066
calvin-coolidge,economy-and-jobs,supported,137,590,12,0.23220338983050848
herbert-hoover,economy-and-jobs,supported,265,698,30,0.37965616045845274
franklin-d-roosevelt,economy-and-jobs,supported,251,1084,49,0.23154981549815498
harry-s-truman,economy-and-jobs,supported,45,308,19,0.1461038961038961
dwight-d-eisenhower,economy-and-jobs,supported,139,696,15,0.1997126436781609
john-f-kennedy,economy-and-jobs,supported,145,1367,44,0.10607168983174835
lyndon-b-johnson,economy-and-jobs,supported,229,2712,71,0.08443952802359882
richard-m-nixon,economy-and-jobs,supported,54,520,23,0.10384615384615385
gerald-ford,economy-and-jobs,supported,70,410,14,0.17073170731707318
jimmy-carter,economy-and-jobs,supported,209,1034,22,0.20212765957446807
ronald-reagan,economy-and-jobs,supported,314,2044,60,0.15362035225048923
george-h-w-bush,economy-and-jobs,supported,151,934,23,0.16167023554603854
bill-clinton,economy-and-jobs,supported,352,1288,39,0.2732919254658385
george-w-bush,economy-and-jobs,supported,182,1058,38,0.1720226843100189
barack-obama,economy-and-jobs,supported,613,1879,51,0.32623736029803085
donald-trump,economy-and-jobs,supported,411,2853,53,0.1440588853838065
joe-biden,economy-and-jobs,supported,194,1219,28,0.15914684167350288
george-washington,taxes-and-budget,supported,23,253,21,0.09090909090909091
john-adams,taxes-and-budget,supported,8,116,9,0.06896551724137931
thomas-jefferson,taxes-and-budget,supported,34,313,24,0.10862619808306709
james-madison,taxes-and-budget,supported,28,274,21,0.10218978102189781
james-monroe,taxes-and-budget,supported,56,407,10,0.1375921375921376
john-quincy-adams,taxes-and-budget,supported,51,276,8,0.18478260869565216
andrew-jackson,taxes-and-budget,supported,223,1150,26,0.19391304347826088
martin-van-buren,taxes-and-budget,supported,89,465,10,0.1913978494623656
william-harrison,taxes-and-budget,thin_president,1,57,1,0.017543859649122806
john-tyler,taxes-and-budget,supported,73,540,18,0.13518518518518519
james-k-polk,taxes-and-budget,supported,125,722,25,0.1731301939058172
zachary-taylor,taxes-and-budget,thin_president,8,80,4,0.1
millard-fillmore,taxes-and-budget,supported,40,268,7,0.14925373134328357
franklin-pierce,taxes-and-budget,supported,63,472,15,0.13347457627118645
james-buchanan,taxes-and-budget,supported,59,625,14,0.0944
abraham-lincoln,taxes-and-budget,supported,29,859,15,0.033760186263096625
andrew-johnson,taxes-and-budget,supported,53,725,31,0.07310344827586207
ulysses-s-grant,taxes-and-budget,supported,100,813,32,0.12300123001230012
rutherford-b-hayes,taxes-and-budget,supported,85,500,16,0.17
james-a-garfield,taxes-and-budget,thin_president,2,29,1,0.06896551724137931
chester-a-arthur,taxes-and-budget,supported,84,478,11,0.17573221757322174
grover-cleveland,taxes-and-budget,supported,123,1350,32,0.09111111111111111
benjamin-harrison,taxes-and-budget,supported,63,598,16,0.10535117056856187
william-mckinley,taxes-and-budget,supported,78,767,14,0.1016949152542373
theodore-roosevelt,taxes-and-budget,supported,85,1530,22,0.05555555555555555
william-taft,taxes-and-budget,supported,88,969,12,0.09081527347781218
woodrow-wilson,taxes-and-budget,supported,33,661,33,0.049924357034795766
warren-g-harding,taxes-and-budget,supported,10,238,18,0.04201680672268908
calvin-coolidge,taxes-and-budget,supported,86,590,12,0.14576271186440679
herbert-hoover,taxes-and-budget,supported,88,698,30,0.12607449856733524
franklin-d-roosevelt,taxes-and-budget,supported,56,1084,49,0.05166051660516605
harry-s-truman,taxes-and-budget,supported,7,308,19,0.022727272727272728
dwight-d-eisenhower,taxes-and-budget,supported,82,696,15,0.11781609195402298
john-f-kennedy,taxes-and-budget,supported,115,1367,44,0.08412582297000731
lyndon-b-johnson,taxes-and-budget,supported,169,2712,71,0.06231563421828908
richard-m-nixon,taxes-and-budget,supported,39,520,23,0.075
gerald-ford,taxes-and-budget,supported,65,410,14,0.15853658536585366
jimmy-carter,taxes-and-budget,supported,156,1034,22,0.15087040618955513
ronald-reagan,taxes-and-budget,supported,338,2044,60,0.16536203522504891
george-h-w-bush,taxes-and-budget,supported,149,934,23,0.15952890792291222
bill-clinton,taxes-and-budget,supported,253,1288,39,0.19642857142857142
george-w-bush,taxes-and-budget,supported,98,1058,38,0.09262759924385633
barack-obama,taxes-and-budget,supported,265,1879,51,0.1410324640766365
donald-trump,taxes-and-budget,supported,152,2853,53,0.05327725201542236
joe-biden,taxes-and-budget,supported,75,1219,28,0.06152584085315833
george-washington,war-and-military,supported,45,253,21,0.17786561264822134
john-adams,war-and-military,supported,30,116,9,0.25862068965517243
thomas-jefferson,war-and-military,supported,79,313,24,0.2523961661341853
james-madison,war-and-military,supported,127,274,21,0.4635036496350365
james-monroe,war-and-military,supported,120,407,10,0.29484029484029484
john-quincy-adams,war-and-military,supported,81,276,8,0.29347826086956524
andrew-jackson,war-and-military,supported,161,1150,26,0.14
martin-van-buren,war-and-military,supported,61,465,10,0.13118279569892474
william-harrison,war-and-military,thin_president,5,57,1,0.08771929824561403
john-tyler,war-and-military,supported,94,540,18,0.17407407407407408
james-k-polk,war-and-military,supported,288,722,25,0.3988919667590028
zachary-taylor,war-and-military,thin_president,16,80,4,0.2
millard-fillmore,war-and-military,supported,57,268,7,0.2126865671641791
franklin-pierce,war-and-military,supported,108,472,15,0.2288135593220339
james-buchanan,war-and-military,supported,155,625,14,0.248
abraham-lincoln,war-and-military,supported,154,859,15,0.17927823050058206
andrew-johnson,war-and-military,supported,262,725,31,0.36137931034482756
ulysses-s-grant,war-and-military,supported,177,813,32,0.2177121771217712
rutherford-b-hayes,war-and-military,supported,100,500,16,0.2
james-a-garfield,war-and-military,thin_president,5,29,1,0.1724137931034483
chester-a-arthur,war-and-military,supported,64,478,11,0.13389121338912133
grover-cleveland,war-and-military,supported,215,1350,32,0.15925925925925927
benjamin-harrison,war-and-military,supported,86,598,16,0.14381270903010032
william-mckinley,war-and-military,supported,230,767,14,0.29986962190352023
theodore-roosevelt,war-and-military,supported,324,1530,22,0.21176470588235294
william-taft,war-and-military,supported,155,969,12,0.15995872033023736
woodrow-wilson,war-and-military,supported,204,661,33,0.3086232980332829
warren-g-harding,war-and-military,supported,79,238,18,0.3319327731092437
calvin-coolidge,war-and-military,supported,144,590,12,0.2440677966101695
herbert-hoover,war-and-military,supported,109,698,30,0.15616045845272206
franklin-d-roosevelt,war-and-military,supported,475,1084,49,0.4381918819188192
harry-s-truman,war-and-military,supported,105,308,19,0.3409090909090909
dwight-d-eisenhower,war-and-military,supported,204,696,15,0.29310344827586204
john-f-kennedy,war-and-military,supported,383,1367,44,0.2801755669348939
lyndon-b-johnson,war-and-military,supported,646,2712,71,0.23820058997050148
richard-m-nixon,war-and-military,supported,175,520,23,0.33653846153846156
gerald-ford,war-and-military,supported,89,410,14,0.21707317073170732
jimmy-carter,war-and-military,supported,174,1034,22,0.16827852998065765
ronald-reagan,war-and-military,supported,424,2044,60,0.20743639921722112
george-h-w-bush,war-and-military,supported,224,934,23,0.2398286937901499
bill-clinton,war-and-military,supported,211,1288,39,0.1638198757763975
george-w-bush,war-and-military,supported,247,1058,38,0.2334593572778828
barack-obama,war-and-military,supported,316,1879,51,0.16817456093666844
donald-trump,war-and-military,supported,370,2853,53,0.12968804766912023
joe-biden,war-and-military,supported,277,1219,28,0.22723543888433143
george-washington,foreign-policy,supported,47,253,21,0.1857707509881423
john-adams,foreign-policy,supported,40,116,9,0.3448275862068966
thomas-jefferson,foreign-policy,supported,54,313,24,0.17252396166134185
james-madison,foreign-policy,supported,52,274,21,0.1897810218978102
james-monroe,foreign-policy,supported,115,407,10,0.28255528255528256
john-quincy-adams,foreign-policy,supported,76,276,8,0.2753623188405797
andrew-jackson,foreign-policy,supported,227,1150,26,0.1973913043478261
martin-van-buren,foreign-policy,supported,85,465,10,0.1827956989247312
william-harrison,foreign-policy,thin_president,8,57,1,0.14035087719298245
john-tyler,foreign-policy,supported,131,540,18,0.24259259259259258
james-k-polk,foreign-policy,supported,263,722,25,0.36426592797783935
zachary-taylor,foreign-policy,thin_president,38,80,4,0.475
millard-fillmore,foreign-policy,supported,69,268,7,0.2574626865671642
franklin-pierce,foreign-policy,supported,137,472,15,0.2902542372881356
james-buchanan,foreign-policy,supported,134,625,14,0.2144
abraham-lincoln,foreign-policy,supported,75,859,15,0.08731082654249127
andrew-johnson,foreign-policy,supported,94,725,31,0.1296551724137931
ulysses-s-grant,foreign-policy,supported,213,813,32,0.26199261992619927
rutherford-b-hayes,foreign-policy,supported,105,500,16,0.21
james-a-garfield,foreign-policy,thin_president,1,29,1,0.034482758620689655
chester-a-arthur,foreign-policy,supported,136,478,11,0.28451882845188287
grover-cleveland,foreign-policy,supported,272,1350,32,0.20148148148148148
benjamin-harrison,foreign-policy,supported,147,598,16,0.24581939799331104
william-mckinley,foreign-policy,supported,208,767,14,0.2711864406779661
theodore-roosevelt,foreign-policy,supported,216,1530,22,0.1411764705882353
william-taft,foreign-policy,supported,224,969,12,0.23116615067079463
woodrow-wilson,foreign-policy,supported,56,661,33,0.08472012102874432
warren-g-harding,foreign-policy,supported,23,238,18,0.09663865546218488
calvin-coolidge,foreign-policy,supported,79,590,12,0.13389830508474576
herbert-hoover,foreign-policy,supported,115,698,30,0.16475644699140402
franklin-d-roosevelt,foreign-policy,supported,83,1084,49,0.07656826568265683
harry-s-truman,foreign-policy,supported,54,308,19,0.17532467532467533
dwight-d-eisenhower,foreign-policy,supported,91,696,15,0.1307471264367816
john-f-kennedy,foreign-policy,supported,220,1367,44,0.16093635698610095
lyndon-b-johnson,foreign-policy,supported,312,2712,71,0.11504424778761062
richard-m-nixon,foreign-policy,supported,80,520,23,0.15384615384615385
gerald-ford,foreign-policy,supported,105,410,14,0.25609756097560976
jimmy-carter,foreign-policy,supported,183,1034,22,0.1769825918762089
ronald-reagan,foreign-policy,supported,299,2044,60,0.14628180039138944
george-h-w-bush,foreign-policy,supported,121,934,23,0.12955032119914348
bill-clinton,foreign-policy,supported,91,1288,39,0.07065217391304347
george-w-bush,foreign-policy,supported,101,1058,38,0.09546313799621928
barack-obama,foreign-policy,supported,136,1879,51,0.07237892496008515
donald-trump,foreign-policy,supported,136,2853,53,0.04766912022432527
joe-biden,foreign-policy,supported,92,1219,28,0.07547169811320754
george-washington,immigration,supported,3,253,21,0.011857707509881422
john-adams,immigration,supported_zero,0,116,9,0.0
thomas-jefferson,immigration,supported,3,313,24,0.009584664536741214
james-madison,immigration,supported,4,274,21,0.014598540145985401
james-monroe,immigration,supported,2,407,10,0.004914004914004914
john-quincy-adams,immigration,supported,1,276,8,0.0036231884057971015
andrew-jackson,immigration,supported,4,1150,26,0.0034782608695652175
martin-van-buren,immigration,supported,5,465,10,0.010752688172043012
william-harrison,immigration,thin_zero,0,57,1,0.0
john-tyler,immigration,supported,8,540,18,0.014814814814814815
james-k-polk,immigration,supported,5,722,25,0.006925207756232687
zachary-taylor,immigration,thin_president,1,80,4,0.0125
millard-fillmore,immigration,supported,4,268,7,0.014925373134328358
franklin-pierce,immigration,supported,3,472,15,0.006355932203389831
james-buchanan,immigration,supported,7,625,14,0.0112
abraham-lincoln,immigration,supported,11,859,15,0.012805587892898719
andrew-johnson,immigration,supported,14,725,31,0.019310344827586208
ulysses-s-grant,immigration,supported,39,813,32,0.04797047970479705
rutherford-b-hayes,immigration,supported,35,500,16,0.07
james-a-garfield,immigration,thin_president,2,29,1,0.06896551724137931
chester-a-arthur,immigration,supported,30,478,11,0.06276150627615062
grover-cleveland,immigration,supported,69,1350,32,0.051111111111111114
benjamin-harrison,immigration,supported,25,598,16,0.04180602006688963
william-mckinley,immigration,supported,25,767,14,0.03259452411994785
theodore-roosevelt,immigration,supported,65,1530,22,0.042483660130718956
william-taft,immigration,supported,32,969,12,0.033023735810113516
woodrow-wilson,immigration,supported,9,661,33,0.01361573373676248
warren-g-harding,immigration,supported,22,238,18,0.09243697478991597
calvin-coolidge,immigration,supported,17,590,12,0.0288135593220339
herbert-hoover,immigration,supported,21,698,30,0.03008595988538682
franklin-d-roosevelt,immigration,supported,11,1084,49,0.01014760147601476
harry-s-truman,immigration,supported,4,308,19,0.012987012987012988
dwight-d-eisenhower,immigration,supported,12,696,15,0.017241379310344827
john-f-kennedy,immigration,supported,11,1367,44,0.008046817849305048
lyndon-b-johnson,immigration,supported,8,2712,71,0.0029498525073746312
richard-m-nixon,immigration,supported,2,520,23,0.0038461538461538464
gerald-ford,immigration,supported,1,410,14,0.0024390243902439024
jimmy-carter,immigration,supported,9,1034,22,0.008704061895551257
ronald-reagan,immigration,supported,22,2044,60,0.010763209393346379
george-h-w-bush,immigration,supported,12,934,23,0.01284796573875803
bill-clinton,immigration,supported,27,1288,39,0.02096273291925466
george-w-bush,immigration,supported,71,1058,38,0.0671077504725898
barack-obama,immigration,supported,89,1879,51,0.04736562001064396
donald-trump,immigration,supported,180,2853,53,0.06309148264984227
joe-biden,immigration,supported,53,1219,28,0.043478260869565216
george-washington,civil-rights-and-race,supported,2,253,21,0.007905138339920948
john-adams,civil-rights-and-race,supported_zero,0,116,9,0.0
thomas-jefferson,civil-rights-and-race,supported,5,313,24,0.01597444089456869
james-madison,civil-rights-and-race,supported,7,274,21,0.025547445255474453
james-monroe,civil-rights-and-race,supported,6,407,10,0.014742014742014743
john-quincy-adams,civil-rights-and-race,supported,11,276,8,0.03985507246376811
andrew-jackson,civil-rights-and-race,supported,27,1150,26,0.023478260869565216
martin-van-buren,civil-rights-and-race,supported,12,465,10,0.025806451612903226
william-harrison,civil-rights-and-race,thin_president,1,57,1,0.017543859649122806
john-tyler,civil-rights-and-race,supported,15,540,18,0.027777777777777776
james-k-polk,civil-rights-and-race,supported,17,722,25,0.023545706371191136
zachary-taylor,civil-rights-and-race,thin_zero,0,80,4,0.0
millard-fillmore,civil-rights-and-race,supported,6,268,7,0.022388059701492536
franklin-pierce,civil-rights-and-race,supported,17,472,15,0.036016949152542374
james-buchanan,civil-rights-and-race,supported,61,625,14,0.0976
abraham-lincoln,civil-rights-and-race,supported,312,859,15,0.36321303841676367
andrew-johnson,civil-rights-and-race,supported,82,725,31,0.11310344827586206
ulysses-s-grant,civil-rights-and-race,supported,39,813,32,0.04797047970479705
rutherford-b-hayes,civil-rights-and-race,supported,27,500,16,0.054
james-a-garfield,civil-rights-and-race,thin_president,8,29,1,0.27586206896551724
chester-a-arthur,civil-rights-and-race,supported,7,478,11,0.014644351464435146
grover-cleveland,civil-rights-and-race,supported,45,1350,32,0.03333333333333333
benjamin-harrison,civil-rights-and-race,supported,25,598,16,0.04180602006688963
william-mckinley,civil-rights-and-race,supported,19,767,14,0.024771838331160364
theodore-roosevelt,civil-rights-and-race,supported,49,1530,22,0.03202614379084967
william-taft,civil-rights-and-race,supported,41,969,12,0.04231166150670795
woodrow-wilson,civil-rights-and-race,supported,31,661,33,0.046898638426626324
warren-g-harding,civil-rights-and-race,supported,7,238,18,0.029411764705882353
calvin-coolidge,civil-rights-and-race,supported,33,590,12,0.05593220338983051
herbert-hoover,civil-rights-and-race,supported,33,698,30,0.04727793696275072
franklin-d-roosevelt,civil-rights-and-race,supported,41,1084,49,0.03782287822878229
harry-s-truman,civil-rights-and-race,supported,15,308,19,0.048701298701298704
dwight-d-eisenhower,civil-rights-and-race,supported,31,696,15,0.04454022988505747
john-f-kennedy,civil-rights-and-race,supported,80,1367,44,0.058522311631309436
lyndon-b-johnson,civil-rights-and-race,supported,145,2712,71,0.05346607669616519
