boundary_year,score_4,rank_4,percentile_4,score_8,rank_8,percentile_8,consensus,consensus_rank
1797,16.199187827197946,5,0.9826086956521739,9.28204685283656,26,0.8873873873873874,0.9349980415197807,8
1798,13.289254663357367,14,0.9434782608695652,8.647686969963154,40,0.8243243243243243,0.8839012925969447,18
1799,11.57329118595966,22,0.908695652173913,8.715641076405802,37,0.8378378378378378,0.8732667450058754,20
1800,10.598053993917814,36,0.8478260869565217,8.37762404491017,50,0.7792792792792793,0.8135526831179005,39
1801,14.242962326286523,9,0.9652173913043478,9.286318753185181,25,0.8918918918918919,0.9285546415981198,10
1802,13.10698349811245,15,0.9391304347826087,9.171999244875101,31,0.8648648648648649,0.9019976498237368,15
1803,13.315813441482275,13,0.9478260869565217,10.691831080356796,5,0.9819819819819819,0.9649040344692519,1
1804,9.983162579050166,59,0.7478260869565218,9.747866692879184,20,0.9144144144144144,0.831120250685468,29
1805,10.058238350446848,57,0.7565217391304347,8.525147730790193,45,0.8018018018018018,0.7791617704661182,47
1806,9.908490271958941,64,0.7260869565217392,9.63927883350801,21,0.9099099099099099,0.8179984332158245,35
1807,9.911257126727989,63,0.7304347826086957,10.90145315144147,3,0.990990990990991,0.8607128867998433,23
1808,8.808141522038175,96,0.5869565217391304,9.265817404513976,27,0.8828828828828829,0.7349197023110066,52
1809,8.65542398198379,99,0.5739130434782609,8.850203871324114,33,0.8558558558558559,0.7148844496670583,57
1810,9.633318909678607,73,0.6869565217391305,7.537989672973686,94,0.5810810810810811,0.6340188014101058,82
1811,10.23585897695265,51,0.782608695652174,7.196677432364291,113,0.49549549549549554,0.6390520955738348,79
1812,8.918375784294971,95,0.5913043478260869,5.969301985620282,163,0.2702702702702703,0.4307873090481786,125
1813,8.325758245843613,110,0.5260869565217392,6.6622333399510545,133,0.4054054054054054,0.4657461809635723,115
1814,10.578931536960962,37,0.8434782608695652,7.446242467062389,97,0.5675675675675675,0.7055229142185664,59
1815,12.245606455935867,17,0.9304347826086956,9.249283879608582,28,0.8783783783783784,0.9044065804935371,14
1816,11.028886367381665,29,0.8782608695652174,8.05772611910137,68,0.6981981981981982,0.7882295338817078,43
1817,9.668747196182073,71,0.6956521739130435,8.19634401031653,57,0.7477477477477478,0.7216999608303956,55
1818,9.748395654402874,69,0.7043478260869565,6.807497843019573,126,0.4369369369369369,0.5706423815119467,97
1819,7.403698675937394,138,0.4043478260869565,6.73998221095825,128,0.4279279279279279,0.4161378770074422,128
1820,5.082506187984654,216,0.06521739130434778,6.130612177992564,156,0.30180180180180183,0.1835095965530748,191
1821,4.170385484271635,230,0.004347826086956497,5.777703064134251,174,0.2207207207207207,0.11253427340383859,210
1822,8.087880286773906,118,0.491304347826087,5.470751118055528,186,0.16666666666666663,0.3289855072463768,148
1823,7.011897841187533,151,0.34782608695652173,5.523797779603265,183,0.18018018018018023,0.264003133568351,165
1824,6.4376080686788555,171,0.26086956521739135,5.290759621853542,192,0.13963963963963966,0.2002546024285155,183
1825,6.2171923213723534,180,0.22173913043478266,6.866122190822811,122,0.45495495495495497,0.3383470426948688,146
1826,5.865259986645644,193,0.16521739130434787,7.499320881232958,96,0.572072072072072,0.36864473168820994,140
1827,5.8377685305634825,194,0.16086956521739126,7.938357204706428,72,0.6801801801801801,0.4205248726987857,127
1828,6.117082185169346,183,0.20869565217391306,7.794431164365985,78,0.6531531531531531,0.4309244026635331,124
1829,10.185799972194184,53,0.7739130434782608,7.926951525201818,73,0.6756756756756757,0.7247943595769683,54
1830,9.27319658608325,82,0.6478260869565218,8.009368524517683,70,0.6891891891891893,0.6685076380728555,69
1831,8.97080474555667,91,0.6086956521739131,8.08702736776999,66,0.7072072072072072,0.6579514296905602,75
1832,8.942994325023433,92,0.6043478260869566,8.126768113374682,62,0.7252252252252251,0.6647865256560909,73
1833,9.49881962465266,77,0.6695652173913044,7.866914861285353,76,0.6621621621621622,0.6658636897767333,72
1834,7.975617363691806,120,0.4826086956521739,6.399401404110683,146,0.34684684684684686,0.4147277712495104,129
1835,8.463952490958123,105,0.5478260869565217,6.431293437835606,143,0.36036036036036034,0.454093223658441,119
1836,8.549438900668514,101,0.5652173913043479,6.432929883041123,142,0.3648648648648649,0.4650411280846064,117
1837,7.350795357363748,139,0.4,5.6328105908741,179,0.19819819819819817,0.2990990990990991,157
1838,6.315534547330059,176,0.23913043478260865,5.2347845704479825,196,0.1216216216216216,0.18037602820211512,192
1839,6.321527335684574,174,0.24782608695652175,5.443876310064389,187,0.16216216216216217,0.20499412455934196,181
1840,7.104273873537201,147,0.3652173913043478,6.088855880365868,157,0.29729729729729726,0.33125734430082254,147
1841,7.829291309616713,125,0.4608695652173913,5.490170793473773,185,0.1711711711711712,0.31602036819428125,152
1842,7.274115840050878,141,0.3913043478260869,6.399465356847329,145,0.3513513513513513,0.3713278495887191,139
1843,6.5486967378432395,167,0.27826086956521734,6.155974486964996,155,0.3063063063063063,0.2922835879357618,158
1844,7.4714772569138725,136,0.4130434782608695,6.551171591938828,135,0.39639639639639634,0.40471993732863293,132
1845,6.776974711283597,161,0.30434782608695654,6.702381360712897,131,0.4144144144144144,0.35938112025068547,143
1846,4.936650507790702,221,0.04347826086956519,5.906523995335602,167,0.25225225225225223,0.1478652565609087,199
1847,4.783232458715097,224,0.0304347826086957,6.837923541317334,124,0.44594594594594594,0.23819036427732082,171
1848,6.602429405724977,165,0.28695652173913044,7.272136923994581,105,0.5315315315315315,0.409244026635331,130
1849,9.591950940227857,75,0.6782608695652175,7.4453079181104,98,0.5630630630630631,0.6206619663141403,85
1850,10.28398325653563,48,0.7956521739130434,7.604719814276126,90,0.5990990990990991,0.6973756365060713,62
1851,9.87130470444159,66,0.7173913043478262,7.324570312978318,103,0.5405405405405406,0.6289659224441834,84
1852,10.194656344263366,52,0.7782608695652173,7.001578913229286,116,0.48198198198198194,0.6301214257735996,83
1853,10.508030962422898,40,0.8304347826086956,7.270732618684563,106,0.527027027027027,0.6787309048178614,66
1854,10.779261479333297,33,0.8608695652173913,7.319766078681202,104,0.5360360360360361,0.6984528006267137,61
1855,7.619426931458227,131,0.4347826086956522,5.256090675046312,194,0.13063063063063063,0.2827066196631414,161
1856,8.184790099291977,117,0.4956521739130435,5.356196255191989,189,0.15315315315315314,0.3244026635330983,149
1857,5.761677813075806,198,0.14347826086956517,5.778697067185082,173,0.22522522522522526,0.1843517430473952,189
1858,6.100426901386768,185,0.19999999999999996,5.546432362610346,181,0.18918918918918914,0.19459459459459455,185
1859,5.026479310510072,218,0.05652173913043479,5.5456428598719825,182,0.18468468468468469,0.12060321190755974,207
1860,4.655438115396303,226,0.021739130434782594,6.232682514531648,152,0.3198198198198198,0.17077947512730118,195
