era_key,story_section_key,editorial_start,grid_start,driver_rank,axis,axis_group,z_delta_equal_cycle,direction,left_equal_cycle_value,right_equal_cycle_value,left_story_pooled_value,right_story_pooled_value,n_left_paragraphs,n_right_paragraphs,n_left_speeches,n_right_speeches
expansion,expansion_conflict,1809,1809,1,topic__Indian & Tribal Affairs,topic,-1.9567389101850379,decrease,0.19158616511825868,0.06694549682649568,0.18328445747800587,0.062231216797369086,682,3953,54,121
expansion,expansion_conflict,1809,1809,2,"topic__Law, Crime & Justice",topic,-1.9037707184422925,decrease,0.08123245404947296,0.014999415233635105,0.08944281524926687,0.017202124968378446,682,3953,54,121
expansion,expansion_conflict,1809,1809,3,genre__other,genre,-1.6978696447236818,decrease,0.08676056338028168,0.011411992263056092,0.09824046920821114,0.014925373134328358,682,3953,54,121
expansion,expansion_conflict,1809,1809,4,stat_modal_shall_per_1k,stat,-1.4463217151924346,decrease,2.538622153165978,1.117984580117423,2.633807882859364,1.3779398393340896,682,3953,54,121
expansion,expansion_conflict,1809,1809,5,topic__Personal Narrative & Reflection,topic,-1.4311519519347666,decrease,0.06458709337970724,0.019718394832620653,0.06744868035190615,0.016443207690361752,682,3953,54,121
civil-war-reconstruction,union_crisis,1850,1849,1,topic__Civil Rights & Immigration,topic,3.2294709500224696,increase,0.007960580470914474,0.3073631680031393,0.008601062484189223,0.3447927199191102,3953,2967,121,84
civil-war-reconstruction,union_crisis,1850,1849,2,topic__Constitutional Order & Governance,topic,1.518719294412537,increase,0.17865610216061992,0.3404754583760402,0.22135087275486973,0.3417593528816987,3953,2967,121,84
civil-war-reconstruction,union_crisis,1850,1849,3,"topic__Law, Crime & Justice",topic,1.373286493844462,increase,0.014999415233635105,0.06277666948539139,0.017202124968378446,0.05931917762049208,3953,2967,121,84
civil-war-reconstruction,union_crisis,1850,1849,4,topic__Public Finance & Taxation,topic,-1.310635805999601,decrease,0.1101379552021922,0.061722554235944506,0.10726030862635973,0.057971014492753624,3953,2967,121,84
civil-war-reconstruction,union_crisis,1850,1849,5,stat_modal_shall_per_1k,stat,1.2738191203978604,increase,1.117984580117423,2.369182902521154,1.3779398393340896,2.3450621103479117,3953,2967,121,84
gilded-age,procedural_presidency,1869,1869,1,topic__Civil Rights & Immigration,topic,-2.5939264178666255,decrease,0.3073631680031393,0.06688158653170378,0.3447927199191102,0.05615581461472846,2967,7034,84,156
gilded-age,procedural_presidency,1869,1869,2,register_proposal_share,register,1.9996182357260237,increase,0.15095584220431346,0.2949590791695132,0.14256825075834176,0.3003980665339778,2967,7034,84,156
