condition,segment_index,segment_start,is_boundary,k,min_units,weighting,objective,n_axes
drop_combat,0,1789,False,9,3,per_axis,1644.4271470824553,60
drop_combat,1,1805,True,9,3,per_axis,1644.4271470824553,60
drop_combat,2,1849,True,9,3,per_axis,1644.4271470824553,60
drop_combat,3,1869,True,9,3,per_axis,1644.4271470824553,60
drop_combat,4,1913,True,9,3,per_axis,1644.4271470824553,60
drop_combat,5,1937,True,9,3,per_axis,1644.4271470824553,60
drop_combat,6,1953,True,9,3,per_axis,1644.4271470824553,60
drop_combat,7,1981,True,9,3,per_axis,1644.4271470824553,60
drop_combat,8,2017,True,9,3,per_axis,1644.4271470824553,60
drop_genre,0,1789,False,9,3,per_axis,1343.023012530245,53
drop_genre,1,1809,True,9,3,per_axis,1343.023012530245,53
drop_genre,2,1849,True,9,3,per_axis,1343.023012530245,53
drop_genre,3,1869,True,9,3,per_axis,1343.023012530245,53
drop_genre,4,1913,True,9,3,per_axis,1343.023012530245,53
drop_genre,5,1937,True,9,3,per_axis,1343.023012530245,53
drop_genre,6,1953,True,9,3,per_axis,1343.023012530245,53
drop_genre,7,1981,True,9,3,per_axis,1343.023012530245,53
drop_genre,8,2017,True,9,3,per_axis,1343.023012530245,53
drop_marker,0,1789,False,9,3,per_axis,1321.9009721311127,44
drop_marker,1,1809,True,9,3,per_axis,1321.9009721311127,44
drop_marker,2,1829,True,9,3,per_axis,1321.9009721311127,44
drop_marker,3,1849,True,9,3,per_axis,1321.9009721311127,44
drop_marker,4,1869,True,9,3,per_axis,1321.9009721311127,44
drop_marker,5,1913,True,9,3,per_axis,1321.9009721311127,44
drop_marker,6,1937,True,9,3,per_axis,1321.9009721311127,44
drop_marker,7,1953,True,9,3,per_axis,1321.9009721311127,44
drop_marker,8,2013,True,9,3,per_axis,1321.9009721311127,44
drop_opponents,0,1789,False,9,3,per_axis,1699.4600338824323,62
drop_opponents,1,1805,True,9,3,per_axis,1699.4600338824323,62
drop_opponents,2,1849,True,9,3,per_axis,1699.4600338824323,62
drop_opponents,3,1869,True,9,3,per_axis,1699.4600338824323,62
drop_opponents,4,1913,True,9,3,per_axis,1699.4600338824323,62
drop_opponents,5,1937,True,9,3,per_axis,1699.4600338824323,62
drop_opponents,6,1953,True,9,3,per_axis,1699.4600338824323,62
drop_opponents,7,1981,True,9,3,per_axis,1699.4600338824323,62
drop_opponents,8,2017,True,9,3,per_axis,1699.4600338824323,62
drop_register,0,1789,False,9,3,per_axis,1652.7186258015452,60
drop_register,1,1809,True,9,3,per_axis,1652.7186258015452,60
drop_register,2,1849,True,9,3,per_axis,1652.7186258015452,60
drop_register,3,1869,True,9,3,per_axis,1652.7186258015452,60
drop_register,4,1913,True,9,3,per_axis,1652.7186258015452,60
drop_register,5,1937,True,9,3,per_axis,1652.7186258015452,60
drop_register,6,1953,True,9,3,per_axis,1652.7186258015452,60
drop_register,7,1981,True,9,3,per_axis,1652.7186258015452,60
drop_register,8,2017,True,9,3,per_axis,1652.7186258015452,60
drop_stat,0,1789,False,9,3,per_axis,1471.3412967023996,52
drop_stat,1,1809,True,9,3,per_axis,1471.3412967023996,52
drop_stat,2,1849,True,9,3,per_axis,1471.3412967023996,52
drop_stat,3,1869,True,9,3,per_axis,1471.3412967023996,52
drop_stat,4,1913,True,9,3,per_axis,1471.3412967023996,52
drop_stat,5,1937,True,9,3,per_axis,1471.3412967023996,52
drop_stat,6,1953,True,9,3,per_axis,1471.3412967023996,52
drop_stat,7,1981,True,9,3,per_axis,1471.3412967023996,52
drop_stat,8,2017,True,9,3,per_axis,1471.3412967023996,52
drop_topic,0,1789,False,9,3,per_axis,1170.3581475300775,46
drop_topic,1,1805,True,9,3,per_axis,1170.3581475300775,46
drop_topic,2,1829,True,9,3,per_axis,1170.3581475300775,46
drop_topic,3,1869,True,9,3,per_axis,1170.3581475300775,46
drop_topic,4,1913,True,9,3,per_axis,1170.3581475300775,46
drop_topic,5,1933,True,9,3,per_axis,1170.3581475300775,46
drop_topic,6,1953,True,9,3,per_axis,1170.3581475300775,46
drop_topic,7,1981,True,9,3,per_axis,1170.3581475300775,46
drop_topic,8,2017,True,9,3,per_axis,1170.3581475300775,46
full,0,1789,False,9,3,per_axis,1729.1222908780405,63
full,1,1805,True,9,3,per_axis,1729.1222908780405,63
full,2,1849,True,9,3,per_axis,1729.1222908780405,63
full,3,1869,True,9,3,per_axis,1729.1222908780405,63
full,4,1913,True,9,3,per_axis,1729.1222908780405,63
full,5,1937,True,9,3,per_axis,1729.1222908780405,63
full,6,1953,True,9,3,per_axis,1729.1222908780405,63
full,7,1981,True,9,3,per_axis,1729.1222908780405,63
full,8,2017,True,9,3,per_axis,1729.1222908780405,63
