condition,label,analysis_family,k,min_units,grid_offset,weighting,terminal_policy,genre_filter,omitted_axis_group,status,status_reason,segment_index,segment_start,segment_end,is_boundary,objective,objective_scale,partition_similarity_to_primary,partition_starts_json,n_axes,n_cycles,n_paragraphs,n_speeches,terminal_cycle_complete,right_censored
primary,Primary: nine eras,primary;k_sweep;minimum_duration;grid_anchor;weighting;terminal,9,3,0,per_axis,include_incomplete,all,none,computed,,0,1789.0,1804.0,False,1729.1222908780405,z_sse_per_axis,1.0,"[1789,1805,1849,1869,1913,1937,1953,1981,2017]",63,4,511,41,False,False
primary,Primary: nine eras,primary;k_sweep;minimum_duration;grid_anchor;weighting;terminal,9,3,0,per_axis,include_incomplete,all,none,computed,,1,1805.0,1848.0,True,1729.1222908780405,z_sse_per_axis,1.0,"[1789,1805,1849,1869,1913,1937,1953,1981,2017]",63,11,4009,130,False,False
primary,Primary: nine eras,primary;k_sweep;minimum_duration;grid_anchor;weighting;terminal,9,3,0,per_axis,include_incomplete,all,none,computed,,2,1849.0,1868.0,True,1729.1222908780405,z_sse_per_axis,1.0,"[1789,1805,1849,1869,1913,1937,1953,1981,2017]",63,5,3082,88,False,False
primary,Primary: nine eras,primary;k_sweep;minimum_duration;grid_anchor;weighting;terminal,9,3,0,per_axis,include_incomplete,all,none,computed,,3,1869.0,1912.0,True,1729.1222908780405,z_sse_per_axis,1.0,"[1789,1805,1849,1869,1913,1937,1953,1981,2017]",63,11,7034,156,False,False
primary,Primary: nine eras,primary;k_sweep;minimum_duration;grid_anchor;weighting;terminal,9,3,0,per_axis,include_incomplete,all,none,computed,,4,1913.0,1936.0,True,1729.1222908780405,z_sse_per_axis,1.0,"[1789,1805,1849,1869,1913,1937,1953,1981,2017]",63,6,2421,104,False,False
primary,Primary: nine eras,primary;k_sweep;minimum_duration;grid_anchor;weighting;terminal,9,3,0,per_axis,include_incomplete,all,none,computed,,5,1937.0,1952.0,True,1729.1222908780405,z_sse_per_axis,1.0,"[1789,1805,1849,1869,1913,1937,1953,1981,2017]",63,4,1163,57,False,False
primary,Primary: nine eras,primary;k_sweep;minimum_duration;grid_anchor;weighting;terminal,9,3,0,per_axis,include_incomplete,all,none,computed,,6,1953.0,1980.0,True,1729.1222908780405,z_sse_per_axis,1.0,"[1789,1805,1849,1869,1913,1937,1953,1981,2017]",63,7,6831,192,False,False
primary,Primary: nine eras,primary;k_sweep;minimum_duration;grid_anchor;weighting;terminal,9,3,0,per_axis,include_incomplete,all,none,computed,,7,1981.0,2016.0,True,1729.1222908780405,z_sse_per_axis,1.0,"[1789,1805,1849,1869,1913,1937,1953,1981,2017]",63,9,7058,207,False,False
primary,Primary: nine eras,primary;k_sweep;minimum_duration;grid_anchor;weighting;terminal,9,3,0,per_axis,include_incomplete,all,none,computed,,8,2017.0,2026.0,True,1729.1222908780405,z_sse_per_axis,1.0,"[1789,1805,1849,1869,1913,1937,1953,1981,2017]",63,3,4120,82,False,True
k_02,2 segments,k_sweep,2,3,0,per_axis,include_incomplete,all,none,computed,,0,1789.0,1932.0,False,2711.87711408533,z_sse_per_axis,0.2303341546768967,"[1789,1933]",63,36,16823,508,False,False
k_02,2 segments,k_sweep,2,3,0,per_axis,include_incomplete,all,none,computed,,1,1933.0,2026.0,True,2711.87711408533,z_sse_per_axis,0.2303341546768967,"[1789,1933]",63,24,19406,549,False,True
k_03,3 segments,k_sweep,3,3,0,per_axis,include_incomplete,all,none,computed,,0,1789.0,1900.0,False,2504.7210664640343,z_sse_per_axis,0.2953778966997456,"[1789,1901,1933]",63,28,12105,379,False,False
k_03,3 segments,k_sweep,3,3,0,per_axis,include_incomplete,all,none,computed,,1,1901.0,1932.0,True,2504.7210664640343,z_sse_per_axis,0.2953778966997456,"[1789,1901,1933]",63,8,4718,129,False,False
k_03,3 segments,k_sweep,3,3,0,per_axis,include_incomplete,all,none,computed,,2,1933.0,2026.0,True,2504.7210664640343,z_sse_per_axis,0.2953778966997456,"[1789,1901,1933]",63,24,19406,549,False,True
k_04,4 segments,k_sweep,4,3,0,per_axis,include_incomplete,all,none,computed,,0,1789.0,1816.0,False,2328.299000387404,z_sse_per_axis,0.45032354996365886,"[1789,1817,1913,1981]",63,7,950,74,False,False
k_04,4 segments,k_sweep,4,3,0,per_axis,include_incomplete,all,none,computed,,1,1817.0,1912.0,True,2328.299000387404,z_sse_per_axis,0.45032354996365886,"[1789,1817,1913,1981]",63,24,13686,341,False,False
k_04,4 segments,k_sweep,4,3,0,per_axis,include_incomplete,all,none,computed,,2,1913.0,1980.0,True,2328.299000387404,z_sse_per_axis,0.45032354996365886,"[1789,1817,1913,1981]",63,17,10415,353,False,False
