boundary_year,window_years,left_start,left_end,right_start,right_end,score,n_axes,n_left_paragraphs,n_right_paragraphs,n_left_speeches,n_right_speeches,topic_score,combat_score,register_score,marker_score,stat_score,genre_score,rank
1793,4,1789,1792,1793,1796,14.061046482438334,63,93,160,9,12,7.186895385355994,1.2441280755218402,3.6106586225725055,4.545338190468479,2.973928544693975,10.098143507076161,11
1794,4,1790,1793,1794,1797,13.466748006631295,63,95,199,10,12,7.589902123100659,1.0921301095350529,4.93775960534326,4.159912721223293,3.581666933695378,8.248591253506573,12
1795,4,1791,1794,1795,1798,16.64759731191836,63,97,188,10,11,11.441256717557266,1.4063095776056456,4.9997910977649305,3.4909259508547055,3.1326135249441482,9.86228633950432,4
1796,4,1792,1795,1796,1799,19.331240333428408,63,92,196,11,11,14.210693503294797,1.6185638354781164,4.512532872118458,3.4409958389035165,4.632585805795059,10.745652030533648,2
1797,4,1793,1796,1797,1800,16.199187827197946,63,160,116,12,9,10.575290759531098,0.9759872195373382,1.8333520770628355,4.4587380495681455,3.195535659583284,10.77828314597034,5
1798,4,1794,1797,1798,1801,13.289254663357367,63,199,109,12,9,9.736727156261363,0.9801890218736345,1.7939528874988073,3.628656740512184,3.6357127105174283,7.157921462061359,14
1799,4,1795,1798,1799,1802,11.57329118595966,63,188,113,11,10,8.97127314246059,0.9341630448633381,1.4412771400371667,2.302800853219942,3.597902464529126,5.6797528798126,22
1800,4,1796,1799,1800,1803,10.598053993917814,63,196,142,11,12,6.9526382691612065,0.8977093325503872,3.407252560708947,3.9477037756834563,4.21343223440296,4.269302191639203,36
1801,4,1797,1800,1801,1804,14.242962326286523,63,116,142,9,11,10.0382278942047,0.8834376573869946,1.9899293411370174,6.759167789752304,4.064998929290547,5.92833114709883,9
1802,4,1798,1801,1802,1805,13.10698349811245,63,109,140,9,11,10.021725615340513,0.7000787654830002,1.750008381576086,5.363064191946686,2.803567120478442,5.584169264195401,15
1803,4,1799,1802,1803,1806,13.315813441482275,63,113,160,10,12,9.387741006143582,0.8421359893285569,2.7556148336432504,4.992002727061092,2.0998811074234482,7.179763810997818,13
1804,4,1800,1803,1804,1807,9.983162579050166,63,142,162,12,12,6.670990202923741,1.748224902803034,2.768919083006847,3.3799713603768895,3.1124477272789797,4.829770630289886,59
1805,4,1801,1804,1805,1808,10.058238350446848,63,142,168,11,12,6.64807590028607,1.6381574480943017,2.3282537228730904,3.2836363486443565,3.5123278013794894,5.074269017418599,57
1806,4,1802,1805,1806,1809,9.908490271958941,63,140,149,11,12,6.833588743273099,1.2686538283432383,1.0484354605909385,3.1931854395855046,4.2852852189599,4.495713763876053,64
1807,4,1803,1806,1807,1810,9.911257126727989,63,160,129,12,10,6.262149842980472,1.5298914390764233,1.8256317804676194,4.629831816964158,4.005801403707276,3.982864600215086,63
1808,4,1804,1807,1808,1811,8.808141522038175,63,162,98,12,8,5.806961912605983,0.8093851558975854,1.0330935983592404,4.133306860365289,3.6285379218571236,3.44813727278081,96
1809,4,1805,1808,1809,1812,8.65542398198379,63,168,130,12,11,5.780493563799139,1.9508394312091932,0.7131085077977817,4.396932279317913,3.855755586677722,1.728610894162815,99
1810,4,1806,1809,1810,1813,9.633318909678607,63,149,156,12,12,6.5132229247231805,3.5630061422620356,1.1660185703353418,4.068642315608201,4.332584220410275,0.9995058543911549,73
1811,4,1807,1810,1811,1814,10.23585897695265,63,129,155,10,12,6.194294974424679,5.274945374049024,2.2695227858653473,4.499812783712673,3.452633013355016,1.1219387584637557,51
1812,4,1808,1811,1812,1815,8.918375784294971,63,98,170,8,13,4.871737478186468,3.370984557419347,2.551693408525885,4.034034975322862,3.286674481670194,3.294428190971538,95
1813,4,1809,1812,1813,1816,8.325758245843613,63,130,141,11,10,5.579036378984519,3.1675533147750095,1.8115292069803566,3.136541345311186,3.6675080371214777,1.2605810435343103,110
1814,4,1810,1813,1814,1817,10.578931536960962,63,156,152,12,9,5.778710964577726,3.1603889959133538,2.325523394019886,4.092595561453197,5.360129931402285,4.200457484466579,37
1815,4,1811,1814,1815,1818,12.245606455935867,63,155,164,12,8,6.118115785627774,6.156303266036125,2.0816098369979485,4.769596264378553,4.7308995283616335,5.015965352530918,17
