condition,k,boundary_year,is_primary_k,n_axes
drop_combat,2,1912,False,60
drop_combat,3,1808,False,60
drop_combat,3,1912,False,60
drop_combat,4,1808,False,60
drop_combat,4,1912,False,60
drop_combat,4,2016,False,60
drop_combat,5,1808,False,60
drop_combat,5,1912,False,60
drop_combat,5,1936,False,60
drop_combat,5,2016,False,60
drop_combat,6,1808,False,60
drop_combat,6,1872,False,60
drop_combat,6,1912,False,60
drop_combat,6,1936,False,60
drop_combat,6,2016,False,60
drop_combat,7,1808,False,60
drop_combat,7,1848,False,60
drop_combat,7,1872,False,60
drop_combat,7,1912,False,60
drop_combat,7,1936,False,60
drop_combat,7,2016,False,60
drop_combat,8,1792,False,60
drop_combat,8,1808,False,60
drop_combat,8,1848,False,60
drop_combat,8,1872,False,60
drop_combat,8,1912,False,60
drop_combat,8,1936,False,60
drop_combat,8,2016,False,60
drop_combat,9,1792,True,60
drop_combat,9,1808,True,60
drop_combat,9,1848,True,60
drop_combat,9,1872,True,60
drop_combat,9,1912,True,60
drop_combat,9,1936,True,60
drop_combat,9,1976,True,60
drop_combat,9,2016,True,60
drop_combat,10,1792,False,60
drop_combat,10,1808,False,60
drop_combat,10,1848,False,60
drop_combat,10,1872,False,60
drop_combat,10,1912,False,60
drop_combat,10,1936,False,60
drop_combat,10,1952,False,60
drop_combat,10,1976,False,60
drop_combat,10,2016,False,60
drop_combat,11,1792,False,60
drop_combat,11,1808,False,60
drop_combat,11,1848,False,60
drop_combat,11,1872,False,60
drop_combat,11,1912,False,60
drop_combat,11,1928,False,60
drop_combat,11,1936,False,60
drop_combat,11,1952,False,60
drop_combat,11,1976,False,60
drop_combat,11,2016,False,60
drop_combat,12,1792,False,60
drop_combat,12,1808,False,60
drop_combat,12,1848,False,60
drop_combat,12,1872,False,60
drop_combat,12,1912,False,60
drop_combat,12,1928,False,60
drop_combat,12,1936,False,60
drop_combat,12,1952,False,60
drop_combat,12,1976,False,60
drop_combat,12,2000,False,60
drop_combat,12,2016,False,60
drop_genre,2,1912,False,53
drop_genre,3,1912,False,53
drop_genre,3,2016,False,53
drop_genre,4,1808,False,53
drop_genre,4,1912,False,53
drop_genre,4,2016,False,53
drop_genre,5,1808,False,53
drop_genre,5,1912,False,53
drop_genre,5,1936,False,53
drop_genre,5,2016,False,53
drop_genre,6,1808,False,53
drop_genre,6,1872,False,53
drop_genre,6,1912,False,53
drop_genre,6,1936,False,53
drop_genre,6,2016,False,53
drop_genre,7,1808,False,53
drop_genre,7,1848,False,53
drop_genre,7,1872,False,53
drop_genre,7,1912,False,53
drop_genre,7,1936,False,53
drop_genre,7,2016,False,53
drop_genre,8,1808,False,53
drop_genre,8,1848,False,53
drop_genre,8,1872,False,53
drop_genre,8,1912,False,53
drop_genre,8,1936,False,53
drop_genre,8,1952,False,53
drop_genre,8,2016,False,53
drop_genre,9,1792,True,53
drop_genre,9,1808,True,53
drop_genre,9,1848,True,53
drop_genre,9,1872,True,53
drop_genre,9,1912,True,53
drop_genre,9,1936,True,53
drop_genre,9,1952,True,53
drop_genre,9,2016,True,53
drop_genre,10,1792,False,53
drop_genre,10,1808,False,53
drop_genre,10,1848,False,53
drop_genre,10,1872,False,53
drop_genre,10,1912,False,53
drop_genre,10,1936,False,53
drop_genre,10,1952,False,53
drop_genre,10,1976,False,53
drop_genre,10,2016,False,53
drop_genre,11,1792,False,53
drop_genre,11,1808,False,53
drop_genre,11,1816,False,53
drop_genre,11,1848,False,53
drop_genre,11,1872,False,53
drop_genre,11,1912,False,53
drop_genre,11,1936,False,53
drop_genre,11,1952,False,53
drop_genre,11,1976,False,53
drop_genre,11,2016,False,53
drop_genre,12,1792,False,53
drop_genre,12,1808,False,53
drop_genre,12,1816,False,53
drop_genre,12,1848,False,53
drop_genre,12,1872,False,53
drop_genre,12,1912,False,53
drop_genre,12,1936,False,53
drop_genre,12,1952,False,53
drop_genre,12,1976,False,53
drop_genre,12,2000,False,53
drop_genre,12,2016,False,53
drop_marker,2,1912,False,44
drop_marker,3,1808,False,44
drop_marker,3,1912,False,44
drop_marker,4,1808,False,44
drop_marker,4,1912,False,44
drop_marker,4,1936,False,44
drop_marker,5,1808,False,44
drop_marker,5,1872,False,44
drop_marker,5,1912,False,44
