metric,estimate,unit,interval_low,interval_high,p_value,p_adjusted,p_resolution,test_family,bootstrap_unit,bootstrap_draws,treatment,taxonomy,n_presidents,n_speeches,status,caveat,surprise_label,analysis,family_size
effective_topics,2.1660777602343178,effective topics,-0.4340871940604012,4.565967897654893,0.04294785260736963,0.04294785260736963,4.999750012499375e-05,coverage-pressure primary outcomes,president then speech,20000,modern eras minus postbellum eras,AI taxonomy v1,17.0,56.0,confirmatory,Annual-message sample with at least 12 paragraphs.,No-change surprise: 4.29%,coverage_pressure,2
depth_words,-303.5676146160595,equivalent words,-430.87955623396846,-184.4195617433605,4.999750012499375e-05,9.99950002499875e-05,4.999750012499375e-05,coverage-pressure primary outcomes,president then speech,20000,modern eras minus postbellum eras,AI taxonomy v1,17.0,56.0,confirmatory,Annual-message sample with at least 12 paragraphs.,"No-change surprise: ≤0.005%, at the test’s resolution floor",coverage_pressure,2
effective_topics,2.611955304243917,effective topics,0.39110430992974615,5.197173203511843,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
depth_words,-225.9677750602541,equivalent words,-534.8790199483377,17.979304396174417,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
leading_topic_share,-0.1279296477168297,share,-0.2183980044947593,-0.04437204647151975,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
median_episode_words,-75.91949878983459,words,-122.8894334354861,-35.22482474080075,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
singleton_run_share,0.06191476793977069,share,-0.0016817950708997995,0.13769954783965424,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
adjacent_topic_similarity,-0.10502298600730275,Jaccard,-0.17839782996101394,-0.03409000265376899,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
episodes_250_share,-0.1205372205437027,share,-0.21586529558155237,-0.012257466278437837,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
episodes_500_share,-0.07189506419758204,share,-0.1809661928488745,0.048868224366811416,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (raw),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
effective_topics,2.6730728507438544,effective topics,0.43822216642833306,5.416585948573417,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (genre-standardized),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
depth_words,-152.39624242541157,equivalent words,-496.66229915268167,63.88459784399037,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (genre-standardized),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
leading_topic_share,-0.09771450793203579,share,-0.19591198521213274,-0.015634631195909802,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (genre-standardized),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
median_episode_words,-55.69444444359293,words,-101.09052570812344,-23.486349254892087,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (genre-standardized),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
singleton_run_share,0.02424532084154074,share,-0.050116591548495154,0.1037849788232093,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (genre-standardized),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
adjacent_topic_similarity,-0.07208781740320946,Jaccard,-0.15873226841628807,-0.0014952843337826373,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (genre-standardized),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
episodes_250_share,-0.05723150329940668,share,-0.18588693893053176,0.06185842069676459,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (genre-standardized),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
episodes_500_share,-0.0153231552295795,share,-0.1615317045705365,0.11714495411128166,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,all speeches (genre-standardized),AI taxonomy v1,19.0,282.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
effective_topics,10.228679890285495,effective topics,-0.3346532612599531,12.496756913259963,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,annual messages with length/paragraph/medium controls,AI taxonomy v1,17.0,56.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
depth_words,-233.80412721822225,equivalent words,-330.7396112836815,12.835619651281073,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,annual messages with length/paragraph/medium controls,AI taxonomy v1,17.0,56.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
leading_topic_share,-0.1397170419714115,share,-0.17937567859925246,0.001041358855105049,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,annual messages with length/paragraph/medium controls,AI taxonomy v1,17.0,56.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
median_episode_words,-4.246297001752185,words,-33.41587566489914,29.59693297967214,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,annual messages with length/paragraph/medium controls,AI taxonomy v1,17.0,56.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
singleton_run_share,0.03348384063409487,share,-0.06859092982144847,0.11382973020267922,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,annual messages with length/paragraph/medium controls,AI taxonomy v1,17.0,56.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
adjacent_topic_similarity,-0.1276709714351945,Jaccard,-0.17271680956682445,-0.005537293557596102,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,annual messages with length/paragraph/medium controls,AI taxonomy v1,17.0,56.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
episodes_250_share,-0.13465196106699617,share,-0.21057190109254378,-0.0036246216565790756,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,annual messages with length/paragraph/medium controls,AI taxonomy v1,17.0,56.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
episodes_500_share,-0.191495603575359,share,-0.2721035524679762,-0.013099240833449152,,,4.999750012499375e-05,coverage-pressure sensitivity outcomes,president then speech,20000,annual messages with length/paragraph/medium controls,AI taxonomy v1,17.0,56.0,exploratory,Sensitivity estimate; not part of the two-outcome joint decision.,Not tested,coverage_pressure,0
