source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1790,1799,1790,1799,2,341,0.5865102639296188,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1800,1809,1800,1809,12,351,3.418803418803419,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1810,1819,1810,1819,7,385,1.8181818181818181,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1820,1829,1820,1829,11,645,1.7054263565891472,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1830,1839,1830,1839,45,1447,3.1098825155494123,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1840,1849,1840,1849,71,1452,4.889807162534435,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1850,1859,1850,1859,55,1593,3.452605147520402,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1860,1869,1860,1869,20,1454,1.3755158184319118,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1870,1879,1870,1879,27,1104,2.4456521739130435,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1880,1889,1880,1889,34,1434,2.3709902370990235,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1890,1899,1890,1899,29,1689,1.7169923031379515,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1900,1909,1900,1909,47,1982,2.3713420787083757,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1910,1919,1910,1919,32,1393,2.297200287150036,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1920,1929,1920,1929,24,1050,2.2857142857142856,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1930,1939,1930,1939,9,904,0.995575221238938,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1940,1949,1940,1949,0,874,0.0,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1950,1959,1951,1959,2,750,0.26666666666666666,True,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1960,1969,1960,1969,3,4248,0.07062146892655367,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1970,1979,1970,1979,2,1637,0.12217470983506415,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1980,1989,1980,1989,2,2523,0.07927070947284978,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,1990,1999,1990,1999,2,1849,0.1081665765278529,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,2000,2009,2000,2009,0,1498,0.0,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,2010,2019,2010,2019,1,2516,0.0397456279809221,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Public Lands & Homestead Settlement,2020,2029,2020,2026,1,3096,0.03229974160206719,True,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1790,1799,1790,1799,4,341,1.1730205278592376,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1800,1809,1800,1809,2,351,0.5698005698005698,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1810,1819,1810,1819,7,385,1.8181818181818181,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1820,1829,1820,1829,6,645,0.9302325581395349,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1830,1839,1830,1839,9,1447,0.6219765031098825,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1840,1849,1840,1849,13,1452,0.8953168044077136,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1850,1859,1850,1859,9,1593,0.5649717514124294,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1860,1869,1860,1869,11,1454,0.7565337001375516,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1870,1879,1870,1879,22,1104,1.9927536231884055,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1880,1889,1880,1889,31,1434,2.161785216178522,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1890,1899,1890,1899,66,1689,3.9076376554174073,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1900,1909,1900,1909,57,1982,2.875882946518668,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1910,1919,1910,1919,42,1393,3.015075376884422,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1920,1929,1920,1929,89,1050,8.476190476190476,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1930,1939,1930,1939,81,904,8.960176991150442,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1940,1949,1940,1949,25,874,2.8604118993135015,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1950,1959,1951,1959,38,750,5.066666666666666,True,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1960,1969,1960,1969,87,4248,2.048022598870056,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1970,1979,1970,1979,31,1637,1.8937080024434942,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1980,1989,1980,1989,38,2523,1.506143479984146,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,1990,1999,1990,1999,6,1849,0.32449972958355866,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,2000,2009,2000,2009,5,1498,0.33377837116154874,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,2010,2019,2010,2019,9,2516,0.3577106518282989,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,10,Agriculture & Farm Prices,2020,2029,2020,2026,22,3096,0.710594315245478,True,descriptive,not_estimated
Agriculture,share of eligible paragraphs,20,Public Lands & Homestead Settlement,1780,1799,1789,1799,2,355,0.5633802816901409,True,descriptive,not_estimated
Agriculture,share of eligible paragraphs,20,Public Lands & Homestead Settlement,1800,1819,1800,1819,19,736,2.5815217391304346,False,descriptive,not_estimated
Agriculture,share of eligible paragraphs,20,Public Lands & Homestead Settlement,1820,1839,1820,1839,56,2092,2.676864244741874,False,descriptive,not_estimated
