source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Agriculture,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,2,360,0.5555555555555556,2,True,included
Agriculture,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,0,37,0.0,1,True,included
Agriculture,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,6,456,1.3157894736842104,11,True,included
Agriculture,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Agriculture,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,3,97,3.0927835051546393,3,True,included
Agriculture,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,5,804,0.6218905472636816,19,True,included
Agriculture,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,4,249,1.6064257028112447,4,True,included
Agriculture,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,3,725,0.41379310344827586,31,True,included
Agriculture,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,4,339,1.1799410029498525,11,True,included
Agriculture,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,9,1230,0.7317073170731708,33,True,included
Agriculture,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,2,310,0.6451612903225806,7,True,included
Agriculture,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,5,147,3.4013605442176873,4,True,included
Agriculture,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,30,451,6.651884700665188,12,True,included
Agriculture,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,4,353,1.13314447592068,15,True,included
Agriculture,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,13,834,1.5587529976019185,22,True,included
Agriculture,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,1,101,0.9900990099009901,2,True,included
Agriculture,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,16,108,14.814814814814813,2,True,included
Agriculture,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,52,482,10.78838174273859,10,True,included
Agriculture,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,4,478,0.8368200836820083,11,True,included
Agriculture,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,10,976,1.0245901639344261,20,True,included
Agriculture,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,14,1346,1.040118870728083,23,True,included
Agriculture,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,5,531,0.9416195856873822,10,True,included
