source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1810,1819,1810,1819,0,385,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1830,1839,1830,1839,0,1447,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1840,1849,1840,1849,0,1452,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1850,1859,1850,1859,0,1593,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1860,1869,1860,1869,1,1454,0.0687757909215956,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1870,1879,1870,1879,20,1104,1.8115942028985508,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1880,1889,1880,1889,64,1434,4.463040446304045,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1890,1899,1890,1899,11,1689,0.6512729425695678,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1900,1909,1900,1909,13,1982,0.6559031281533804,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1910,1919,1910,1919,1,1393,0.07178750897343862,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1920,1929,1920,1929,0,1050,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1930,1939,1930,1939,0,904,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1940,1949,1940,1949,0,874,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1950,1959,1951,1959,0,750,0.0,True,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1960,1969,1960,1969,0,4248,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1970,1979,1970,1979,0,1637,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1980,1989,1980,1989,0,2523,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1990,1999,1990,1999,0,1849,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,2000,2009,2000,2009,0,1498,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,2010,2019,2010,2019,0,2516,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,Chinese Immigration & Exclusion,2020,2029,2020,2026,0,3096,0.0,True,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,"Slavery, Emancipation & Sectionalism",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Civil rights & race,share of eligible paragraphs,10,"Slavery, Emancipation & Sectionalism",1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,"Slavery, Emancipation & Sectionalism",1800,1809,1800,1809,1,351,0.2849002849002849,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,"Slavery, Emancipation & Sectionalism",1810,1819,1810,1819,4,385,1.0389610389610389,False,descriptive,not_estimated
Civil rights & race,share of eligible paragraphs,10,"Slavery, Emancipation & Sectionalism",1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
