source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Civil rights & race,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,7.142857142857142,0.0,9.090909090909092,0.0,9.090909090909092,14,2,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,0.7751937984496124,0.0,2.3191961285118965,0.0,2.3191961285118965,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,0.0,0.0,0.0,0.0,0.0,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,1.9230769230769231,0.0,4.335077831454642,0.0,4.335077831454642,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,1.0256410256410255,0.0,2.4847396491660745,0.0,2.4847396491660745,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,2.7472527472527473,1.035843737414418,4.601671203871748,1.035843737414418,4.601671203871748,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,1.477832512315271,0.0,3.651031270791747,0.0,3.651031270791747,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,1.8050541516245486,0.5584208552138035,3.3807846124547702,0.5584208552138035,3.3807846124547702,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,4.3478260869565215,2.880813953488372,5.698780685827319,2.880813953488372,5.698780685827319,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,1.4925373134328357,0.7962079047484854,2.2828023906130053,0.7962079047484854,2.2828023906130053,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,3.265940902021773,1.9546661137487833,4.8909564453370145,1.9546661137487833,4.8909564453370145,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1840,1840,1840,1844,1840.0,2.579666160849772,1.4671846072151287,3.995899822695035,1.4671846072151287,3.995899822695035,659,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1845,1845,1845,1849,1845.0,2.1437578814627996,0.4758929397918567,4.184336295099622,0.4758929397918567,4.184336295099622,793,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1850,1850,1850,1854,1850.0,23.11946902654867,1.9285093887004716,42.598598715082886,1.9285093887004716,42.598598715082886,904,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1855,1855,1855,1859,1855.0,11.756168359941945,6.386773089403404,21.473158593231577,6.386773089403404,21.473158593231577,689,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1860,1860,1860,1864,1860.0,16.329704510108865,4.598799047370102,30.568894017968663,4.598799047370102,30.568894017968663,643,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1865,1865,1865,1869,1865.0,10.35758323057953,6.736075429041209,14.714542882859716,6.736075429041209,14.714542882859716,811,37,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1870,1870,1870,1874,1870.0,6.138613861386139,3.652178395555879,10.135766232531607,3.652178395555879,10.135766232531607,505,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1875,1875,1875,1879,1875.0,5.175292153589315,3.6718870658145364,7.444493727030793,3.6718870658145364,7.444493727030793,599,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1880,1880,1880,1884,1880.0,2.8301886792452833,1.1898005148005149,6.797925562424319,1.1898005148005149,6.797925562424319,636,16,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1885,1885,1885,1889,1885.0,5.012531328320802,3.328071267463629,7.314695030035769,3.328071267463629,7.314695030035769,798,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1890,1890,1890,1894,1890.0,2.7251184834123223,1.5631939209974126,4.144613583138173,1.5631939209974126,4.144613583138173,844,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1895,1895,1895,1899,1895.0,1.8934911242603552,0.5716599764387627,2.9119500854990745,0.5716599764387627,2.9119500854990745,845,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1900,1900,1900,1904,1900.0,3.3734939759036147,1.9117632118983277,4.559549630190671,1.9117632118983277,4.559549630190671,830,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1905,1905,1905,1909,1905.0,4.253472222222222,1.9485918863935539,7.576653511159492,1.9485918863935539,7.576653511159492,1152,16,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1910,1910,1910,1914,1910.0,3.111587982832618,2.0982705609954704,4.409989528715971,2.0982705609954704,4.409989528715971,932,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1915,1915,1915,1919,1915.0,5.206073752711497,2.226080916825838,8.541241685144124,2.226080916825838,8.541241685144124,461,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Civil rights & race,share of eligible paragraphs,year5,1920,1920,1920,1924,1920.0,3.6211699164345403,2.1827704084614035,5.151466293221791,2.1827704084614035,5.151466293221791,359,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
