source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Civil rights & race,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,195,360,54.166666666666664,2,True,included
Civil rights & race,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,21,37,56.75675675675676,1,True,included
Civil rights & race,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,95,456,20.833333333333336,11,True,included
Civil rights & race,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,1,6,16.666666666666664,1,False,below_25_paragraph_floor
Civil rights & race,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,5,97,5.154639175257731,3,True,included
Civil rights & race,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,12,804,1.4925373134328357,19,True,included
Civil rights & race,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,10,249,4.016064257028113,4,True,included
Civil rights & race,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,82,725,11.310344827586206,31,True,included
Civil rights & race,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,14,339,4.129793510324483,11,True,included
Civil rights & race,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,45,1230,3.6585365853658534,33,True,included
Civil rights & race,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,26,310,8.38709677419355,7,True,included
Civil rights & race,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,10,147,6.802721088435375,4,True,included
Civil rights & race,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,15,451,3.325942350332594,12,True,included
Civil rights & race,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,6,353,1.69971671388102,15,True,included
Civil rights & race,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,59,834,7.074340527577938,22,True,included
Civil rights & race,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,8,101,7.920792079207921,2,True,included
Civil rights & race,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,5,108,4.62962962962963,2,True,included
Civil rights & race,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,28,482,5.809128630705394,10,True,included
Civil rights & race,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,7,478,1.4644351464435146,11,True,included
Civil rights & race,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,10,976,1.0245901639344261,20,True,included
Civil rights & race,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,17,1346,1.263001485884101,23,True,included
Civil rights & race,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,7,531,1.3182674199623352,10,True,included
Civil rights & race,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,12,209,5.741626794258373,5,True,included
Civil rights & race,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,17,403,4.218362282878412,8,True,included
Civil rights & race,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,2,84,2.380952380952381,2,True,included
Civil rights & race,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,0,140,0.0,7,True,included
Civil rights & race,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,4,275,1.4545454545454546,13,True,included
