source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1790,1799,1790,1799,37,341,10.850439882697946,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1800,1809,1800,1809,24,351,6.837606837606838,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1810,1819,1810,1819,3,385,0.7792207792207793,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1820,1829,1820,1829,13,645,2.0155038759689923,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1830,1839,1830,1839,34,1447,2.349689011748445,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1840,1849,1840,1849,18,1452,1.2396694214876034,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1850,1859,1850,1859,86,1593,5.398618957940992,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1860,1869,1860,1869,81,1454,5.570839064649244,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1870,1879,1870,1879,60,1104,5.434782608695652,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1880,1889,1880,1889,36,1434,2.510460251046025,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1890,1899,1890,1899,52,1689,3.078744819419775,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1900,1909,1900,1909,90,1982,4.540867810292633,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1910,1919,1910,1919,33,1393,2.3689877961234744,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1920,1929,1920,1929,46,1050,4.380952380952381,False,descriptive,not_estimated
Crime & justice,share of eligible paragraphs,10,"Crime, Insurrection & Federal Law Enforcement",1930,1939,1930,1939,16,904,1.7699115044247788,False,descriptive,not_estimated
