source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Crime & justice,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,0.0,,,,,14,2,,low_cluster_caution,True,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,8.527131782945736,4.148588154269973,14.571549773755649,4.148588154269973,14.571549773755649,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,2.358490566037736,0.6115329941642975,4.497474747474746,0.6115329941642975,4.497474747474746,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,2.564102564102564,0.0,5.160370182555781,0.0,5.160370182555781,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,4.102564102564102,1.1170411985018727,8.002856579984238,1.1170411985018727,8.002856579984238,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,3.296703296703297,0.7090040241448692,6.02612955906369,0.7090040241448692,6.02612955906369,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,1.9704433497536946,0.7324763847144697,3.0383787109675433,0.7324763847144697,3.0383787109675433,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,1.8050541516245486,0.16666666666666718,3.214285714285714,0.16666666666666718,3.214285714285714,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,2.1739130434782608,0.10416666666666696,4.6553176553176545,0.10416666666666696,4.6553176553176545,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,4.228855721393035,1.9342660790779378,7.030796258563428,1.9342660790779378,7.030796258563428,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,2.7993779160186625,1.149559477193354,5.216152429196407,1.149559477193354,5.216152429196407,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1840,1840,1840,1844,1840.0,2.731411229135053,1.6683311157868683,4.00511949040229,1.6683311157868683,4.00511949040229,659,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1845,1845,1845,1849,1845.0,1.8915510718789406,1.084083395838542,3.1877184262680442,1.084083395838542,3.1877184262680442,793,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1850,1850,1850,1854,1850.0,3.0973451327433628,1.6069474532535808,5.101170283456029,1.6069474532535808,5.101170283456029,904,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1855,1855,1855,1859,1855.0,4.2089985486211905,2.9715447154471546,6.195257875347718,2.9715447154471546,6.195257875347718,689,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1860,1860,1860,1864,1860.0,3.1104199066874028,1.381090180583767,5.152688033083481,1.381090180583767,5.152688033083481,643,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1865,1865,1865,1869,1865.0,8.877928483353884,5.674881078224101,13.365325040510909,5.674881078224101,13.365325040510909,811,37,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Crime & justice,share of eligible paragraphs,year5,1870,1870,1870,1874,1870.0,5.148514851485149,2.8108200695688836,7.785799844283405,2.8108200695688836,7.785799844283405,505,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
