source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Crime & justice,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,6,360,1.6666666666666667,2,True,included
Crime & justice,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,1,37,2.7027027027027026,1,True,included
Crime & justice,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,17,456,3.7280701754385963,11,True,included
Crime & justice,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Crime & justice,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,4,97,4.123711340206185,3,True,included
Crime & justice,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,34,804,4.228855721393035,19,True,included
Crime & justice,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,1,249,0.4016064257028112,4,True,included
Crime & justice,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,68,725,9.379310344827587,31,True,included
Crime & justice,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,26,339,7.669616519174041,11,True,included
Crime & justice,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,58,1230,4.715447154471545,33,True,included
Crime & justice,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,20,310,6.451612903225806,7,True,included
Crime & justice,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,12,147,8.16326530612245,4,True,included
Crime & justice,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,41,451,9.090909090909092,12,True,included
Crime & justice,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,39,353,11.048158640226628,15,True,included
Crime & justice,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,134,834,16.06714628297362,22,True,included
Crime & justice,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,13,101,12.871287128712872,2,True,included
Crime & justice,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,10,108,9.25925925925926,2,True,included
Crime & justice,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,21,482,4.356846473029045,10,True,included
Crime & justice,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,12,478,2.510460251046025,11,True,included
Crime & justice,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,102,976,10.450819672131148,20,True,included
Crime & justice,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,46,1346,3.4175334323922733,23,True,included
Crime & justice,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,67,531,12.617702448210924,10,True,included
Crime & justice,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,2,209,0.9569377990430622,5,True,included
Crime & justice,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,6,403,1.488833746898263,8,True,included
Crime & justice,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,2,84,2.380952380952381,2,True,included
Crime & justice,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,1,140,0.7142857142857143,7,True,included
Crime & justice,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,10,275,3.6363636363636362,13,True,included
Crime & justice,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1940,1944,10,603,1.658374792703151,26,True,included
Crime & justice,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1945,1949,2,66,3.0303030303030303,3,True,included
Crime & justice,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1850,1854,10,258,3.875968992248062,10,True,included
Crime & justice,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1855,1859,15,214,7.009345794392523,5,True,included
Crime & justice,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1985,1989,21,272,7.720588235294118,6,True,included
Crime & justice,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1990,1994,36,662,5.438066465256798,17,True,included
Crime & justice,share of eligible paragraphs,George W. Bush,George W. Bush,2000,2004,56,531,10.546139359698682,21,True,included
Crime & justice,share of eligible paragraphs,George W. Bush,George W. Bush,2005,2009,59,527,11.195445920303605,17,True,included
Crime & justice,share of eligible paragraphs,George Washington,George Washington,1785,1789,0,14,0.0,2,False,below_25_paragraph_floor
Crime & justice,share of eligible paragraphs,George Washington,George Washington,1790,1794,11,129,8.527131782945736,13,True,included
Crime & justice,share of eligible paragraphs,George Washington,George Washington,1795,1799,1,110,0.9090909090909091,6,True,included
Crime & justice,share of eligible paragraphs,Gerald Ford,Gerald Ford,1970,1974,1,101,0.9900990099009901,5,True,included
Crime & justice,share of eligible paragraphs,Gerald Ford,Gerald Ford,1975,1979,14,309,4.53074433656958,9,True,included
Crime & justice,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1885,1889,33,651,5.0691244239631335,14,True,included
Crime & justice,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1890,1894,19,393,4.8346055979643765,8,True,included
Crime & justice,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1895,1899,13,306,4.248366013071895,10,True,included
Crime & justice,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1945,1949,4,205,1.951219512195122,14,True,included
Crime & justice,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1950,1954,1,103,0.9708737864077669,5,True,included
Crime & justice,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1925,1929,10,209,4.784688995215311,10,True,included
Crime & justice,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1930,1934,8,489,1.6359918200409,20,True,included
Crime & justice,share of eligible paragraphs,James A. Garfield,James A. Garfield,1880,1884,1,29,3.4482758620689653,1,True,included
Crime & justice,share of eligible paragraphs,James Buchanan,James Buchanan,1855,1859,13,438,2.968036529680365,7,True,included
Crime & justice,share of eligible paragraphs,James Buchanan,James Buchanan,1860,1864,3,187,1.6042780748663104,7,True,included
Crime & justice,share of eligible paragraphs,James K. Polk,James K. Polk,1845,1849,12,722,1.662049861495845,25,True,included
Crime & justice,share of eligible paragraphs,James Madison,James Madison,1805,1809,1,24,4.166666666666666,2,False,below_25_paragraph_floor
Crime & justice,share of eligible paragraphs,James Madison,James Madison,1810,1814,6,182,3.296703296703297,14,True,included
Crime & justice,share of eligible paragraphs,James Madison,James Madison,1815,1819,1,68,1.4705882352941175,5,True,included
Crime & justice,share of eligible paragraphs,James Monroe,James Monroe,1815,1819,3,135,2.2222222222222223,4,True,included
Crime & justice,share of eligible paragraphs,James Monroe,James Monroe,1820,1824,5,272,1.8382352941176472,6,True,included
Crime & justice,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,23,754,3.050397877984085,16,True,included
Crime & justice,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,6,280,2.142857142857143,6,True,included
Crime & justice,share of eligible paragraphs,Joe Biden,Joe Biden,2020,2024,105,1188,8.83838383838384,27,True,included
Crime & justice,share of eligible paragraphs,Joe Biden,Joe Biden,2025,2029,3,31,9.67741935483871,1,True,included
Crime & justice,share of eligible paragraphs,John Adams,John Adams,1795,1799,4,102,3.9215686274509802,7,True,included
Crime & justice,share of eligible paragraphs,John Adams,John Adams,1800,1804,2,14,14.285714285714285,2,False,below_25_paragraph_floor
Crime & justice,share of eligible paragraphs,John F. Kennedy,John F. Kennedy,1960,1964,27,1367,1.9751280175566936,44,True,included
Crime & justice,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1820,1824,0,5,0.0,1,False,below_25_paragraph_floor
Crime & justice,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1825,1829,4,271,1.4760147601476015,7,True,included
Crime & justice,share of eligible paragraphs,John Tyler,John Tyler,1840,1844,13,531,2.4482109227871938,17,True,included
Crime & justice,share of eligible paragraphs,John Tyler,John Tyler,1845,1849,2,9,22.22222222222222,1,False,below_25_paragraph_floor
Crime & justice,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1960,1964,23,731,3.146374829001368,20,True,included
Crime & justice,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1965,1969,116,1981,5.85562847046946,51,True,included
Crime & justice,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1835,1839,17,394,4.314720812182741,8,True,included
Crime & justice,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1840,1844,2,71,2.8169014084507045,2,True,included
Crime & justice,share of eligible paragraphs,Millard Fillmore,Millard Fillmore,1850,1854,12,268,4.477611940298507,7,True,included
Crime & justice,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1950,1954,0,35,0.0,1,True,included
Crime & justice,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1965,1969,2,51,3.9215686274509802,2,True,included
Crime & justice,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1970,1974,20,434,4.6082949308755765,20,True,included
Crime & justice,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1960,1964,0,34,0.0,1,True,included
Crime & justice,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1975,1979,0,39,0.0,2,True,included
Crime & justice,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1980,1984,54,1399,3.8598999285203717,35,True,included
Crime & justice,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1985,1989,31,572,5.419580419580419,22,True,included
Crime & justice,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1875,1879,28,371,7.547169811320755,12,True,included
Crime & justice,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1880,1884,12,129,9.30232558139535,4,True,included
Crime & justice,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1900,1904,42,602,6.976744186046512,11,True,included
Crime & justice,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1905,1909,98,928,10.560344827586206,11,True,included
Crime & justice,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1800,1804,2,142,1.4084507042253522,11,True,included
Crime & justice,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1805,1809,7,171,4.093567251461988,13,True,included
Crime & justice,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1865,1869,4,80,5.0,5,True,included
Crime & justice,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1870,1874,26,505,5.148514851485149,19,True,included
Crime & justice,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1875,1879,20,228,8.771929824561402,8,True,included
Crime & justice,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1915,1919,0,9,0.0,2,False,below_25_paragraph_floor
Crime & justice,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1920,1924,2,229,0.8733624454148471,16,True,included
Crime & justice,share of eligible paragraphs,William Harrison,William Henry Harrison,1840,1844,3,57,5.263157894736842,1,True,included
Crime & justice,share of eligible paragraphs,William McKinley,William McKinley,1895,1899,31,539,5.75139146567718,10,True,included
Crime & justice,share of eligible paragraphs,William McKinley,William McKinley,1900,1904,5,228,2.1929824561403506,4,True,included
Crime & justice,share of eligible paragraphs,William Taft,William Howard Taft,1905,1909,12,224,5.357142857142857,5,True,included
Crime & justice,share of eligible paragraphs,William Taft,William Howard Taft,1910,1914,43,745,5.771812080536913,7,True,included
Crime & justice,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1910,1914,3,187,1.6042780748663104,13,True,included
Crime & justice,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1915,1919,21,452,4.646017699115045,19,True,included
Crime & justice,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1920,1924,0,22,0.0,1,False,below_25_paragraph_floor
Crime & justice,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1845,1849,1,62,1.6129032258064515,2,True,included
Crime & justice,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1850,1854,0,18,0.0,2,False,below_25_paragraph_floor
