source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1810,1819,1810,1819,0,385,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1830,1839,1830,1839,1,1447,0.0691085003455425,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1840,1849,1840,1849,0,1452,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1850,1859,1850,1859,5,1593,0.31387319522912743,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1860,1869,1860,1869,0,1454,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1870,1879,1870,1879,0,1104,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1880,1889,1880,1889,0,1434,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1890,1899,1890,1899,0,1689,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1900,1909,1900,1909,0,1982,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1910,1919,1910,1919,0,1393,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1920,1929,1920,1929,4,1050,0.38095238095238093,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1930,1939,1930,1939,302,904,33.4070796460177,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1940,1949,1940,1949,7,874,0.8009153318077803,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1950,1959,1951,1959,7,750,0.9333333333333335,True,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1960,1969,1960,1969,4,4248,0.09416195856873823,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1970,1979,1970,1979,5,1637,0.3054367745876604,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1980,1989,1980,1989,7,2523,0.27744748315497425,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,1990,1999,1990,1999,2,1849,0.1081665765278529,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,2000,2009,2000,2009,20,1498,1.335113484646195,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,2010,2019,2010,2019,12,2516,0.47694753577106513,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,Great Depression Recovery,2020,2029,2020,2026,36,3096,1.1627906976744187,True,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1810,1819,1810,1819,1,385,0.2597402597402597,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1830,1839,1830,1839,6,1447,0.414651002073255,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1840,1849,1840,1849,5,1452,0.34435261707988984,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1850,1859,1850,1859,1,1593,0.06277463904582549,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1860,1869,1860,1869,18,1454,1.2379642365887207,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1870,1879,1870,1879,6,1104,0.5434782608695652,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1880,1889,1880,1889,26,1434,1.813110181311018,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1890,1899,1890,1899,35,1689,2.0722320899940794,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1900,1909,1900,1909,166,1982,8.375378405650856,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1910,1919,1910,1919,69,1393,4.953338119167265,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1920,1929,1920,1929,73,1050,6.9523809523809526,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1930,1939,1930,1939,102,904,11.283185840707963,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1940,1949,1940,1949,64,874,7.322654462242563,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1950,1959,1951,1959,33,750,4.3999999999999995,True,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1960,1969,1960,1969,112,4248,2.6365348399246704,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1970,1979,1970,1979,26,1637,1.588271227855834,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1980,1989,1980,1989,46,2523,1.823226317875545,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",1990,1999,1990,1999,65,1849,3.515413737155219,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",2000,2009,2000,2009,19,1498,1.268357810413885,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",2010,2019,2010,2019,81,2516,3.21939586645469,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Labor, Wages & Working Conditions",2020,2029,2020,2026,41,3096,1.3242894056847545,True,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1810,1819,1810,1819,0,385,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1830,1839,1830,1839,1,1447,0.0691085003455425,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1840,1849,1840,1849,0,1452,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1850,1859,1850,1859,0,1593,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1860,1869,1860,1869,2,1454,0.1375515818431912,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1870,1879,1870,1879,0,1104,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1880,1889,1880,1889,1,1434,0.0697350069735007,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1890,1899,1890,1899,0,1689,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1900,1909,1900,1909,0,1982,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1910,1919,1910,1919,2,1393,0.14357501794687724,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1920,1929,1920,1929,14,1050,1.3333333333333335,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1930,1939,1930,1939,55,904,6.084070796460177,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1940,1949,1940,1949,22,874,2.517162471395881,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1950,1959,1951,1959,24,750,3.2,True,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1960,1969,1960,1969,213,4248,5.014124293785311,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1970,1979,1970,1979,67,1637,4.092852779474649,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1980,1989,1980,1989,112,2523,4.439159730479588,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",1990,1999,1990,1999,185,1849,10.005408328826393,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",2000,2009,2000,2009,82,1498,5.473965287049399,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",2010,2019,2010,2019,120,2516,4.769475357710652,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Welfare, Poverty & Economic Opportunity",2020,2029,2020,2026,62,3096,2.0025839793281652,True,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1810,1819,1810,1819,1,385,0.2597402597402597,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1820,1829,1820,1829,1,645,0.15503875968992248,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1830,1839,1830,1839,1,1447,0.0691085003455425,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1840,1849,1840,1849,1,1452,0.06887052341597796,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1850,1859,1850,1859,0,1593,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1860,1869,1860,1869,1,1454,0.0687757909215956,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1870,1879,1870,1879,2,1104,0.18115942028985507,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1880,1889,1880,1889,5,1434,0.3486750348675035,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1890,1899,1890,1899,18,1689,1.0657193605683837,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1900,1909,1900,1909,15,1982,0.756811301715439,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1910,1919,1910,1919,5,1393,0.3589375448671931,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1920,1929,1920,1929,44,1050,4.190476190476191,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1930,1939,1930,1939,19,904,2.101769911504425,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1940,1949,1940,1949,12,874,1.3729977116704806,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1950,1959,1951,1959,42,750,5.6000000000000005,True,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1960,1969,1960,1969,168,4248,3.954802259887006,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1970,1979,1970,1979,127,1637,7.758094074526572,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1980,1989,1980,1989,163,2523,6.460562822037256,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",1990,1999,1990,1999,150,1849,8.112493239588966,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",2000,2009,2000,2009,88,1498,5.874499332443257,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",2010,2019,2010,2019,292,2516,11.605723370429253,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Prosperity, Jobs & the Middle Class",2020,2029,2020,2026,226,3096,7.299741602067184,True,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Trusts, Corporations & Antitrust",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Trusts, Corporations & Antitrust",1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Trusts, Corporations & Antitrust",1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Trusts, Corporations & Antitrust",1810,1819,1810,1819,0,385,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Trusts, Corporations & Antitrust",1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Economy & jobs,share of eligible paragraphs,10,"Trusts, Corporations & Antitrust",1830,1839,1830,1839,2,1447,0.138217000691085,False,descriptive,not_estimated
