source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Economy & jobs,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,14.285714285714285,9.090909090909092,33.33333333333333,9.090909090909092,33.33333333333333,14,2,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Economy & jobs,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,11.627906976744185,7.604468016714883,15.217391304347828,7.604468016714883,15.217391304347828,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Economy & jobs,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,14.150943396226415,10.458815325293298,18.244206773618536,10.458815325293298,18.244206773618536,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Economy & jobs,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,16.025641025641026,8.77450980392157,23.790983606557376,8.77450980392157,23.790983606557376,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Economy & jobs,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,8.205128205128204,4.481200175757957,12.422889610389607,4.481200175757957,12.422889610389607,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Economy & jobs,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,7.142857142857142,4.163431757175305,10.573161189358371,4.163431757175305,10.573161189358371,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Economy & jobs,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,12.31527093596059,6.159557781825542,20.486260540854897,6.159557781825542,20.486260540854897,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Economy & jobs,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,7.2202166064981945,4.828507578701904,10.780688238315355,4.828507578701904,10.780688238315355,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Economy & jobs,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,8.967391304347826,5.897375079063884,11.227354578194914,5.897375079063884,11.227354578194914,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Economy & jobs,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,9.45273631840796,6.430121316268692,12.630238726790449,6.430121316268692,12.630238726790449,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
