source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Economy & jobs,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,12,360,3.3333333333333335,2,True,included
Economy & jobs,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,0,37,0.0,1,True,included
Economy & jobs,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,20,456,4.385964912280701,11,True,included
Economy & jobs,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Economy & jobs,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,12,97,12.371134020618557,3,True,included
Economy & jobs,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,76,804,9.45273631840796,19,True,included
Economy & jobs,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,40,249,16.06425702811245,4,True,included
Economy & jobs,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,60,725,8.275862068965518,31,True,included
Economy & jobs,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,100,339,29.49852507374631,11,True,included
Economy & jobs,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,433,1230,35.203252032520325,33,True,included
Economy & jobs,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,80,310,25.806451612903224,7,True,included
Economy & jobs,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,22,147,14.965986394557824,4,True,included
Economy & jobs,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,78,451,17.29490022172949,12,True,included
Economy & jobs,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,110,353,31.1614730878187,15,True,included
Economy & jobs,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,210,834,25.179856115107913,22,True,included
Economy & jobs,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,32,101,31.683168316831683,2,True,included
Economy & jobs,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,30,108,27.77777777777778,2,True,included
Economy & jobs,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,107,482,22.199170124481327,10,True,included
Economy & jobs,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,37,478,7.740585774058577,11,True,included
Economy & jobs,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,175,976,17.93032786885246,20,True,included
Economy & jobs,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,181,1346,13.447251114413076,23,True,included
Economy & jobs,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,55,531,10.357815442561206,10,True,included
Economy & jobs,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,31,209,14.832535885167463,5,True,included
Economy & jobs,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,94,403,23.325062034739457,8,True,included
Economy & jobs,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,14,84,16.666666666666664,2,True,included
Economy & jobs,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,60,140,42.857142857142854,7,True,included
Economy & jobs,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,98,275,35.63636363636364,13,True,included
Economy & jobs,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1940,1944,89,603,14.759535655058043,26,True,included
Economy & jobs,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1945,1949,4,66,6.0606060606060606,3,True,included
Economy & jobs,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1850,1854,25,258,9.689922480620156,10,True,included
Economy & jobs,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1855,1859,17,214,7.943925233644859,5,True,included
Economy & jobs,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1985,1989,47,272,17.27941176470588,6,True,included
Economy & jobs,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1990,1994,104,662,15.709969788519636,17,True,included
Economy & jobs,share of eligible paragraphs,George W. Bush,George W. Bush,2000,2004,75,531,14.124293785310735,21,True,included
Economy & jobs,share of eligible paragraphs,George W. Bush,George W. Bush,2005,2009,107,527,20.30360531309298,17,True,included
Economy & jobs,share of eligible paragraphs,George Washington,George Washington,1785,1789,2,14,14.285714285714285,2,False,below_25_paragraph_floor
Economy & jobs,share of eligible paragraphs,George Washington,George Washington,1790,1794,15,129,11.627906976744185,13,True,included
Economy & jobs,share of eligible paragraphs,George Washington,George Washington,1795,1799,14,110,12.727272727272727,6,True,included
Economy & jobs,share of eligible paragraphs,Gerald Ford,Gerald Ford,1970,1974,14,101,13.861386138613863,5,True,included
Economy & jobs,share of eligible paragraphs,Gerald Ford,Gerald Ford,1975,1979,56,309,18.12297734627832,9,True,included
Economy & jobs,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1885,1889,88,651,13.517665130568357,14,True,included
Economy & jobs,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1890,1894,52,393,13.231552162849871,8,True,included
Economy & jobs,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1895,1899,47,306,15.359477124183007,10,True,included
Economy & jobs,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1945,1949,32,205,15.609756097560975,14,True,included
Economy & jobs,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1950,1954,13,103,12.62135922330097,5,True,included
Economy & jobs,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1925,1929,72,209,34.44976076555024,10,True,included
Economy & jobs,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1930,1934,193,489,39.46830265848671,20,True,included
Economy & jobs,share of eligible paragraphs,James A. Garfield,James A. Garfield,1880,1884,4,29,13.793103448275861,1,True,included
Economy & jobs,share of eligible paragraphs,James Buchanan,James Buchanan,1855,1859,35,438,7.9908675799086755,7,True,included
Economy & jobs,share of eligible paragraphs,James Buchanan,James Buchanan,1860,1864,8,187,4.27807486631016,7,True,included
Economy & jobs,share of eligible paragraphs,James K. Polk,James K. Polk,1845,1849,66,722,9.141274238227147,25,True,included
Economy & jobs,share of eligible paragraphs,James Madison,James Madison,1805,1809,3,24,12.5,2,False,below_25_paragraph_floor
Economy & jobs,share of eligible paragraphs,James Madison,James Madison,1810,1814,13,182,7.142857142857142,14,True,included
Economy & jobs,share of eligible paragraphs,James Madison,James Madison,1815,1819,14,68,20.588235294117645,5,True,included
Economy & jobs,share of eligible paragraphs,James Monroe,James Monroe,1815,1819,11,135,8.148148148148149,4,True,included
Economy & jobs,share of eligible paragraphs,James Monroe,James Monroe,1820,1824,20,272,7.352941176470589,6,True,included
Economy & jobs,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,160,754,21.220159151193634,16,True,included
Economy & jobs,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,49,280,17.5,6,True,included
Economy & jobs,share of eligible paragraphs,Joe Biden,Joe Biden,2020,2024,187,1188,15.74074074074074,27,True,included
Economy & jobs,share of eligible paragraphs,Joe Biden,Joe Biden,2025,2029,7,31,22.58064516129032,1,True,included
Economy & jobs,share of eligible paragraphs,John Adams,John Adams,1795,1799,16,102,15.686274509803921,7,True,included
Economy & jobs,share of eligible paragraphs,John Adams,John Adams,1800,1804,3,14,21.428571428571427,2,False,below_25_paragraph_floor
Economy & jobs,share of eligible paragraphs,John F. Kennedy,John F. Kennedy,1960,1964,145,1367,10.607168983174835,44,True,included
Economy & jobs,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1820,1824,0,5,0.0,1,False,below_25_paragraph_floor
Economy & jobs,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1825,1829,21,271,7.7490774907749085,7,True,included
Economy & jobs,share of eligible paragraphs,John Tyler,John Tyler,1840,1844,59,531,11.11111111111111,17,True,included
Economy & jobs,share of eligible paragraphs,John Tyler,John Tyler,1845,1849,0,9,0.0,1,False,below_25_paragraph_floor
Economy & jobs,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1960,1964,63,731,8.618331053351573,20,True,included
Economy & jobs,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1965,1969,166,1981,8.379606259464916,51,True,included
Economy & jobs,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1835,1839,81,394,20.558375634517766,8,True,included
Economy & jobs,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1840,1844,11,71,15.492957746478872,2,True,included
Economy & jobs,share of eligible paragraphs,Millard Fillmore,Millard Fillmore,1850,1854,38,268,14.17910447761194,7,True,included
Economy & jobs,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1950,1954,7,35,20.0,1,True,included
Economy & jobs,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1965,1969,3,51,5.88235294117647,2,True,included
Economy & jobs,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1970,1974,44,434,10.138248847926267,20,True,included
Economy & jobs,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1960,1964,9,34,26.47058823529412,1,True,included
Economy & jobs,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1975,1979,10,39,25.64102564102564,2,True,included
Economy & jobs,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1980,1984,220,1399,15.72551822730522,35,True,included
Economy & jobs,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1985,1989,75,572,13.111888111888112,22,True,included
Economy & jobs,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1875,1879,43,371,11.590296495956872,12,True,included
Economy & jobs,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1880,1884,22,129,17.05426356589147,4,True,included
Economy & jobs,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1900,1904,110,602,18.272425249169437,11,True,included
