source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Education,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,0.0,,,,,14,2,,low_cluster_caution,True,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,0.7751937984496124,0.0,2.886269070735089,0.0,2.886269070735089,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,1.8867924528301887,0.20474137931034544,3.816528066528065,0.20474137931034544,3.816528066528065,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,0.0,0.0,0.0,0.0,0.0,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,4.102564102564102,1.107888275015347,7.462123467079413,1.107888275015347,7.462123467079413,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,1.6483516483516485,0.0,4.317538126361656,0.0,4.317538126361656,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,0.9852216748768473,0.0,2.1111111111111107,0.0,2.1111111111111107,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,1.083032490974729,0.0,2.287196513799543,0.0,2.287196513799543,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,1.9021739130434785,0.7759780687660669,2.8234392419175025,0.7759780687660669,2.8234392419175025,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,0.3731343283582089,0.0,0.7424768518518519,0.0,0.7424768518518519,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,0.7776049766718507,0.30901802266689604,1.3213283775508746,0.30901802266689604,1.3213283775508746,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1840,1840,1840,1844,1840.0,0.4552352048558422,0.0,1.0003777945686472,0.0,1.0003777945686472,659,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1845,1845,1845,1849,1845.0,1.2610340479192939,0.46919367652900595,1.9360519509107919,0.46919367652900595,1.9360519509107919,793,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1850,1850,1850,1854,1850.0,0.5530973451327433,0.0941880361602539,1.1488533969235408,0.0941880361602539,1.1488533969235408,904,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1855,1855,1855,1859,1855.0,2.9027576197387517,0.37692236625163456,7.695282561775977,0.37692236625163456,7.695282561775977,689,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1860,1860,1860,1864,1860.0,0.15552099533437014,0.0,0.49673121993339087,0.0,0.49673121993339087,643,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1865,1865,1865,1869,1865.0,1.1097410604192355,0.10310410087929149,2.1756217673091065,0.10310410087929149,2.1756217673091065,811,37,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Education,share of eligible paragraphs,year5,1870,1870,1870,1874,1870.0,4.356435643564356,1.9450126631599456,7.72056282809489,1.9450126631599456,7.72056282809489,505,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
