source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Education,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,2,360,0.5555555555555556,2,True,included
Education,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,0,37,0.0,1,True,included
Education,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,1,456,0.21929824561403508,11,True,included
Education,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Education,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,3,97,3.0927835051546393,3,True,included
Education,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,3,804,0.3731343283582089,19,True,included
Education,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,1,249,0.4016064257028112,4,True,included
Education,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,6,725,0.8275862068965517,31,True,included
Education,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,39,339,11.504424778761061,11,True,included
Education,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,141,1230,11.463414634146343,33,True,included
Education,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,29,310,9.35483870967742,7,True,included
Education,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,11,147,7.482993197278912,4,True,included
Education,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,8,451,1.7738359201773837,12,True,included
Education,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,45,353,12.747875354107649,15,True,included
Education,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,145,834,17.38609112709832,22,True,included
Education,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,14,101,13.861386138613863,2,True,included
Education,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,6,108,5.555555555555555,2,True,included
Education,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,32,482,6.639004149377594,10,True,included
Education,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,14,478,2.928870292887029,11,True,included
Education,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,29,976,2.971311475409836,20,True,included
Education,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,41,1346,3.0460624071322435,23,True,included
Education,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,18,531,3.389830508474576,10,True,included
Education,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,7,209,3.349282296650718,5,True,included
Education,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,29,403,7.196029776674938,8,True,included
Education,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,2,84,2.380952380952381,2,True,included
Education,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,1,140,0.7142857142857143,7,True,included
Education,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,9,275,3.272727272727273,13,True,included
Education,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1940,1944,13,603,2.155887230514096,26,True,included
Education,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1945,1949,1,66,1.5151515151515151,3,True,included
Education,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1850,1854,1,258,0.3875968992248062,10,True,included
Education,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1855,1859,4,214,1.8691588785046727,5,True,included
Education,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1985,1989,32,272,11.76470588235294,6,True,included
Education,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1990,1994,29,662,4.380664652567976,17,True,included
Education,share of eligible paragraphs,George W. Bush,George W. Bush,2000,2004,54,531,10.16949152542373,21,True,included
Education,share of eligible paragraphs,George W. Bush,George W. Bush,2005,2009,22,527,4.174573055028463,17,True,included
Education,share of eligible paragraphs,George Washington,George Washington,1785,1789,0,14,0.0,2,False,below_25_paragraph_floor
Education,share of eligible paragraphs,George Washington,George Washington,1790,1794,1,129,0.7751937984496124,13,True,included
Education,share of eligible paragraphs,George Washington,George Washington,1795,1799,3,110,2.727272727272727,6,True,included
Education,share of eligible paragraphs,Gerald Ford,Gerald Ford,1970,1974,0,101,0.0,5,True,included
Education,share of eligible paragraphs,Gerald Ford,Gerald Ford,1975,1979,11,309,3.559870550161812,9,True,included
Education,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1885,1889,11,651,1.6897081413210446,14,True,included
Education,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1890,1894,7,393,1.7811704834605597,8,True,included
Education,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1895,1899,2,306,0.6535947712418301,10,True,included
Education,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1945,1949,6,205,2.9268292682926833,14,True,included
