source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1810,1819,1810,1819,0,385,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1830,1839,1830,1839,0,1447,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1840,1849,1840,1849,1,1452,0.06887052341597796,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1850,1859,1850,1859,0,1593,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1860,1869,1860,1869,1,1454,0.0687757909215956,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1870,1879,1870,1879,5,1104,0.4528985507246377,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1880,1889,1880,1889,10,1434,0.697350069735007,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1890,1899,1890,1899,20,1689,1.1841326228537596,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1900,1909,1900,1909,103,1982,5.196770938446014,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1910,1919,1910,1919,50,1393,3.589375448671931,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1920,1929,1920,1929,25,1050,2.380952380952381,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1930,1939,1930,1939,14,904,1.5486725663716814,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1940,1949,1940,1949,0,874,0.0,False,descriptive,not_estimated
Energy & environment,share of eligible paragraphs,10,Conservation & the Environment,1950,1959,1951,1959,19,750,2.533333333333333,True,descriptive,not_estimated
