source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Energy & environment,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,0.0,,,,,14,2,,low_cluster_caution,True,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,0.0,0.0,0.0,0.0,0.0,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,0.0,0.0,0.0,0.0,0.0,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,2.564102564102564,0.0,5.575824386503065,0.0,5.575824386503065,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,0.5128205128205128,0.0,1.5426249008723236,0.0,1.5426249008723236,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,0.0,0.0,0.0,0.0,0.0,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,0.49261083743842365,0.0,1.6528650870406163,0.0,1.6528650870406163,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,1.083032490974729,0.0,1.9117416768455007,0.0,1.9117416768455007,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,0.2717391304347826,0.0,0.9681907463989516,0.0,0.9681907463989516,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,0.4975124378109453,0.0,1.4644464232002834,0.0,1.4644464232002834,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,0.7776049766718507,0.11382528490388998,1.860280259739546,0.11382528490388998,1.860280259739546,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1840,1840,1840,1844,1840.0,1.062215477996965,0.5063081103869468,1.6096433012866502,0.5063081103869468,1.6096433012866502,659,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1845,1845,1845,1849,1845.0,0.8827238335435058,0.14300422472940444,1.8170616672562196,0.14300422472940444,1.8170616672562196,793,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1850,1850,1850,1854,1850.0,0.995575221238938,0.2163214802941466,1.3897338097077379,0.2163214802941466,1.3897338097077379,904,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1855,1855,1855,1859,1855.0,0.7256894049346879,0.2349196265812296,1.3910141231476643,0.2349196265812296,1.3910141231476643,689,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1860,1860,1860,1864,1860.0,0.46656298600311047,0.0,0.9673186597754411,0.0,0.9673186597754411,643,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1865,1865,1865,1869,1865.0,0.6165228113440198,0.0,1.3033886800334162,0.0,1.3033886800334162,811,37,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1870,1870,1870,1874,1870.0,0.9900990099009901,0.3847480253643342,1.881188410233466,0.3847480253643342,1.881188410233466,505,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1875,1875,1875,1879,1875.0,1.335559265442404,0.48651112676640007,1.9154806854487363,0.48651112676640007,1.9154806854487363,599,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1880,1880,1880,1884,1880.0,1.257861635220126,0.4777725939749401,1.9442279073063566,0.4777725939749401,1.9442279073063566,636,16,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1885,1885,1885,1889,1885.0,0.6265664160401002,0.0,1.457986930316667,0.0,1.457986930316667,798,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1890,1890,1890,1894,1890.0,0.9478672985781991,0.19796453399316608,1.7621080914567357,0.19796453399316608,1.7621080914567357,844,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Energy & environment,share of eligible paragraphs,year5,1895,1895,1895,1899,1895.0,0.35502958579881655,0.0,0.6872032672132669,0.0,0.6872032672132669,845,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
