source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Energy & environment,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,6,360,1.6666666666666667,2,True,included
Energy & environment,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,0,37,0.0,1,True,included
Energy & environment,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,3,456,0.6578947368421052,11,True,included
Energy & environment,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Energy & environment,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,0,97,0.0,3,True,included
Energy & environment,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,4,804,0.4975124378109453,19,True,included
Energy & environment,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,0,249,0.0,4,True,included
Energy & environment,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,3,725,0.41379310344827586,31,True,included
Energy & environment,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,11,339,3.2448377581120944,11,True,included
Energy & environment,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,73,1230,5.934959349593496,33,True,included
Energy & environment,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,21,310,6.774193548387098,7,True,included
Energy & environment,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,2,147,1.3605442176870748,4,True,included
Energy & environment,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,5,451,1.1086474501108647,12,True,included
Energy & environment,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,14,353,3.9660056657223794,15,True,included
Energy & environment,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,39,834,4.676258992805756,22,True,included
Energy & environment,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,11,101,10.891089108910892,2,True,included
Energy & environment,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,8,108,7.4074074074074066,2,True,included
Energy & environment,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,16,482,3.319502074688797,10,True,included
Energy & environment,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,6,478,1.2552301255230125,11,True,included
Energy & environment,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,28,976,2.8688524590163933,20,True,included
Energy & environment,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,19,1346,1.411589895988113,23,True,included
Energy & environment,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,33,531,6.214689265536723,10,True,included
Energy & environment,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,14,209,6.698564593301436,5,True,included
Energy & environment,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,19,403,4.714640198511166,8,True,included
Energy & environment,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,1,84,1.1904761904761905,2,True,included
Energy & environment,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,3,140,2.142857142857143,7,True,included
Energy & environment,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,12,275,4.363636363636364,13,True,included
Energy & environment,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1940,1944,21,603,3.482587064676617,26,True,included
Energy & environment,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1945,1949,0,66,0.0,3,True,included
Energy & environment,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1850,1854,1,258,0.3875968992248062,10,True,included
Energy & environment,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1855,1859,4,214,1.8691588785046727,5,True,included
Energy & environment,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1985,1989,15,272,5.514705882352941,6,True,included
Energy & environment,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1990,1994,24,662,3.625377643504532,17,True,included
Energy & environment,share of eligible paragraphs,George W. Bush,George W. Bush,2000,2004,10,531,1.8832391713747645,21,True,included
Energy & environment,share of eligible paragraphs,George W. Bush,George W. Bush,2005,2009,23,527,4.364326375711575,17,True,included
Energy & environment,share of eligible paragraphs,George Washington,George Washington,1785,1789,0,14,0.0,2,False,below_25_paragraph_floor
Energy & environment,share of eligible paragraphs,George Washington,George Washington,1790,1794,0,129,0.0,13,True,included
Energy & environment,share of eligible paragraphs,George Washington,George Washington,1795,1799,0,110,0.0,6,True,included
Energy & environment,share of eligible paragraphs,Gerald Ford,Gerald Ford,1970,1974,14,101,13.861386138613863,5,True,included
Energy & environment,share of eligible paragraphs,Gerald Ford,Gerald Ford,1975,1979,43,309,13.915857605177994,9,True,included
Energy & environment,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1885,1889,3,651,0.4608294930875576,14,True,included
Energy & environment,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1890,1894,3,393,0.7633587786259541,8,True,included
Energy & environment,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1895,1899,0,306,0.0,10,True,included
Energy & environment,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1945,1949,5,205,2.4390243902439024,14,True,included
Energy & environment,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1950,1954,2,103,1.9417475728155338,5,True,included
Energy & environment,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1925,1929,6,209,2.8708133971291865,10,True,included
Energy & environment,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1930,1934,5,489,1.0224948875255624,20,True,included
Energy & environment,share of eligible paragraphs,James A. Garfield,James A. Garfield,1880,1884,0,29,0.0,1,True,included
Energy & environment,share of eligible paragraphs,James Buchanan,James Buchanan,1855,1859,1,438,0.228310502283105,7,True,included
Energy & environment,share of eligible paragraphs,James Buchanan,James Buchanan,1860,1864,0,187,0.0,7,True,included
Energy & environment,share of eligible paragraphs,James K. Polk,James K. Polk,1845,1849,6,722,0.8310249307479225,25,True,included
Energy & environment,share of eligible paragraphs,James Madison,James Madison,1805,1809,0,24,0.0,2,False,below_25_paragraph_floor
Energy & environment,share of eligible paragraphs,James Madison,James Madison,1810,1814,0,182,0.0,14,True,included
Energy & environment,share of eligible paragraphs,James Madison,James Madison,1815,1819,0,68,0.0,5,True,included
Energy & environment,share of eligible paragraphs,James Monroe,James Monroe,1815,1819,1,135,0.7407407407407408,4,True,included
Energy & environment,share of eligible paragraphs,James Monroe,James Monroe,1820,1824,3,272,1.1029411764705883,6,True,included
Energy & environment,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,78,754,10.344827586206897,16,True,included
Energy & environment,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,40,280,14.285714285714285,6,True,included
