source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1790,1799,1790,1799,57,341,16.715542521994134,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1800,1809,1800,1809,48,351,13.675213675213676,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1810,1819,1810,1819,62,385,16.103896103896105,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1820,1829,1820,1829,31,645,4.8062015503875966,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1830,1839,1830,1839,12,1447,0.82930200414651,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1840,1849,1840,1849,33,1452,2.272727272727273,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1850,1859,1850,1859,52,1593,3.264281230382925,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1860,1869,1860,1869,17,1454,1.1691884456671253,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1870,1879,1870,1879,28,1104,2.536231884057971,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1880,1889,1880,1889,5,1434,0.3486750348675035,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1890,1899,1890,1899,37,1689,2.1906453522794553,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1900,1909,1900,1909,13,1982,0.6559031281533804,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1910,1919,1910,1919,46,1393,3.3022254127781765,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1920,1929,1920,1929,0,1050,0.0,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1930,1939,1930,1939,0,904,0.0,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1940,1949,1940,1949,15,874,1.7162471395881007,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1950,1959,1951,1959,0,750,0.0,True,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1960,1969,1960,1969,0,4248,0.0,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1970,1979,1970,1979,1,1637,0.061087354917532075,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1980,1989,1980,1989,0,2523,0.0,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,1990,1999,1990,1999,1,1849,0.05408328826392645,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,2000,2009,2000,2009,0,1498,0.0,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,2010,2019,2010,2019,0,2516,0.0,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,Neutral Rights & Maritime Depredations,2020,2029,2020,2026,0,3096,0.0,True,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1790,1799,1790,1799,72,341,21.114369501466275,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1800,1809,1800,1809,43,351,12.250712250712251,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1810,1819,1810,1819,69,385,17.92207792207792,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1820,1829,1820,1829,125,645,19.379844961240313,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1830,1839,1830,1839,212,1447,14.65100207325501,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1840,1849,1840,1849,264,1452,18.181818181818183,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1850,1859,1850,1859,198,1593,12.429378531073446,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1860,1869,1860,1869,115,1454,7.909215955983494,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1870,1879,1870,1879,188,1104,17.02898550724638,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1880,1889,1880,1889,216,1434,15.062761506276152,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1890,1899,1890,1899,358,1689,21.195973949082298,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1900,1909,1900,1909,254,1982,12.815338042381432,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1910,1919,1910,1919,182,1393,13.06532663316583,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1920,1929,1920,1929,144,1050,13.714285714285715,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1930,1939,1930,1939,63,904,6.969026548672566,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1940,1949,1940,1949,96,874,10.983981693363845,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1950,1959,1951,1959,43,750,5.733333333333333,True,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1960,1969,1960,1969,306,4248,7.203389830508475,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1970,1979,1970,1979,121,1637,7.391569945021381,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1980,1989,1980,1989,127,2523,5.033690051525961,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",1990,1999,1990,1999,170,1849,9.194159004867496,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",2000,2009,2000,2009,38,1498,2.53671562082777,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",2010,2019,2010,2019,44,2516,1.7488076311605723,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Treaties, Diplomacy & International Arbitration",2020,2029,2020,2026,91,3096,2.9392764857881137,True,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1790,1799,1790,1799,7,341,2.0527859237536656,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1800,1809,1800,1809,28,351,7.977207977207977,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1810,1819,1810,1819,48,385,12.467532467532468,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1820,1829,1820,1829,35,645,5.426356589147287,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1830,1839,1830,1839,54,1447,3.7318590186592946,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1840,1849,1840,1849,223,1452,15.358126721763085,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1850,1859,1850,1859,133,1593,8.349026993094789,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1860,1869,1860,1869,21,1454,1.4442916093535076,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1870,1879,1870,1879,71,1104,6.4311594202898545,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1880,1889,1880,1889,40,1434,2.789400278940028,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1890,1899,1890,1899,112,1689,6.631142687981054,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1900,1909,1900,1909,10,1982,0.5045408678102926,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1910,1919,1910,1919,41,1393,2.9432878679109833,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1920,1929,1920,1929,6,1050,0.5714285714285714,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1930,1939,1930,1939,0,904,0.0,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1940,1949,1940,1949,0,874,0.0,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1950,1959,1951,1959,0,750,0.0,True,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1960,1969,1960,1969,1,4248,0.023540489642184557,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1970,1979,1970,1979,0,1637,0.0,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1980,1989,1980,1989,0,2523,0.0,False,descriptive,not_estimated
Foreign policy,share of eligible paragraphs,10,"Relations with Spain, Mexico & Territorial Claims",1990,1999,1990,1999,0,1849,0.0,False,descriptive,not_estimated
