source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Foreign policy,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,0.0,,,,,14,2,,low_cluster_caution,True,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Foreign policy,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,11.627906976744185,4.948529411764706,18.002143537630992,4.948529411764706,18.002143537630992,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Foreign policy,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,33.0188679245283,24.579975825946814,42.239823996677224,24.579975825946814,42.239823996677224,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Foreign policy,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,16.025641025641026,6.01981351981352,26.388440860215052,6.01981351981352,26.388440860215052,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Foreign policy,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,18.461538461538463,14.106300141576215,23.016104141776182,14.106300141576215,23.016104141776182,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Foreign policy,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,19.230769230769234,12.807271719411409,26.422158200939798,12.807271719411409,26.422158200939798,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Foreign policy,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,29.55665024630542,18.118299982133287,38.721203260676944,18.118299982133287,38.721203260676944,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Foreign policy,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,24.548736462093864,16.408158863674878,31.727665896335424,16.408158863674878,31.727665896335424,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Foreign policy,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,25.815217391304344,21.87305019852524,31.20323067192137,21.87305019852524,31.20323067192137,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Foreign policy,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,19.154228855721392,12.379345299906047,25.815552406584295,12.379345299906047,25.815552406584295,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
