source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Foreign policy,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,18,360,5.0,2,True,included
Foreign policy,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,1,37,2.7027027027027026,1,True,included
Foreign policy,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,56,456,12.280701754385964,11,True,included
Foreign policy,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Foreign policy,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,20,97,20.618556701030926,3,True,included
Foreign policy,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,154,804,19.154228855721392,19,True,included
Foreign policy,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,53,249,21.285140562248998,4,True,included
Foreign policy,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,94,725,12.96551724137931,31,True,included
Foreign policy,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,22,339,6.489675516224189,11,True,included
Foreign policy,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,83,1230,6.747967479674796,33,True,included
Foreign policy,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,31,310,10.0,7,True,included
Foreign policy,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,24,147,16.3265306122449,4,True,included
Foreign policy,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,123,451,27.27272727272727,12,True,included
Foreign policy,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,20,353,5.6657223796034,15,True,included
Foreign policy,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,65,834,7.793764988009593,22,True,included
Foreign policy,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,6,101,5.9405940594059405,2,True,included
Foreign policy,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,21,108,19.444444444444446,2,True,included
Foreign policy,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,58,482,12.033195020746888,10,True,included
Foreign policy,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,136,478,28.451882845188287,11,True,included
Foreign policy,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,71,976,7.274590163934426,20,True,included
Foreign policy,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,26,1346,1.9316493313521546,23,True,included
Foreign policy,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,39,531,7.344632768361582,10,True,included
Foreign policy,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,37,209,17.703349282296653,5,True,included
Foreign policy,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,46,403,11.41439205955335,8,True,included
Foreign policy,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,8,84,9.523809523809524,2,True,included
Foreign policy,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,8,140,5.714285714285714,7,True,included
Foreign policy,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,10,275,3.6363636363636362,13,True,included
Foreign policy,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1940,1944,54,603,8.955223880597014,26,True,included
Foreign policy,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1945,1949,11,66,16.666666666666664,3,True,included
Foreign policy,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1850,1854,77,258,29.844961240310074,10,True,included
Foreign policy,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1855,1859,60,214,28.037383177570092,5,True,included
Foreign policy,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1985,1989,31,272,11.397058823529411,6,True,included
Foreign policy,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1990,1994,90,662,13.595166163141995,17,True,included
Foreign policy,share of eligible paragraphs,George W. Bush,George W. Bush,2000,2004,58,531,10.922787193973635,21,True,included
Foreign policy,share of eligible paragraphs,George W. Bush,George W. Bush,2005,2009,43,527,8.159392789373813,17,True,included
Foreign policy,share of eligible paragraphs,George Washington,George Washington,1785,1789,0,14,0.0,2,False,below_25_paragraph_floor
Foreign policy,share of eligible paragraphs,George Washington,George Washington,1790,1794,15,129,11.627906976744185,13,True,included
Foreign policy,share of eligible paragraphs,George Washington,George Washington,1795,1799,32,110,29.09090909090909,6,True,included
Foreign policy,share of eligible paragraphs,Gerald Ford,Gerald Ford,1970,1974,9,101,8.91089108910891,5,True,included
Foreign policy,share of eligible paragraphs,Gerald Ford,Gerald Ford,1975,1979,96,309,31.06796116504854,9,True,included
Foreign policy,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1885,1889,130,651,19.969278033794165,14,True,included
Foreign policy,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1890,1894,78,393,19.84732824427481,8,True,included
Foreign policy,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1895,1899,64,306,20.915032679738562,10,True,included
Foreign policy,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1945,1949,43,205,20.975609756097562,14,True,included
Foreign policy,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1950,1954,11,103,10.679611650485436,5,True,included
Foreign policy,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1925,1929,38,209,18.181818181818183,10,True,included
Foreign policy,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1930,1934,77,489,15.746421267893659,20,True,included
Foreign policy,share of eligible paragraphs,James A. Garfield,James A. Garfield,1880,1884,1,29,3.4482758620689653,1,True,included
Foreign policy,share of eligible paragraphs,James Buchanan,James Buchanan,1855,1859,100,438,22.831050228310502,7,True,included
Foreign policy,share of eligible paragraphs,James Buchanan,James Buchanan,1860,1864,34,187,18.181818181818183,7,True,included
Foreign policy,share of eligible paragraphs,James K. Polk,James K. Polk,1845,1849,263,722,36.42659279778393,25,True,included
Foreign policy,share of eligible paragraphs,James Madison,James Madison,1805,1809,5,24,20.833333333333336,2,False,below_25_paragraph_floor
Foreign policy,share of eligible paragraphs,James Madison,James Madison,1810,1814,35,182,19.230769230769234,14,True,included
Foreign policy,share of eligible paragraphs,James Madison,James Madison,1815,1819,12,68,17.647058823529413,5,True,included
Foreign policy,share of eligible paragraphs,James Monroe,James Monroe,1815,1819,48,135,35.55555555555556,4,True,included
Foreign policy,share of eligible paragraphs,James Monroe,James Monroe,1820,1824,67,272,24.63235294117647,6,True,included
Foreign policy,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,132,754,17.50663129973475,16,True,included
Foreign policy,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,51,280,18.21428571428571,6,True,included
Foreign policy,share of eligible paragraphs,Joe Biden,Joe Biden,2020,2024,92,1188,7.744107744107744,27,True,included
Foreign policy,share of eligible paragraphs,Joe Biden,Joe Biden,2025,2029,0,31,0.0,1,True,included
Foreign policy,share of eligible paragraphs,John Adams,John Adams,1795,1799,38,102,37.254901960784316,7,True,included
Foreign policy,share of eligible paragraphs,John Adams,John Adams,1800,1804,2,14,14.285714285714285,2,False,below_25_paragraph_floor
Foreign policy,share of eligible paragraphs,John F. Kennedy,John F. Kennedy,1960,1964,220,1367,16.093635698610097,44,True,included
Foreign policy,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1820,1824,1,5,20.0,1,False,below_25_paragraph_floor
Foreign policy,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1825,1829,75,271,27.67527675276753,7,True,included
Foreign policy,share of eligible paragraphs,John Tyler,John Tyler,1840,1844,130,531,24.48210922787194,17,True,included
Foreign policy,share of eligible paragraphs,John Tyler,John Tyler,1845,1849,1,9,11.11111111111111,1,False,below_25_paragraph_floor
Foreign policy,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1960,1964,90,731,12.311901504787961,20,True,included
Foreign policy,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1965,1969,222,1981,11.206461383139828,51,True,included
Foreign policy,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1835,1839,74,394,18.781725888324875,8,True,included
Foreign policy,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1840,1844,11,71,15.492957746478872,2,True,included
Foreign policy,share of eligible paragraphs,Millard Fillmore,Millard Fillmore,1850,1854,69,268,25.74626865671642,7,True,included
Foreign policy,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1950,1954,0,35,0.0,1,True,included
Foreign policy,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1965,1969,11,51,21.568627450980394,2,True,included
Foreign policy,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1970,1974,69,434,15.898617511520738,20,True,included
Foreign policy,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1960,1964,3,34,8.823529411764707,1,True,included
Foreign policy,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1975,1979,3,39,7.6923076923076925,2,True,included
Foreign policy,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1980,1984,178,1399,12.72337383845604,35,True,included
Foreign policy,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1985,1989,115,572,20.104895104895103,22,True,included
Foreign policy,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1875,1879,75,371,20.21563342318059,12,True,included
Foreign policy,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1880,1884,30,129,23.25581395348837,4,True,included
Foreign policy,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1900,1904,135,602,22.425249169435215,11,True,included
Foreign policy,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1905,1909,81,928,8.72844827586207,11,True,included
Foreign policy,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1800,1804,23,142,16.19718309859155,11,True,included
Foreign policy,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1805,1809,31,171,18.128654970760234,13,True,included
Foreign policy,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1865,1869,21,80,26.25,5,True,included
Foreign policy,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1870,1874,146,505,28.910891089108908,19,True,included
Foreign policy,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1875,1879,46,228,20.175438596491226,8,True,included
Foreign policy,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1915,1919,1,9,11.11111111111111,2,False,below_25_paragraph_floor
Foreign policy,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1920,1924,22,229,9.606986899563319,16,True,included
Foreign policy,share of eligible paragraphs,William Harrison,William Henry Harrison,1840,1844,8,57,14.035087719298245,1,True,included
Foreign policy,share of eligible paragraphs,William McKinley,William McKinley,1895,1899,142,539,26.34508348794063,10,True,included
Foreign policy,share of eligible paragraphs,William McKinley,William McKinley,1900,1904,66,228,28.947368421052634,4,True,included
Foreign policy,share of eligible paragraphs,William Taft,William Howard Taft,1905,1909,47,224,20.982142857142858,5,True,included
Foreign policy,share of eligible paragraphs,William Taft,William Howard Taft,1910,1914,177,745,23.758389261744966,7,True,included
Foreign policy,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1910,1914,7,187,3.7433155080213902,13,True,included
Foreign policy,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1915,1919,49,452,10.84070796460177,19,True,included
Foreign policy,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1920,1924,0,22,0.0,1,False,below_25_paragraph_floor
Foreign policy,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1845,1849,26,62,41.935483870967744,2,True,included
Foreign policy,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1850,1854,12,18,66.66666666666666,2,False,below_25_paragraph_floor
