source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1810,1819,1810,1819,0,385,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1830,1839,1830,1839,0,1447,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1840,1849,1840,1849,0,1452,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1850,1859,1850,1859,0,1593,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1860,1869,1860,1869,0,1454,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1870,1879,1870,1879,0,1104,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1880,1889,1880,1889,0,1434,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1890,1899,1890,1899,0,1689,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1900,1909,1900,1909,2,1982,0.10090817356205853,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1910,1919,1910,1919,4,1393,0.2871500358937545,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1920,1929,1920,1929,4,1050,0.38095238095238093,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1930,1939,1930,1939,13,904,1.4380530973451326,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1940,1949,1940,1949,8,874,0.9153318077803204,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1950,1959,1951,1959,30,750,4.0,True,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1960,1969,1960,1969,119,4248,2.8013182674199624,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1970,1979,1970,1979,31,1637,1.8937080024434942,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1980,1989,1980,1989,81,2523,3.2104637336504163,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",1990,1999,1990,1999,200,1849,10.816657652785288,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",2000,2009,2000,2009,168,1498,11.214953271028037,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",2010,2019,2010,2019,177,2516,7.034976152623211,False,descriptive,not_estimated
Health care,share of eligible paragraphs,10,"Health Care, Medicare & Social Security",2020,2029,2020,2026,358,3096,11.563307493540051,True,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1780,1799,1789,1799,0,355,0.0,True,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1800,1819,1800,1819,0,736,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1820,1839,1820,1839,0,2092,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1840,1859,1840,1859,0,3045,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1860,1879,1860,1879,0,2558,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1880,1899,1880,1899,0,3123,0.0,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1900,1919,1900,1919,6,3375,0.17777777777777778,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1920,1939,1920,1939,17,1954,0.8700102354145343,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1940,1959,1940,1959,38,1624,2.3399014778325125,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1960,1979,1960,1979,150,5885,2.548853016142736,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",1980,1999,1980,1999,281,4372,6.427264409881062,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",2000,2019,2000,2019,345,4014,8.594917787742899,False,descriptive,not_estimated
Health care,share of eligible paragraphs,20,"Health Care, Medicare & Social Security",2020,2039,2020,2026,358,3096,11.563307493540051,True,descriptive,not_estimated
