source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Health care,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,7.142857142857142,0.0,9.090909090909092,0.0,9.090909090909092,14,2,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Health care,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,0.0,0.0,0.0,0.0,0.0,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Health care,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,2.358490566037736,0.5801945643377395,4.432780847145487,0.5801945643377395,4.432780847145487,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Health care,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,1.282051282051282,0.0,3.6026822700911314,0.0,3.6026822700911314,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Health care,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,3.076923076923077,0.5076142131979695,6.532663316582915,0.5076142131979695,6.532663316582915,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Health care,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,0.5494505494505495,0.0,1.597978723404255,0.0,1.597978723404255,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Health care,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,1.477832512315271,0.0,2.7898174742888906,0.0,2.7898174742888906,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Health care,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,0.36101083032490977,0.0,0.9433962264150944,0.0,0.9433962264150944,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Health care,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,1.9021739130434785,0.8293292948762074,2.9188604981287907,0.8293292948762074,2.9188604981287907,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Health care,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,0.7462686567164178,0.3057283142389526,1.1709773971867283,0.3057283142389526,1.1709773971867283,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Health care,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,1.244167962674961,0.9387674131546463,1.5372813990461047,0.9387674131546463,1.5372813990461047,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
