series,x,value,source_issue
unnamed,1785.0,9.090909090909092,Health care
unnamed,1790.0,0.0,Health care
unnamed,1795.0,4.432780847145487,Health care
unnamed,1800.0,3.6026822700911314,Health care
unnamed,1805.0,6.532663316582915,Health care
unnamed,1810.0,1.597978723404255,Health care
unnamed,1815.0,2.7898174742888906,Health care
unnamed,1820.0,0.9433962264150944,Health care
unnamed,1825.0,2.9188604981287907,Health care
unnamed,1830.0,1.1709773971867283,Health care
unnamed,1835.0,1.5372813990461047,Health care
unnamed,1840.0,2.5289100434449265,Health care
unnamed,1845.0,0.9942393697366986,Health care
unnamed,1850.0,2.171555489378598,Health care
unnamed,1855.0,0.9517897364921701,Health care
unnamed,1860.0,2.9235026041666665,Health care
unnamed,1865.0,0.8276845702164417,Health care
unnamed,1870.0,1.5566458982346831,Health care
unnamed,1875.0,3.3445154419595307,Health care
unnamed,1880.0,3.6629755874623906,Health care
unnamed,1885.0,2.7851625985954342,Health care
unnamed,1890.0,2.2022771317829446,Health care
unnamed,1895.0,2.908513011069001,Health care
unnamed,1900.0,2.81110979814269,Health care
unnamed,1905.0,6.406523135004659,Health care
unnamed,1910.0,2.931208407648198,Health care
unnamed,1915.0,2.7747305619707467,Health care
unnamed,1920.0,3.038856304985337,Health care
unnamed,1925.0,5.471478463329453,Health care
unnamed,1930.0,8.72283349716206,Health care
unnamed,1935.0,9.520020614048784,Health care
unnamed,1940.0,2.802383970358814,Health care
unnamed,1945.0,3.3931482546988865,Health care
unnamed,1950.0,9.310893664862602,Health care
unnamed,1955.0,12.36996659046949,Health care
unnamed,1960.0,5.571510587901674,Health care
unnamed,1965.0,5.856938246192234,Health care
unnamed,1970.0,6.251336898395721,Health care
unnamed,1975.0,7.663183178782996,Health care
unnamed,1980.0,3.8747237300048267,Health care
unnamed,1985.0,7.847578070730764,Health care
unnamed,1990.0,22.26187916350451,Health care
unnamed,1995.0,13.643538742757999,Health care
unnamed,2000.0,20.5596275817206,Health care
unnamed,2005.0,24.19148668404177,Health care
unnamed,2010.0,17.400196510223118,Health care
unnamed,2015.0,7.0398771786202445,Health care
unnamed,2020.0,12.290847546339233,Health care
unnamed,2025.0,7.108520353638395,Health care
unnamed,2025.0,1.5524311436881557,Health care
unnamed,2020.0,6.420615910170503,Health care
unnamed,2015.0,2.859297241812423,Health care
unnamed,2010.0,7.962016761286835,Health care
unnamed,2005.0,6.179684091430093,Health care
unnamed,2000.0,7.107108925278043,Health care
unnamed,1995.0,6.303535455278002,Health care
unnamed,1990.0,5.130552220888355,Health care
unnamed,1985.0,1.8223782845419394,Health care
unnamed,1980.0,1.370585837044471,Health care
unnamed,1975.0,3.481144542648116,Health care
unnamed,1970.0,2.0157543230860187,Health care
unnamed,1965.0,3.3873416225649713,Health care
unnamed,1960.0,2.6590968283237735,Health care
unnamed,1955.0,6.0685585133098945,Health care
unnamed,1950.0,2.352515994094488,Health care
unnamed,1945.0,0.0,Health care
unnamed,1940.0,1.0711149669134692,Health care
unnamed,1935.0,2.897317736027414,Health care
unnamed,1930.0,5.061161048689138,Health care
unnamed,1925.0,1.78712247691757,Health care
unnamed,1920.0,0.0,Health care
unnamed,1915.0,0.4085214183165838,Health care
unnamed,1910.0,0.7007233519858059,Health care
unnamed,1905.0,0.9961895218746266,Health care
unnamed,1900.0,0.5693009118541034,Health care
unnamed,1895.0,0.8227870600782083,Health care
unnamed,1890.0,0.5719448288526999,Health care
unnamed,1885.0,0.953666613560325,Health care
unnamed,1880.0,0.6731777000675206,Health care
unnamed,1875.0,0.6106865478442697,Health care
unnamed,1870.0,0.0,Health care
unnamed,1865.0,0.0,Health care
unnamed,1860.0,0.4432101328903655,Health care
unnamed,1855.0,0.0,Health care
unnamed,1850.0,0.22692044266608993,Health care
unnamed,1845.0,0.0,Health care
unnamed,1840.0,0.9161719733765067,Health care
unnamed,1835.0,0.9387674131546463,Health care
unnamed,1830.0,0.3057283142389526,Health care
unnamed,1825.0,0.8293292948762074,Health care
unnamed,1820.0,0.0,Health care
unnamed,1815.0,0.0,Health care
unnamed,1810.0,0.0,Health care
unnamed,1805.0,0.5076142131979695,Health care
unnamed,1800.0,0.0,Health care
unnamed,1795.0,0.5801945643377395,Health care
unnamed,1790.0,0.0,Health care
unnamed,1785.0,0.0,Health care
unnamed,1785.0,7.142857142857142,Health care
unnamed,1790.0,0.0,Health care
unnamed,1795.0,2.358490566037736,Health care
unnamed,1800.0,1.282051282051282,Health care
unnamed,1805.0,3.076923076923077,Health care
unnamed,1810.0,0.5494505494505495,Health care
unnamed,1815.0,1.477832512315271,Health care
unnamed,1820.0,0.36101083032490977,Health care
unnamed,1825.0,1.9021739130434785,Health care
unnamed,1830.0,0.7462686567164178,Health care
unnamed,1835.0,1.244167962674961,Health care
unnamed,1840.0,1.669195751138088,Health care
unnamed,1845.0,0.5044136191677175,Health care
unnamed,1850.0,0.995575221238938,Health care
unnamed,1855.0,0.43541364296081275,Health care
unnamed,1860.0,1.5552099533437014,Health care
unnamed,1865.0,0.2466091245376079,Health care
unnamed,1870.0,0.594059405940594,Health care
unnamed,1875.0,1.8363939899833055,Health care
unnamed,1880.0,2.358490566037736,Health care
unnamed,1885.0,1.7543859649122806,Health care
unnamed,1890.0,1.4218009478672986,Health care
unnamed,1895.0,2.130177514792899,Health care
unnamed,1900.0,1.8072289156626504,Health care
unnamed,1905.0,3.298611111111111,Health care
unnamed,1910.0,2.03862660944206,Health care
unnamed,1915.0,1.5184381778741864,Health care
unnamed,1920.0,1.6713091922005572,Health care
unnamed,1925.0,3.4732272069464547,Health care
unnamed,1930.0,6.836248012718602,Health care
unnamed,1935.0,5.818181818181818,Health care
unnamed,1940.0,1.8242122719734661,Health care
unnamed,1945.0,1.4760147601476015,Health care
unnamed,1950.0,5.763688760806916,Health care
unnamed,1955.0,9.67741935483871,Health care
unnamed,1960.0,4.016245487364621,Health care
unnamed,1965.0,4.675196850393701,Health care
unnamed,1970.0,4.112149532710281,Health care
unnamed,1975.0,5.535390199637023,Health care
unnamed,1980.0,2.6801667659321025,Health care
unnamed,1985.0,4.739336492890995,Health care
unnamed,1990.0,12.216748768472907,Health care
unnamed,1995.0,10.67146282973621,Health care
unnamed,2000.0,13.60759493670886,Health care
unnamed,2005.0,13.394919168591224,Health care
unnamed,2010.0,12.276422764227641,Health care
unnamed,2015.0,4.89891135303266,Health care
unnamed,2020.0,9.668508287292818,Health care
unnamed,2025.0,4.804270462633451,Health care
unnamed,1785.0,,Health care
unnamed,1790.0,0.0,Health care
unnamed,1795.0,2.358490566037736,Health care
unnamed,1800.0,1.282051282051282,Health care
unnamed,1805.0,3.076923076923077,Health care
unnamed,1810.0,0.5494505494505495,Health care
unnamed,1815.0,1.477832512315271,Health care
unnamed,1820.0,,Health care
unnamed,1825.0,1.9021739130434785,Health care
unnamed,1830.0,0.7462686567164178,Health care
unnamed,1835.0,1.244167962674961,Health care
unnamed,1840.0,1.669195751138088,Health care
unnamed,1845.0,0.5044136191677175,Health care
unnamed,1850.0,0.995575221238938,Health care
unnamed,1855.0,0.43541364296081275,Health care
unnamed,1860.0,1.5552099533437014,Health care
unnamed,1865.0,0.2466091245376079,Health care
