source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1810,1819,1810,1819,0,385,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1830,1839,1830,1839,0,1447,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1840,1849,1840,1849,0,1452,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1850,1859,1850,1859,0,1593,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1860,1869,1860,1869,1,1454,0.0687757909215956,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1870,1879,1870,1879,20,1104,1.8115942028985508,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1880,1889,1880,1889,64,1434,4.463040446304045,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1890,1899,1890,1899,11,1689,0.6512729425695678,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1900,1909,1900,1909,13,1982,0.6559031281533804,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1910,1919,1910,1919,1,1393,0.07178750897343862,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1920,1929,1920,1929,0,1050,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1930,1939,1930,1939,0,904,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1940,1949,1940,1949,0,874,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1950,1959,1951,1959,0,750,0.0,True,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1960,1969,1960,1969,0,4248,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1970,1979,1970,1979,0,1637,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1980,1989,1980,1989,0,2523,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,1990,1999,1990,1999,0,1849,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,2000,2009,2000,2009,0,1498,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,2010,2019,2010,2019,0,2516,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Chinese Immigration & Exclusion,2020,2029,2020,2026,0,3096,0.0,True,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1800,1809,1800,1809,1,351,0.2849002849002849,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1810,1819,1810,1819,0,385,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1830,1839,1830,1839,0,1447,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1840,1849,1840,1849,0,1452,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1850,1859,1850,1859,1,1593,0.06277463904582549,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1860,1869,1860,1869,5,1454,0.34387895460797796,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1870,1879,1870,1879,17,1104,1.5398550724637683,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1880,1889,1880,1889,13,1434,0.906555090655509,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1890,1899,1890,1899,22,1689,1.3025458851391356,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1900,1909,1900,1909,40,1982,2.0181634712411705,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1910,1919,1910,1919,11,1393,0.7896625987078248,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1920,1929,1920,1929,18,1050,1.7142857142857144,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1930,1939,1930,1939,9,904,0.995575221238938,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1940,1949,1940,1949,1,874,0.11441647597254005,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1950,1959,1951,1959,8,750,1.0666666666666667,True,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1960,1969,1960,1969,4,4248,0.09416195856873823,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1970,1979,1970,1979,1,1637,0.061087354917532075,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1980,1989,1980,1989,19,2523,0.753071739992073,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,1990,1999,1990,1999,9,1849,0.48674959437533805,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,2000,2009,2000,2009,74,1498,4.939919893190922,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,2010,2019,2010,2019,256,2516,10.174880763116057,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,10,Immigration & Border Security,2020,2029,2020,2026,176,3096,5.684754521963824,True,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1780,1799,1789,1799,0,355,0.0,True,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1800,1819,1800,1819,0,736,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1820,1839,1820,1839,0,2092,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1840,1859,1840,1859,0,3045,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1860,1879,1860,1879,21,2558,0.8209538702111024,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1880,1899,1880,1899,75,3123,2.4015369836695486,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1900,1919,1900,1919,14,3375,0.4148148148148148,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1920,1939,1920,1939,0,1954,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1940,1959,1940,1959,0,1624,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1960,1979,1960,1979,0,5885,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,1980,1999,1980,1999,0,4372,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,2000,2019,2000,2019,0,4014,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Chinese Immigration & Exclusion,2020,2039,2020,2026,0,3096,0.0,True,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1780,1799,1789,1799,0,355,0.0,True,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1800,1819,1800,1819,1,736,0.1358695652173913,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1820,1839,1820,1839,0,2092,0.0,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1840,1859,1840,1859,1,3045,0.03284072249589491,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1860,1879,1860,1879,22,2558,0.8600469116497262,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1880,1899,1880,1899,35,3123,1.1207172590457892,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1900,1919,1900,1919,51,3375,1.511111111111111,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1920,1939,1920,1939,27,1954,1.3817809621289663,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1940,1959,1940,1959,9,1624,0.5541871921182266,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1960,1979,1960,1979,5,5885,0.08496176720475786,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,1980,1999,1980,1999,28,4372,0.6404391582799633,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,2000,2019,2000,2019,330,4014,8.221225710014949,False,descriptive,not_estimated
Immigration,share of eligible paragraphs,20,Immigration & Border Security,2020,2039,2020,2026,176,3096,5.684754521963824,True,descriptive,not_estimated
