source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Immigration,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,0.0,,,,,14,2,,low_cluster_caution,True,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,0.7751937984496124,0.0,2.886269070735089,0.0,2.886269070735089,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,0.9433962264150944,0.0,2.175679511745085,0.0,2.175679511745085,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,1.282051282051282,0.0,2.894571500376979,0.0,2.894571500376979,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,0.5128205128205128,0.0,1.5426249008723236,0.0,1.5426249008723236,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,2.197802197802198,0.0,4.449167791273054,0.0,4.449167791273054,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,0.49261083743842365,0.0,1.4406647758716105,0.0,1.4406647758716105,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,0.36101083032490977,0.0,1.0423223005968525,0.0,1.0423223005968525,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,0.2717391304347826,0.0,0.7988565930619491,0.0,0.7988565930619491,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,0.4975124378109453,0.0,1.3461886819795665,0.0,1.3461886819795665,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,0.6220839813374806,0.0,1.2896874870132564,0.0,1.2896874870132564,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1840,1840,1840,1844,1840.0,1.3657056145675266,0.5016316977206567,2.3315059426170537,0.5016316977206567,2.3315059426170537,659,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1845,1845,1845,1849,1845.0,0.7566204287515763,0.17163837638376386,1.2692047540825198,0.17163837638376386,1.2692047540825198,793,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1850,1850,1850,1854,1850.0,0.6637168141592921,0.17338078998625503,1.4061032863849763,0.17338078998625503,1.4061032863849763,904,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1855,1855,1855,1859,1855.0,1.1611030478955007,0.21386420534265047,1.9781844631328573,0.21386420534265047,1.9781844631328573,689,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1860,1860,1860,1864,1860.0,1.7107309486780715,0.62373909551118,3.1177432473237676,0.62373909551118,3.1177432473237676,643,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1865,1865,1865,1869,1865.0,1.972872996300863,0.9140198629958133,3.066196236559139,0.9140198629958133,3.066196236559139,811,37,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1870,1870,1870,1874,1870.0,4.9504950495049505,2.276832008295887,7.254350732136004,2.276832008295887,7.254350732136004,505,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1875,1875,1875,1879,1875.0,6.3439065108514185,3.745831039730596,9.952373425132308,3.745831039730596,9.952373425132308,599,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1880,1880,1880,1884,1880.0,6.446540880503145,3.691123820151579,10.307357318364325,3.691123820151579,10.307357318364325,636,16,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1885,1885,1885,1889,1885.0,6.015037593984962,4.2917213375388785,8.165368690851734,4.2917213375388785,8.165368690851734,798,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1890,1890,1890,1894,1890.0,3.1990521327014214,1.96222674412204,4.422439599562699,1.96222674412204,4.422439599562699,844,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Immigration,share of eligible paragraphs,year5,1895,1895,1895,1899,1895.0,4.85207100591716,2.8430301540203806,9.138522329083724,2.8430301540203806,9.138522329083724,845,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
