source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Immigration,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,0,360,0.0,2,True,included
Immigration,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,0,37,0.0,1,True,included
Immigration,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,11,456,2.4122807017543857,11,True,included
Immigration,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Immigration,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,0,97,0.0,3,True,included
Immigration,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,4,804,0.4975124378109453,19,True,included
Immigration,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,0,249,0.0,4,True,included
Immigration,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,14,725,1.9310344827586208,31,True,included
Immigration,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,9,339,2.6548672566371683,11,True,included
Immigration,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,63,1230,5.121951219512195,33,True,included
Immigration,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,17,310,5.483870967741936,7,True,included
Immigration,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,9,147,6.122448979591836,4,True,included
Immigration,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,16,451,3.5476718403547673,12,True,included
Immigration,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,1,353,0.28328611898017,15,True,included
Immigration,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,25,834,2.997601918465228,22,True,included
Immigration,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,1,101,0.9900990099009901,2,True,included
Immigration,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,4,108,3.7037037037037033,2,True,included
Immigration,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,13,482,2.6970954356846475,10,True,included
Immigration,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,30,478,6.2761506276150625,11,True,included
Immigration,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,102,976,10.450819672131148,20,True,included
Immigration,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,27,1346,2.0059435364041605,23,True,included
Immigration,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,51,531,9.6045197740113,10,True,included
Immigration,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,4,209,1.9138755980861244,5,True,included
Immigration,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,8,403,1.9851116625310175,8,True,included
Immigration,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,0,84,0.0,2,True,included
Immigration,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,0,140,0.0,7,True,included
Immigration,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,4,275,1.4545454545454546,13,True,included
Immigration,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1940,1944,6,603,0.9950248756218906,26,True,included
Immigration,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1945,1949,1,66,1.5151515151515151,3,True,included
Immigration,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1850,1854,2,258,0.7751937984496124,10,True,included
Immigration,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1855,1859,1,214,0.46728971962616817,5,True,included
Immigration,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1985,1989,2,272,0.7352941176470588,6,True,included
Immigration,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1990,1994,10,662,1.5105740181268883,17,True,included
Immigration,share of eligible paragraphs,George W. Bush,George W. Bush,2000,2004,24,531,4.519774011299435,21,True,included
Immigration,share of eligible paragraphs,George W. Bush,George W. Bush,2005,2009,47,527,8.918406072106261,17,True,included
Immigration,share of eligible paragraphs,George Washington,George Washington,1785,1789,0,14,0.0,2,False,below_25_paragraph_floor
Immigration,share of eligible paragraphs,George Washington,George Washington,1790,1794,1,129,0.7751937984496124,13,True,included
Immigration,share of eligible paragraphs,George Washington,George Washington,1795,1799,2,110,1.8181818181818181,6,True,included
Immigration,share of eligible paragraphs,Gerald Ford,Gerald Ford,1970,1974,0,101,0.0,5,True,included
Immigration,share of eligible paragraphs,Gerald Ford,Gerald Ford,1975,1979,1,309,0.3236245954692557,9,True,included
Immigration,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1885,1889,39,651,5.990783410138248,14,True,included
