source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1790,1799,1790,1799,2,341,0.5865102639296188,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1800,1809,1800,1809,10,351,2.849002849002849,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1810,1819,1810,1819,13,385,3.3766233766233764,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1820,1829,1820,1829,58,645,8.992248062015504,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1830,1839,1830,1839,87,1447,6.012439530062197,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1840,1849,1840,1849,57,1452,3.925619834710744,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1850,1859,1850,1859,117,1593,7.344632768361582,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1860,1869,1860,1869,27,1454,1.8569463548830811,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1870,1879,1870,1879,49,1104,4.438405797101449,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1880,1889,1880,1889,79,1434,5.509065550906555,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1890,1899,1890,1899,66,1689,3.9076376554174073,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1900,1909,1900,1909,180,1982,9.081735620585267,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1910,1919,1910,1919,116,1393,8.327351040918881,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1920,1929,1920,1929,137,1050,13.047619047619047,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1930,1939,1930,1939,67,904,7.411504424778761,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1940,1949,1940,1949,14,874,1.6018306636155606,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1950,1959,1951,1959,33,750,4.3999999999999995,True,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1960,1969,1960,1969,71,4248,1.6713747645951036,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1970,1979,1970,1979,179,1637,10.934636530238242,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1980,1989,1980,1989,45,2523,1.78359096313912,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",1990,1999,1990,1999,35,1849,1.8929150892374256,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",2000,2009,2000,2009,53,1498,3.538050734312417,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",2010,2019,2010,2019,140,2516,5.5643879173290935,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,"Internal Improvements, Energy & Infrastructure",2020,2029,2020,2026,147,3096,4.748062015503876,True,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,Space Exploration,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Infrastructure,share of eligible paragraphs,10,Space Exploration,1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Infrastructure,share of eligible paragraphs,10,Space Exploration,1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
