source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Infrastructure,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,0.0,,,,,14,2,,low_cluster_caution,True,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,6.2015503875969,1.8680069930069931,11.074712643678158,1.8680069930069931,11.074712643678158,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,9.90566037735849,3.084710322317421,16.256405897068465,3.084710322317421,16.256405897068465,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,20.51282051282051,12.297619047619047,27.373821904452377,12.297619047619047,27.373821904452377,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,27.17948717948718,17.813280112336177,37.95411573300501,17.813280112336177,37.95411573300501,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,17.582417582417584,10.853107158179597,24.010498430141286,10.853107158179597,24.010498430141286,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,19.21182266009852,12.698989674921352,26.994987971130712,12.698989674921352,26.994987971130712,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,23.826714801444044,19.775832532486522,27.169811320754718,19.775832532486522,27.169811320754718,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,18.206521739130434,11.463615023474178,26.05481256999802,11.463615023474178,26.05481256999802,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,7.338308457711443,4.4091125528242365,10.624021673690546,4.4091125528242365,10.624021673690546,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,5.443234836702955,2.857037096861035,7.650297619047618,2.857037096861035,7.650297619047618,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1840,1840,1840,1844,1840.0,14.56752655538695,7.009329070433289,25.188260933296537,7.009329070433289,25.188260933296537,659,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1845,1845,1845,1849,1845.0,16.14123581336696,11.611794825727632,21.32165778777928,11.611794825727632,21.32165778777928,793,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1850,1850,1850,1854,1850.0,17.36725663716814,8.27789250103251,31.554157812384364,8.27789250103251,31.554157812384364,904,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1855,1855,1855,1859,1855.0,13.933236574746008,8.169390482063934,18.313743551952836,8.169390482063934,18.313743551952836,689,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1860,1860,1860,1864,1860.0,9.020217729393467,4.482883882584481,14.33158584534731,4.482883882584481,14.33158584534731,643,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1865,1865,1865,1869,1865.0,7.398273736128237,3.5846216847222,10.396215596330276,3.5846216847222,10.396215596330276,811,37,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1870,1870,1870,1874,1870.0,19.603960396039604,13.488932806324112,25.835575560279917,13.488932806324112,25.835575560279917,505,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1875,1875,1875,1879,1875.0,8.180300500834726,2.915154614619383,12.79765592034977,2.915154614619383,12.79765592034977,599,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1880,1880,1880,1884,1880.0,19.025157232704405,13.258303716743617,26.98489010989011,13.258303716743617,26.98489010989011,636,16,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1885,1885,1885,1889,1885.0,10.401002506265664,5.832569906415605,13.244301271645021,5.832569906415605,13.244301271645021,798,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1890,1890,1890,1894,1890.0,15.876777251184834,10.617802939050831,19.829391812048623,10.617802939050831,19.829391812048623,844,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1895,1895,1895,1899,1895.0,15.02958579881657,7.659065315315315,21.5248716936439,7.659065315315315,21.5248716936439,845,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1900,1900,1900,1904,1900.0,23.012048192771083,15.385819459735986,38.96394984326018,15.385819459735986,38.96394984326018,830,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1905,1905,1905,1909,1905.0,19.87847222222222,13.05714320217312,30.00914811663008,13.05714320217312,30.00914811663008,1152,16,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Infrastructure,share of eligible paragraphs,year5,1910,1910,1910,1914,1910.0,17.06008583690987,11.065218106954202,21.227455555614014,11.065218106954202,21.227455555614014,932,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
