source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Infrastructure,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,8,360,2.2222222222222223,2,True,included
Infrastructure,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,0,37,0.0,1,True,included
Infrastructure,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,47,456,10.307017543859649,11,True,included
Infrastructure,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Infrastructure,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,9,97,9.278350515463918,3,True,included
Infrastructure,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,59,804,7.338308457711443,19,True,included
Infrastructure,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,11,249,4.417670682730924,4,True,included
Infrastructure,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,48,725,6.620689655172414,31,True,included
Infrastructure,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,9,339,2.6548672566371683,11,True,included
Infrastructure,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,42,1230,3.414634146341464,33,True,included
Infrastructure,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,13,310,4.193548387096775,7,True,included
Infrastructure,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,21,147,14.285714285714285,4,True,included
Infrastructure,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,92,451,20.39911308203991,12,True,included
Infrastructure,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,8,353,2.26628895184136,15,True,included
Infrastructure,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,14,834,1.6786570743405276,22,True,included
Infrastructure,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,1,101,0.9900990099009901,2,True,included
Infrastructure,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,16,108,14.814814814814813,2,True,included
Infrastructure,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,80,482,16.59751037344398,10,True,included
Infrastructure,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,90,478,18.828451882845187,11,True,included
Infrastructure,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,30,976,3.0737704918032787,20,True,included
Infrastructure,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,21,1346,1.5601783060921248,23,True,included
Infrastructure,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,20,531,3.766478342749529,10,True,included
Infrastructure,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,5,209,2.3923444976076556,5,True,included
Infrastructure,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,12,403,2.977667493796526,8,True,included
Infrastructure,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,1,84,1.1904761904761905,2,True,included
Infrastructure,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,6,140,4.285714285714286,7,True,included
Infrastructure,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,17,275,6.181818181818182,13,True,included
Infrastructure,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1940,1944,103,603,17.081260364842453,26,True,included
Infrastructure,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1945,1949,3,66,4.545454545454546,3,True,included
Infrastructure,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1850,1854,77,258,29.844961240310074,10,True,included
Infrastructure,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1855,1859,32,214,14.953271028037381,5,True,included
Infrastructure,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1985,1989,3,272,1.1029411764705883,6,True,included
Infrastructure,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1990,1994,10,662,1.5105740181268883,17,True,included
Infrastructure,share of eligible paragraphs,George W. Bush,George W. Bush,2000,2004,9,531,1.694915254237288,21,True,included
Infrastructure,share of eligible paragraphs,George W. Bush,George W. Bush,2005,2009,21,527,3.984819734345351,17,True,included
Infrastructure,share of eligible paragraphs,George Washington,George Washington,1785,1789,0,14,0.0,2,False,below_25_paragraph_floor
Infrastructure,share of eligible paragraphs,George Washington,George Washington,1790,1794,8,129,6.2015503875969,13,True,included
Infrastructure,share of eligible paragraphs,George Washington,George Washington,1795,1799,5,110,4.545454545454546,6,True,included
Infrastructure,share of eligible paragraphs,Gerald Ford,Gerald Ford,1970,1974,1,101,0.9900990099009901,5,True,included
Infrastructure,share of eligible paragraphs,Gerald Ford,Gerald Ford,1975,1979,5,309,1.6181229773462782,9,True,included
Infrastructure,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1885,1889,62,651,9.523809523809524,14,True,included
Infrastructure,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1890,1894,42,393,10.687022900763358,8,True,included
Infrastructure,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1895,1899,37,306,12.091503267973856,10,True,included
Infrastructure,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1945,1949,16,205,7.804878048780488,14,True,included
Infrastructure,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1950,1954,1,103,0.9708737864077669,5,True,included
Infrastructure,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1925,1929,18,209,8.61244019138756,10,True,included
Infrastructure,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1930,1934,30,489,6.134969325153374,20,True,included
Infrastructure,share of eligible paragraphs,James A. Garfield,James A. Garfield,1880,1884,1,29,3.4482758620689653,1,True,included
Infrastructure,share of eligible paragraphs,James Buchanan,James Buchanan,1855,1859,64,438,14.61187214611872,7,True,included
Infrastructure,share of eligible paragraphs,James Buchanan,James Buchanan,1860,1864,11,187,5.88235294117647,7,True,included
Infrastructure,share of eligible paragraphs,James K. Polk,James K. Polk,1845,1849,101,722,13.988919667590027,25,True,included
Infrastructure,share of eligible paragraphs,James Madison,James Madison,1805,1809,2,24,8.333333333333332,2,False,below_25_paragraph_floor
Infrastructure,share of eligible paragraphs,James Madison,James Madison,1810,1814,32,182,17.582417582417584,14,True,included
Infrastructure,share of eligible paragraphs,James Madison,James Madison,1815,1819,15,68,22.058823529411764,5,True,included
Infrastructure,share of eligible paragraphs,James Monroe,James Monroe,1815,1819,24,135,17.77777777777778,4,True,included
Infrastructure,share of eligible paragraphs,James Monroe,James Monroe,1820,1824,66,272,24.264705882352942,6,True,included
Infrastructure,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,6,754,0.7957559681697612,16,True,included
Infrastructure,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,9,280,3.214285714285714,6,True,included
Infrastructure,share of eligible paragraphs,Joe Biden,Joe Biden,2020,2024,55,1188,4.62962962962963,27,True,included
Infrastructure,share of eligible paragraphs,Joe Biden,Joe Biden,2025,2029,1,31,3.225806451612903,1,True,included
Infrastructure,share of eligible paragraphs,John Adams,John Adams,1795,1799,16,102,15.686274509803921,7,True,included
Infrastructure,share of eligible paragraphs,John Adams,John Adams,1800,1804,2,14,14.285714285714285,2,False,below_25_paragraph_floor
Infrastructure,share of eligible paragraphs,John F. Kennedy,John F. Kennedy,1960,1964,23,1367,1.6825164594001463,44,True,included
Infrastructure,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1820,1824,0,5,0.0,1,False,below_25_paragraph_floor
Infrastructure,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1825,1829,58,271,21.40221402214022,7,True,included
Infrastructure,share of eligible paragraphs,John Tyler,John Tyler,1840,1844,87,531,16.38418079096045,17,True,included
Infrastructure,share of eligible paragraphs,John Tyler,John Tyler,1845,1849,5,9,55.55555555555556,1,False,below_25_paragraph_floor
Infrastructure,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1960,1964,14,731,1.915184678522572,20,True,included
Infrastructure,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1965,1969,35,1981,1.76678445229682,51,True,included
Infrastructure,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1835,1839,24,394,6.091370558375635,8,True,included
Infrastructure,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1840,1844,9,71,12.676056338028168,2,True,included
Infrastructure,share of eligible paragraphs,Millard Fillmore,Millard Fillmore,1850,1854,67,268,25.0,7,True,included
Infrastructure,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1950,1954,0,35,0.0,1,True,included
Infrastructure,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1965,1969,0,51,0.0,2,True,included
Infrastructure,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1970,1974,4,434,0.9216589861751152,20,True,included
Infrastructure,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1960,1964,0,34,0.0,1,True,included
Infrastructure,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1975,1979,0,39,0.0,2,True,included
Infrastructure,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1980,1984,35,1399,2.501786990707648,35,True,included
Infrastructure,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1985,1989,12,572,2.097902097902098,22,True,included
Infrastructure,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1875,1879,19,371,5.121293800539084,12,True,included
Infrastructure,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1880,1884,30,129,23.25581395348837,4,True,included
Infrastructure,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1900,1904,164,602,27.242524916943523,11,True,included
Infrastructure,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1905,1909,206,928,22.198275862068968,11,True,included
Infrastructure,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1800,1804,30,142,21.12676056338028,11,True,included
Infrastructure,share of eligible paragraphs,Thomas Jefferson,Thomas Jefferson,1805,1809,51,171,29.82456140350877,13,True,included
Infrastructure,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1865,1869,12,80,15.0,5,True,included
Infrastructure,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1870,1874,99,505,19.603960396039604,19,True,included
Infrastructure,share of eligible paragraphs,Ulysses S. Grant,Ulysses S. Grant,1875,1879,30,228,13.157894736842104,8,True,included
Infrastructure,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1915,1919,0,9,0.0,2,False,below_25_paragraph_floor
Infrastructure,share of eligible paragraphs,Warren G. Harding,Warren G. Harding,1920,1924,20,229,8.73362445414847,16,True,included
Infrastructure,share of eligible paragraphs,William Harrison,William Henry Harrison,1840,1844,0,57,0.0,1,True,included
Infrastructure,share of eligible paragraphs,William McKinley,William McKinley,1895,1899,90,539,16.697588126159555,10,True,included
Infrastructure,share of eligible paragraphs,William McKinley,William McKinley,1900,1904,27,228,11.842105263157894,4,True,included
Infrastructure,share of eligible paragraphs,William Taft,William Howard Taft,1905,1909,23,224,10.267857142857142,5,True,included
Infrastructure,share of eligible paragraphs,William Taft,William Howard Taft,1910,1914,146,745,19.59731543624161,7,True,included
Infrastructure,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1910,1914,13,187,6.951871657754011,13,True,included
Infrastructure,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1915,1919,62,452,13.716814159292035,19,True,included
Infrastructure,share of eligible paragraphs,Woodrow Wilson,Woodrow Wilson,1920,1924,1,22,4.545454545454546,1,False,below_25_paragraph_floor
Infrastructure,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1845,1849,22,62,35.483870967741936,2,True,included
Infrastructure,share of eligible paragraphs,Zachary Taylor,Zachary Taylor,1850,1854,5,18,27.77777777777778,2,False,below_25_paragraph_floor
