source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1790,1799,1790,1799,7,341,2.0527859237536656,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1800,1809,1800,1809,2,351,0.5698005698005698,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1810,1819,1810,1819,6,385,1.5584415584415585,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1830,1839,1830,1839,52,1447,3.59364201796821,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1840,1849,1840,1849,35,1452,2.4104683195592287,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1850,1859,1850,1859,9,1593,0.5649717514124294,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1860,1869,1860,1869,41,1454,2.8198074277854195,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1870,1879,1870,1879,82,1104,7.427536231884058,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1880,1889,1880,1889,60,1434,4.184100418410042,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1890,1899,1890,1899,196,1689,11.604499703966844,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1900,1909,1900,1909,17,1982,0.8577194752774974,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1910,1919,1910,1919,4,1393,0.2871500358937545,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1920,1929,1920,1929,1,1050,0.09523809523809523,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1930,1939,1930,1939,27,904,2.9867256637168142,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1940,1949,1940,1949,1,874,0.11441647597254005,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1950,1959,1951,1959,3,750,0.4,True,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1960,1969,1960,1969,21,4248,0.49435028248587576,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1970,1979,1970,1979,3,1637,0.1832620647525962,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1980,1989,1980,1989,2,2523,0.07927070947284978,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",1990,1999,1990,1999,0,1849,0.0,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",2000,2009,2000,2009,0,1498,0.0,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",2010,2019,2010,2019,0,2516,0.0,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,"Coinage, Currency & Specie",2020,2029,2020,2026,0,3096,0.0,True,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1790,1799,1790,1799,3,341,0.8797653958944283,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1810,1819,1810,1819,17,385,4.415584415584416,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1820,1829,1820,1829,5,645,0.7751937984496124,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1830,1839,1830,1839,347,1447,23.98064961990325,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1840,1849,1840,1849,148,1452,10.192837465564738,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1850,1859,1850,1859,27,1593,1.694915254237288,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1860,1869,1860,1869,10,1454,0.6877579092159559,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1870,1879,1870,1879,29,1104,2.6268115942028984,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1880,1889,1880,1889,25,1434,1.7433751743375174,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1890,1899,1890,1899,91,1689,5.387803433984606,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1900,1909,1900,1909,39,1982,1.9677093844601412,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1910,1919,1910,1919,46,1393,3.3022254127781765,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1920,1929,1920,1929,27,1050,2.571428571428571,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1930,1939,1930,1939,95,904,10.508849557522124,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1940,1949,1940,1949,1,874,0.11441647597254005,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1950,1959,1951,1959,5,750,0.6666666666666667,True,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1960,1969,1960,1969,24,4248,0.5649717514124294,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1970,1979,1970,1979,11,1637,0.6719609040928528,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1980,1989,1980,1989,16,2523,0.6341656757827983,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,1990,1999,1990,1999,7,1849,0.3785830178474851,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,2000,2009,2000,2009,32,1498,2.1361815754339117,False,descriptive,not_estimated
Money & banking,share of eligible paragraphs,10,National Bank & Banking Crises,2010,2019,2010,2019,46,2516,1.8282988871224166,False,descriptive,not_estimated
