source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Money & banking,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,0.0,,,,,14,2,,low_cluster_caution,True,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,6.2015503875969,2.8560413642960816,9.336593869546268,2.8560413642960816,9.336593869546268,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,0.0,0.0,0.0,0.0,0.0,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,1.282051282051282,0.0,3.031624863685931,0.0,3.031624863685931,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,2.051282051282051,0.0,4.73536281532233,0.0,4.73536281532233,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,0.5494505494505495,0.0,2.3384233762687168,0.0,2.3384233762687168,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,9.852216748768473,3.2401838645931784,23.1998729813101,3.2401838645931784,23.1998729813101,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,1.8050541516245486,0.7795257637938897,2.6098876149392667,0.7795257637938897,2.6098876149392667,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,1.6304347826086956,0.6655038759689923,2.573582520765619,0.6655038759689923,2.573582520765619,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,16.29353233830846,5.530591163074612,30.618936647369022,5.530591163074612,30.618936647369022,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,25.972006220839816,14.40720296805719,36.76511085449862,14.40720296805719,36.76511085449862,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1840,1840,1840,1844,1840.0,14.112291350531109,10.522773972602739,17.865436893203885,10.522773972602739,17.865436893203885,659,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1845,1845,1845,1849,1845.0,6.557377049180328,1.6483312171231637,11.11111111111111,1.6483312171231637,11.11111111111111,793,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Money & banking,share of eligible paragraphs,year5,1850,1850,1850,1854,1850.0,1.1061946902654867,0.526379583659132,1.8560244794150371,0.526379583659132,1.8560244794150371,904,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
