source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Money & banking,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,4,360,1.1111111111111112,2,True,included
Money & banking,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,0,37,0.0,1,True,included
Money & banking,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,10,456,2.1929824561403506,11,True,included
Money & banking,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Money & banking,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,3,97,3.0927835051546393,3,True,included
Money & banking,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,131,804,16.29353233830846,19,True,included
Money & banking,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,62,249,24.899598393574294,4,True,included
Money & banking,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,38,725,5.241379310344827,31,True,included
Money & banking,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,17,339,5.014749262536873,11,True,included
Money & banking,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,25,1230,2.0325203252032518,33,True,included
Money & banking,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,3,310,0.967741935483871,7,True,included
Money & banking,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,9,147,6.122448979591836,4,True,included
Money & banking,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,39,451,8.647450110864744,12,True,included
Money & banking,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,19,353,5.382436260623229,15,True,included
Money & banking,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,19,834,2.278177458033573,22,True,included
Money & banking,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,4,101,3.9603960396039604,2,True,included
Money & banking,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,2,108,1.8518518518518516,2,True,included
Money & banking,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,13,482,2.6970954356846475,10,True,included
Money & banking,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,34,478,7.112970711297072,11,True,included
Money & banking,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,8,976,0.819672131147541,20,True,included
Money & banking,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,7,1346,0.5200594353640415,23,True,included
Money & banking,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,29,531,5.4613935969868175,10,True,included
Money & banking,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,10,209,4.784688995215311,5,True,included
Money & banking,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,22,403,5.459057071960298,8,True,included
