source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1810,1819,1810,1819,0,385,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1830,1839,1830,1839,0,1447,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1840,1849,1840,1849,0,1452,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1850,1859,1850,1859,19,1593,1.1927181418706843,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1860,1869,1860,1869,2,1454,0.1375515818431912,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1870,1879,1870,1879,10,1104,0.9057971014492754,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1880,1889,1880,1889,26,1434,1.813110181311018,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1890,1899,1890,1899,3,1689,0.17761989342806395,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1900,1909,1900,1909,1,1982,0.050454086781029264,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1910,1919,1910,1919,0,1393,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1920,1929,1920,1929,0,1050,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1930,1939,1930,1939,0,904,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1940,1949,1940,1949,0,874,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1950,1959,1951,1959,0,750,0.0,True,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1960,1969,1960,1969,0,4248,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1970,1979,1970,1979,0,1637,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1980,1989,1980,1989,0,2523,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,1990,1999,1990,1999,0,1849,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,2000,2009,2000,2009,0,1498,0.0,False,descriptive,not_estimated
Religion & values,share of eligible paragraphs,10,Polygamy in the Territories,2010,2019,2010,2019,0,2516,0.0,False,descriptive,not_estimated
