source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Religion & values,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,14.285714285714285,0.0,66.66666666666666,0.0,66.66666666666666,14,2,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,4.651162790697675,1.584493750524285,9.453124999999996,1.584493750524285,9.453124999999996,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,7.0754716981132075,3.089104771763582,13.084150326797387,3.089104771763582,13.084150326797387,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,5.769230769230769,3.103062256247292,8.697203579418343,3.103062256247292,8.697203579418343,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,4.615384615384616,1.1867779656241193,8.302479537794893,1.1867779656241193,8.302479537794893,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,5.4945054945054945,1.4972001178897731,12.895935960591132,1.4972001178897731,12.895935960591132,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,2.955665024630542,0.9242015583525988,5.11898148148148,0.9242015583525988,5.11898148148148,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,1.8050541516245486,0.622037112284979,2.861777497194163,0.622037112284979,2.861777497194163,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,4.619565217391304,2.061632314112938,8.333333333333332,2.061632314112938,8.333333333333332,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,3.482587064676617,2.0893339708144514,4.72972972972973,2.0893339708144514,4.72972972972973,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,3.265940902021773,2.0315264834257403,4.683911882510013,2.0315264834257403,4.683911882510013,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1840,1840,1840,1844,1840.0,3.793626707132018,2.3432330646813444,5.668345734678609,2.3432330646813444,5.668345734678609,659,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1845,1845,1845,1849,1845.0,3.4047919293820934,2.1992806505421183,5.207563901811027,2.1992806505421183,5.207563901811027,793,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1850,1850,1850,1854,1850.0,8.075221238938052,3.2295548559505076,11.58067626561393,3.2295548559505076,11.58067626561393,904,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1855,1855,1855,1859,1855.0,4.78955007256894,2.3754137904488184,7.309785768269285,2.3754137904488184,7.309785768269285,689,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1860,1860,1860,1864,1860.0,5.443234836702955,4.113796260299226,6.92263541342001,4.113796260299226,6.92263541342001,643,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Religion & values,share of eligible paragraphs,year5,1865,1865,1865,1869,1865.0,6.041923551171394,3.7712895377128954,8.176204819277109,3.7712895377128954,8.176204819277109,811,37,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
