source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Religion & values,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,50,360,13.88888888888889,2,True,included
Religion & values,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,0,37,0.0,1,True,included
Religion & values,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,27,456,5.921052631578947,11,True,included
Religion & values,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,3,6,50.0,1,False,below_25_paragraph_floor
Religion & values,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,3,97,3.0927835051546393,3,True,included
Religion & values,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,28,804,3.482587064676617,19,True,included
Religion & values,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,7,249,2.8112449799196786,4,True,included
Religion & values,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,39,725,5.379310344827586,31,True,included
Religion & values,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,42,339,12.389380530973451,11,True,included
Religion & values,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,78,1230,6.341463414634147,33,True,included
Religion & values,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,47,310,15.161290322580644,7,True,included
Religion & values,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,7,147,4.761904761904762,4,True,included
Religion & values,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,9,451,1.9955654101995564,12,True,included
Religion & values,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,29,353,8.21529745042493,15,True,included
Religion & values,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,65,834,7.793764988009593,22,True,included
Religion & values,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,5,101,4.9504950495049505,2,True,included
Religion & values,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,9,108,8.333333333333332,2,True,included
Religion & values,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,49,482,10.16597510373444,10,True,included
Religion & values,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,10,478,2.092050209205021,11,True,included
Religion & values,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,48,976,4.918032786885246,20,True,included
Religion & values,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,52,1346,3.863298662704309,23,True,included
Religion & values,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,26,531,4.8964218455743875,10,True,included
Religion & values,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,24,209,11.483253588516746,5,True,included
Religion & values,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,31,403,7.6923076923076925,8,True,included
Religion & values,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,12,84,14.285714285714285,2,True,included
Religion & values,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,11,140,7.857142857142857,7,True,included
Religion & values,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,22,275,8.0,13,True,included
Religion & values,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1940,1944,50,603,8.291873963515755,26,True,included
Religion & values,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1945,1949,6,66,9.090909090909092,3,True,included
Religion & values,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1850,1854,20,258,7.751937984496124,10,True,included
Religion & values,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1855,1859,17,214,7.943925233644859,5,True,included
