series,x,value,source_issue
unnamed,1785.0,66.66666666666666,Religion & values
unnamed,1790.0,9.453124999999996,Religion & values
unnamed,1795.0,13.084150326797387,Religion & values
unnamed,1800.0,8.697203579418343,Religion & values
unnamed,1805.0,8.302479537794893,Religion & values
unnamed,1810.0,12.895935960591132,Religion & values
unnamed,1815.0,5.11898148148148,Religion & values
unnamed,1820.0,2.861777497194163,Religion & values
unnamed,1825.0,8.333333333333332,Religion & values
unnamed,1830.0,4.72972972972973,Religion & values
unnamed,1835.0,4.683911882510013,Religion & values
unnamed,1840.0,5.668345734678609,Religion & values
unnamed,1845.0,5.207563901811027,Religion & values
unnamed,1850.0,11.58067626561393,Religion & values
unnamed,1855.0,7.309785768269285,Religion & values
unnamed,1860.0,6.92263541342001,Religion & values
unnamed,1865.0,8.176204819277109,Religion & values
unnamed,1870.0,6.560974075006293,Religion & values
unnamed,1875.0,6.657506436918201,Religion & values
unnamed,1880.0,6.611353711790391,Religion & values
unnamed,1885.0,6.312909116782088,Religion & values
unnamed,1890.0,4.81948924269979,Religion & values
unnamed,1895.0,3.933595251286505,Religion & values
unnamed,1900.0,6.830585445670861,Religion & values
unnamed,1905.0,4.262513084929473,Religion & values
unnamed,1910.0,7.599079024474942,Religion & values
unnamed,1915.0,7.99566210045662,Religion & values
unnamed,1920.0,17.31730962933118,Religion & values
unnamed,1925.0,17.054535745949863,Religion & values
unnamed,1930.0,8.713041507230342,Religion & values
unnamed,1935.0,14.6867627785059,Religion & values
unnamed,1940.0,10.873698615670294,Religion & values
unnamed,1945.0,23.484973613181314,Religion & values
unnamed,1950.0,21.741570881226043,Religion & values
unnamed,1955.0,11.827830188679243,Religion & values
unnamed,1960.0,6.8745580199292835,Religion & values
unnamed,1965.0,5.380018202042672,Religion & values
unnamed,1970.0,9.156558240903694,Religion & values
unnamed,1975.0,10.261623141918783,Religion & values
unnamed,1980.0,13.083093869731801,Religion & values
unnamed,1985.0,18.970183459657417,Religion & values
unnamed,1990.0,10.106901148482361,Religion & values
unnamed,1995.0,12.587817054641132,Religion & values
unnamed,2000.0,15.3449846407532,Religion & values
unnamed,2005.0,13.337957248320553,Religion & values
unnamed,2010.0,8.379350562025074,Religion & values
unnamed,2015.0,12.406915750148949,Religion & values
unnamed,2020.0,7.68622749363568,Religion & values
unnamed,2025.0,7.647668756598365,Religion & values
unnamed,2025.0,3.173453749315818,Religion & values
unnamed,2020.0,3.9324709546304106,Religion & values
unnamed,2015.0,4.609825955831111,Religion & values
unnamed,2010.0,4.665358412194325,Religion & values
unnamed,2005.0,6.959822314869962,Religion & values
