source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1790,1799,1790,1799,43,341,12.609970674486803,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1800,1809,1800,1809,64,351,18.233618233618234,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1810,1819,1810,1819,64,385,16.623376623376622,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1820,1829,1820,1829,115,645,17.829457364341085,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1830,1839,1830,1839,63,1447,4.353835521769177,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1840,1849,1840,1849,128,1452,8.81542699724518,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1850,1859,1850,1859,107,1593,6.716886377903326,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1860,1869,1860,1869,83,1454,5.708390646492434,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1870,1879,1870,1879,89,1104,8.06159420289855,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1880,1889,1880,1889,138,1434,9.623430962343097,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1890,1899,1890,1899,173,1689,10.242747187685021,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1900,1909,1900,1909,244,1982,12.31079717457114,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1910,1919,1910,1919,131,1393,9.40416367552046,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1920,1929,1920,1929,92,1050,8.761904761904763,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1930,1939,1930,1939,37,904,4.092920353982301,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1940,1949,1940,1949,141,874,16.132723112128147,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1950,1959,1951,1959,107,750,14.266666666666666,True,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1960,1969,1960,1969,292,4248,6.87382297551789,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1970,1979,1970,1979,89,1637,5.436774587660354,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1980,1989,1980,1989,240,2523,9.512485136741974,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1990,1999,1990,1999,143,1849,7.733910221741482,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",2000,2009,2000,2009,122,1498,8.144192256341789,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",2010,2019,2010,2019,151,2516,6.001589825119237,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",2020,2029,2020,2026,276,3096,8.914728682170542,True,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1790,1799,1790,1799,0,341,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1800,1809,1800,1809,0,351,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1810,1819,1810,1819,0,385,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1820,1829,1820,1829,0,645,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1830,1839,1830,1839,0,1447,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1840,1849,1840,1849,0,1452,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1850,1859,1850,1859,0,1593,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1860,1869,1860,1869,0,1454,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1870,1879,1870,1879,0,1104,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1880,1889,1880,1889,0,1434,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1890,1899,1890,1899,0,1689,0.0,False,descriptive,not_estimated
Discovered 5,share of eligible paragraphs,10,"Iraq, Gulf Wars, the War on Terror & Interventions",1900,1909,1900,1909,0,1982,0.0,False,descriptive,not_estimated
