source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Discovered 5,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,0.0,,,,,14,2,,low_cluster_caution,True,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,4.651162790697675,0.7165433240826395,10.572916666666659,0.7165433240826395,10.572916666666659,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,8.018867924528301,2.739371284453252,13.823674752920034,2.739371284453252,13.823674752920034,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,8.974358974358974,2.8829078801331858,14.24863387978142,2.8829078801331858,14.24863387978142,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,4.102564102564102,1.6591766103621053,7.319576129392079,1.6591766103621053,7.319576129392079,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,9.340659340659341,5.906811377245509,13.638410084898378,5.906811377245509,13.638410084898378,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,2.955665024630542,0.0,7.0771696252465475,0.0,7.0771696252465475,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,6.4981949458483745,3.640366751115937,9.95373249555017,3.640366751115937,9.95373249555017,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,7.880434782608696,4.920050114669158,11.06802721088435,4.920050114669158,11.06802721088435,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,1.7412935323383085,0.6963644741948001,2.892224279291193,0.6963644741948001,2.892224279291193,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,3.7325038880248838,1.8987378083763626,6.549760311594924,1.8987378083763626,6.549760311594924,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1840,1840,1840,1844,1840.0,2.8831562974203337,1.4392164394084888,4.428446715468772,1.4392164394084888,4.428446715468772,659,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1845,1845,1845,1849,1845.0,6.809583858764187,4.249243378737951,9.917355371900827,4.249243378737951,9.917355371900827,793,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1850,1850,1850,1854,1850.0,5.8628318584070795,3.5960883234442393,8.75997966907842,3.5960883234442393,8.75997966907842,904,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1855,1855,1855,1859,1855.0,4.934687953555878,3.2156247979830623,7.227252394048839,3.2156247979830623,7.227252394048839,689,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1860,1860,1860,1864,1860.0,3.576982892690513,2.1542587135100018,4.987139336411282,2.1542587135100018,4.987139336411282,643,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1865,1865,1865,1869,1865.0,4.808877928483354,2.2453557603298835,6.5093922852543535,2.2453557603298835,6.5093922852543535,811,37,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1870,1870,1870,1874,1870.0,9.108910891089108,5.28456947826434,16.097820997096743,5.28456947826434,16.097820997096743,505,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1875,1875,1875,1879,1875.0,2.8380634390651087,1.3516497345780707,4.151082677165354,1.3516497345780707,4.151082677165354,599,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1880,1880,1880,1884,1880.0,5.9748427672955975,3.9305820966561766,9.201395933272678,3.9305820966561766,9.201395933272678,636,16,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1885,1885,1885,1889,1885.0,3.8847117794486214,2.111569003591265,5.491976521813935,2.111569003591265,5.491976521813935,798,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1890,1890,1890,1894,1890.0,4.976303317535545,4.078947368421053,6.084875290715518,4.078947368421053,6.084875290715518,844,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1895,1895,1895,1899,1895.0,10.059171597633137,8.076128262114928,13.45982472811741,8.076128262114928,13.45982472811741,845,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1900,1900,1900,1904,1900.0,9.156626506024097,6.699755137315153,11.792976588628758,6.699755137315153,11.792976588628758,830,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1905,1905,1905,1909,1905.0,6.163194444444445,3.7018588797526175,8.22995374805688,3.7018588797526175,8.22995374805688,1152,16,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1910,1910,1910,1914,1910.0,5.042918454935622,2.2121064114226194,7.7370201279658755,2.2121064114226194,7.7370201279658755,932,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1915,1915,1915,1919,1915.0,28.850325379609544,20.272028257030293,39.07171903414831,20.272028257030293,39.07171903414831,461,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1920,1920,1920,1924,1920.0,19.220055710306408,13.862333213126579,26.209565412186382,13.862333213126579,26.209565412186382,359,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1925,1925,1925,1929,1925.0,12.301013024602025,8.259650520914322,17.43922290243816,8.259650520914322,17.43922290243816,691,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1930,1930,1930,1934,1930.0,10.969793322734498,7.376345994556857,14.856780966277558,7.376345994556857,14.856780966277558,629,27,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1935,1935,1935,1939,1935.0,15.636363636363637,8.784926470588236,26.54667530745114,8.784926470588236,26.54667530745114,275,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1940,1940,1940,1944,1940.0,59.20398009950249,52.373961167045266,65.7980359829009,52.373961167045266,65.7980359829009,603,26,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1945,1945,1945,1949,1945.0,67.89667896678966,45.348930481283425,81.15377761938703,45.348930481283425,81.15377761938703,271,17,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1950,1950,1950,1954,1950.0,36.023054755043226,22.66449809200763,59.90200895294245,22.66449809200763,59.90200895294245,347,11,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1955,1955,1955,1959,1955.0,40.69478908188586,31.256780078895464,54.662379421221864,31.256780078895464,54.662379421221864,403,8,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1960,1960,1960,1964,1960.0,41.38086642599278,33.52481941508104,48.8897622314258,33.52481941508104,48.8897622314258,2216,67,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1965,1965,1965,1969,1965.0,34.89173228346456,28.638756517533754,41.82699872783757,28.638756517533754,41.82699872783757,2032,53,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1970,1970,1970,1974,1970.0,31.962616822429908,20.222076252236135,47.26758618549663,20.222076252236135,47.26758618549663,535,25,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1975,1975,1975,1979,1975.0,30.762250453720508,19.20573217355605,44.32779004882585,19.20573217355605,44.32779004882585,1102,27,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1980,1980,1980,1984,1980.0,36.50982727814175,26.784650493884847,47.61477987421384,26.784650493884847,47.61477987421384,1679,41,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Discovered 5,share of eligible paragraphs,year5,1985,1985,1985,1989,1985.0,38.62559241706161,28.34118179893816,53.12086568881219,28.34118179893816,53.12086568881219,844,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
