source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Discovered 5,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,18,360,5.0,2,True,included
Discovered 5,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,0,37,0.0,1,True,included
Discovered 5,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,16,456,3.508771929824561,11,True,included
Discovered 5,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Discovered 5,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,3,97,3.0927835051546393,3,True,included
Discovered 5,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,14,804,1.7412935323383085,19,True,included
Discovered 5,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,14,249,5.622489959839357,4,True,included
Discovered 5,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,34,725,4.689655172413794,31,True,included
Discovered 5,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,140,339,41.29793510324484,11,True,included
Discovered 5,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,303,1230,24.634146341463413,33,True,included
Discovered 5,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,55,310,17.741935483870968,7,True,included
Discovered 5,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,11,147,7.482993197278912,4,True,included
Discovered 5,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,25,451,5.543237250554324,12,True,included
Discovered 5,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,65,353,18.413597733711047,15,True,included
Discovered 5,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,187,834,22.422062350119905,22,True,included
Discovered 5,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,15,101,14.85148514851485,2,True,included
Discovered 5,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,13,108,12.037037037037036,2,True,included
Discovered 5,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,57,482,11.825726141078837,10,True,included
Discovered 5,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,28,478,5.857740585774058,11,True,included
Discovered 5,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,195,976,19.979508196721312,20,True,included
Discovered 5,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,88,1346,6.537890044576524,23,True,included
Discovered 5,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,119,531,22.4105461393597,10,True,included
