series,x,value,source_issue
unnamed,1790.0,10.572916666666659,Discovered 5
unnamed,1795.0,13.823674752920034,Discovered 5
unnamed,1800.0,14.24863387978142,Discovered 5
unnamed,1805.0,7.319576129392079,Discovered 5
unnamed,1810.0,13.638410084898378,Discovered 5
unnamed,1815.0,7.0771696252465475,Discovered 5
unnamed,1820.0,9.95373249555017,Discovered 5
unnamed,1825.0,11.06802721088435,Discovered 5
unnamed,1830.0,2.892224279291193,Discovered 5
unnamed,1835.0,6.549760311594924,Discovered 5
unnamed,1840.0,4.428446715468772,Discovered 5
unnamed,1845.0,9.917355371900827,Discovered 5
unnamed,1850.0,8.75997966907842,Discovered 5
unnamed,1855.0,7.227252394048839,Discovered 5
unnamed,1860.0,4.987139336411282,Discovered 5
unnamed,1865.0,6.5093922852543535,Discovered 5
unnamed,1870.0,16.097820997096743,Discovered 5
unnamed,1875.0,4.151082677165354,Discovered 5
unnamed,1880.0,9.201395933272678,Discovered 5
unnamed,1885.0,5.491976521813935,Discovered 5
unnamed,1890.0,6.084875290715518,Discovered 5
unnamed,1895.0,13.45982472811741,Discovered 5
unnamed,1900.0,11.792976588628758,Discovered 5
unnamed,1905.0,8.22995374805688,Discovered 5
unnamed,1910.0,7.7370201279658755,Discovered 5
unnamed,1915.0,39.07171903414831,Discovered 5
unnamed,1920.0,26.209565412186382,Discovered 5
unnamed,1925.0,17.43922290243816,Discovered 5
unnamed,1930.0,14.856780966277558,Discovered 5
unnamed,1935.0,26.54667530745114,Discovered 5
unnamed,1940.0,65.7980359829009,Discovered 5
unnamed,1945.0,81.15377761938703,Discovered 5
unnamed,1950.0,59.90200895294245,Discovered 5
unnamed,1955.0,54.662379421221864,Discovered 5
unnamed,1960.0,48.8897622314258,Discovered 5
unnamed,1965.0,41.82699872783757,Discovered 5
unnamed,1970.0,47.26758618549663,Discovered 5
unnamed,1975.0,44.32779004882585,Discovered 5
unnamed,1980.0,47.61477987421384,Discovered 5
unnamed,1985.0,53.12086568881219,Discovered 5
unnamed,1990.0,45.625399682081444,Discovered 5
unnamed,1995.0,33.883666666666656,Discovered 5
unnamed,2000.0,57.43348675348001,Discovered 5
unnamed,2005.0,53.3761208627937,Discovered 5
unnamed,2010.0,36.31197737043511,Discovered 5
unnamed,2015.0,27.273972192869277,Discovered 5
unnamed,2020.0,25.408902639852286,Discovered 5
unnamed,2025.0,33.24588156465885,Discovered 5
unnamed,2025.0,15.119803640612329,Discovered 5
unnamed,2020.0,10.98959019848243,Discovered 5
unnamed,2015.0,12.590418781725887,Discovered 5
unnamed,2010.0,15.623308420235697,Discovered 5
unnamed,2005.0,27.98656144393781,Discovered 5
unnamed,2000.0,30.753917478635966,Discovered 5
unnamed,1995.0,15.085863512579767,Discovered 5
unnamed,1990.0,24.97771646859083,Discovered 5
unnamed,1985.0,28.34118179893816,Discovered 5
unnamed,1980.0,26.784650493884847,Discovered 5
unnamed,1975.0,19.20573217355605,Discovered 5
unnamed,1970.0,20.222076252236135,Discovered 5
unnamed,1965.0,28.638756517533754,Discovered 5
unnamed,1960.0,33.52481941508104,Discovered 5
unnamed,1955.0,31.256780078895464,Discovered 5
unnamed,1950.0,22.66449809200763,Discovered 5
unnamed,1945.0,45.348930481283425,Discovered 5
unnamed,1940.0,52.373961167045266,Discovered 5
unnamed,1935.0,8.784926470588236,Discovered 5
unnamed,1930.0,7.376345994556857,Discovered 5
unnamed,1925.0,8.259650520914322,Discovered 5
unnamed,1920.0,13.862333213126579,Discovered 5
unnamed,1915.0,20.272028257030293,Discovered 5
unnamed,1910.0,2.2121064114226194,Discovered 5
unnamed,1905.0,3.7018588797526175,Discovered 5
unnamed,1900.0,6.699755137315153,Discovered 5
unnamed,1895.0,8.076128262114928,Discovered 5
unnamed,1890.0,4.078947368421053,Discovered 5
unnamed,1885.0,2.111569003591265,Discovered 5
unnamed,1880.0,3.9305820966561766,Discovered 5
