source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Taxes & budget,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,0.0,,,,,14,2,,low_cluster_caution,True,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Taxes & budget,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,12.4031007751938,6.75829519450801,15.877179187634793,6.75829519450801,15.877179187634793,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Taxes & budget,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,6.132075471698113,3.5078659370725034,9.15032679738562,3.5078659370725034,9.15032679738562,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Taxes & budget,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,12.179487179487179,5.446773713945882,18.619912731424844,5.446773713945882,18.619912731424844,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Taxes & budget,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,10.256410256410255,5.9438193085453355,13.870533322052061,5.9438193085453355,13.870533322052061,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Taxes & budget,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,7.142857142857142,3.5657380020990366,11.11111111111111,3.5657380020990366,11.11111111111111,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Taxes & budget,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,14.77832512315271,8.766047297297296,20.689655172413794,8.766047297297296,20.689655172413794,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Taxes & budget,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,13.718411552346572,8.045977011494253,21.447503790340043,8.045977011494253,21.447503790340043,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Taxes & budget,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,17.66304347826087,14.21320691391173,20.95351300748916,14.21320691391173,20.95351300748916,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Taxes & budget,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,19.776119402985074,15.757788611596288,24.15121544837015,15.757788611596288,24.15121544837015,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Taxes & budget,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,18.040435458786934,11.764202431649437,22.780377906976742,11.764202431649437,22.780377906976742,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
