source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Taxes & budget,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,0,360,0.0,2,True,included
Taxes & budget,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,0,37,0.0,1,True,included
Taxes & budget,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,29,456,6.359649122807018,11,True,included
Taxes & budget,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Taxes & budget,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,14,97,14.432989690721648,3,True,included
Taxes & budget,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,159,804,19.776119402985074,19,True,included
Taxes & budget,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,50,249,20.080321285140563,4,True,included
Taxes & budget,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,53,725,7.310344827586207,31,True,included
Taxes & budget,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,44,339,12.979351032448378,11,True,included
Taxes & budget,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,200,1230,16.260162601626014,33,True,included
Taxes & budget,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,21,310,6.774193548387098,7,True,included
Taxes & budget,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,14,147,9.523809523809524,4,True,included
Taxes & budget,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,49,451,10.864745011086473,12,True,included
Taxes & budget,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,71,353,20.113314447592067,15,True,included
Taxes & budget,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,157,834,18.82494004796163,22,True,included
Taxes & budget,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,25,101,24.752475247524753,2,True,included
Taxes & budget,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,20,108,18.51851851851852,2,True,included
Taxes & budget,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,66,482,13.692946058091287,10,True,included
Taxes & budget,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,84,478,17.573221757322173,11,True,included
Taxes & budget,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,81,976,8.299180327868852,20,True,included
