source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
Trade & tariffs,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,0.0,,,,,14,2,,low_cluster_caution,True,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,10.077519379844961,4.3478260869565215,17.427295918367342,4.3478260869565215,17.427295918367342,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,16.037735849056602,8.351744186046512,23.736486486486484,8.351744186046512,23.736486486486484,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,17.94871794871795,11.522871376811594,24.20390070921985,11.522871376811594,24.20390070921985,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,10.76923076923077,4.633419271672575,17.4954100367197,4.633419271672575,17.4954100367197,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,17.582417582417584,6.08459595959596,28.61356340288924,6.08459595959596,28.61356340288924,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,18.226600985221676,13.54422290388548,22.790573959052217,13.54422290388548,22.790573959052217,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,21.660649819494584,17.647058823529413,24.88529184181358,17.647058823529413,24.88529184181358,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,19.293478260869566,13.312185297079557,25.698837014725566,13.312185297079557,25.698837014725566,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,13.805970149253731,8.467077114613469,18.78392666502422,8.467077114613469,18.78392666502422,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1835,1835,1835,1839,1835.0,14.618973561430792,10.202247446772994,19.28536823940867,10.202247446772994,19.28536823940867,643,12,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1840,1840,1840,1844,1840.0,15.477996965098633,10.900604161898222,20.878150636411416,10.900604161898222,20.878150636411416,659,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1845,1845,1845,1849,1845.0,17.402269861286253,12.462035380640032,20.102718360071304,12.462035380640032,20.102718360071304,793,28,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1850,1850,1850,1854,1850.0,11.393805309734512,8.328523664221256,15.211069210292813,8.328523664221256,15.211069210292813,904,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1855,1855,1855,1859,1855.0,10.88534107402032,6.090374263112007,14.505818679649138,6.090374263112007,14.505818679649138,689,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1860,1860,1860,1864,1860.0,8.553654743390357,5.006805157593123,12.059090787832709,5.006805157593123,12.059090787832709,643,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1865,1865,1865,1869,1865.0,6.658446362515413,2.452621800165153,9.910507046145343,2.452621800165153,9.910507046145343,811,37,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1870,1870,1870,1874,1870.0,16.831683168316832,11.651801862904684,25.894953638275126,11.651801862904684,25.894953638275126,505,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1875,1875,1875,1879,1875.0,9.015025041736227,5.895978890666773,11.687585859510943,5.895978890666773,11.687585859510943,599,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1880,1880,1880,1884,1880.0,13.364779874213836,9.774222204732213,17.114583333333332,9.774222204732213,17.114583333333332,636,16,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1885,1885,1885,1889,1885.0,11.403508771929824,6.6573971078976655,17.613331317226883,6.6573971078976655,17.613331317226883,798,18,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1890,1890,1890,1894,1890.0,19.312796208530806,12.61315813549243,26.943817012336474,12.61315813549243,26.943817012336474,844,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1895,1895,1895,1899,1895.0,12.662721893491124,8.841308527923825,16.757344516232482,8.841308527923825,16.757344516232482,845,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1900,1900,1900,1904,1900.0,17.710843373493976,14.390655258061798,21.813465430749744,14.390655258061798,21.813465430749744,830,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1905,1905,1905,1909,1905.0,17.36111111111111,12.108139778928221,25.367323082456604,12.108139778928221,25.367323082456604,1152,16,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1910,1910,1910,1914,1910.0,24.356223175965667,18.25749177027505,35.06233105750893,18.25749177027505,35.06233105750893,932,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1915,1915,1915,1919,1915.0,15.40130151843818,10.082506203473946,20.94162541254125,10.082506203473946,20.94162541254125,461,21,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1920,1920,1920,1924,1920.0,13.370473537604457,7.655502392344498,18.47031772575251,7.655502392344498,18.47031772575251,359,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1925,1925,1925,1929,1925.0,10.419681620839363,6.954887218045112,13.06670625256203,6.954887218045112,13.06670625256203,691,20,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1930,1930,1930,1934,1930.0,18.282988871224166,12.428625558990367,24.20734298637039,12.428625558990367,24.20734298637039,629,27,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
Trade & tariffs,share of eligible paragraphs,year5,1935,1935,1935,1939,1935.0,4.363636363636364,2.385458167330677,6.403638814016172,2.385458167330677,6.403638814016172,275,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
