source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
Trade & tariffs,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,28,360,7.777777777777778,2,True,included
Trade & tariffs,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,2,37,5.405405405405405,1,True,included
Trade & tariffs,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,30,456,6.578947368421052,11,True,included
Trade & tariffs,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,0,6,0.0,1,False,below_25_paragraph_floor
Trade & tariffs,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,13,97,13.402061855670103,3,True,included
Trade & tariffs,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,111,804,13.805970149253731,19,True,included
Trade & tariffs,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,28,249,11.244979919678714,4,True,included
Trade & tariffs,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,38,725,5.241379310344827,31,True,included
Trade & tariffs,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,12,339,3.5398230088495577,11,True,included
Trade & tariffs,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,55,1230,4.471544715447155,33,True,included
Trade & tariffs,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,11,310,3.5483870967741935,7,True,included
Trade & tariffs,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,17,147,11.564625850340136,4,True,included
Trade & tariffs,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,115,451,25.49889135254989,12,True,included
Trade & tariffs,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,24,353,6.79886685552408,15,True,included
Trade & tariffs,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,42,834,5.0359712230215825,22,True,included
Trade & tariffs,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,10,101,9.900990099009901,2,True,included
Trade & tariffs,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,17,108,15.74074074074074,2,True,included
Trade & tariffs,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,53,482,10.995850622406639,10,True,included
Trade & tariffs,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,63,478,13.179916317991633,11,True,included
Trade & tariffs,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,68,976,6.967213114754098,20,True,included
Trade & tariffs,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,26,1346,1.9316493313521546,23,True,included
Trade & tariffs,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,18,531,3.389830508474576,10,True,included
Trade & tariffs,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,16,209,7.655502392344498,5,True,included
Trade & tariffs,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,31,403,7.6923076923076925,8,True,included
Trade & tariffs,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,4,84,4.761904761904762,2,True,included
Trade & tariffs,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,12,140,8.571428571428571,7,True,included
Trade & tariffs,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,12,275,4.363636363636364,13,True,included
Trade & tariffs,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1940,1944,20,603,3.316749585406302,26,True,included
