series,x,value,source_issue
unnamed,1790.0,17.427295918367342,Trade & tariffs
unnamed,1795.0,23.736486486486484,Trade & tariffs
unnamed,1800.0,24.20390070921985,Trade & tariffs
unnamed,1805.0,17.4954100367197,Trade & tariffs
unnamed,1810.0,28.61356340288924,Trade & tariffs
unnamed,1815.0,22.790573959052217,Trade & tariffs
unnamed,1820.0,24.88529184181358,Trade & tariffs
unnamed,1825.0,25.698837014725566,Trade & tariffs
unnamed,1830.0,18.78392666502422,Trade & tariffs
unnamed,1835.0,19.28536823940867,Trade & tariffs
unnamed,1840.0,20.878150636411416,Trade & tariffs
unnamed,1845.0,20.102718360071304,Trade & tariffs
unnamed,1850.0,15.211069210292813,Trade & tariffs
unnamed,1855.0,14.505818679649138,Trade & tariffs
unnamed,1860.0,12.059090787832709,Trade & tariffs
unnamed,1865.0,9.910507046145343,Trade & tariffs
unnamed,1870.0,25.894953638275126,Trade & tariffs
unnamed,1875.0,11.687585859510943,Trade & tariffs
unnamed,1880.0,17.114583333333332,Trade & tariffs
unnamed,1885.0,17.613331317226883,Trade & tariffs
unnamed,1890.0,26.943817012336474,Trade & tariffs
unnamed,1895.0,16.757344516232482,Trade & tariffs
unnamed,1900.0,21.813465430749744,Trade & tariffs
unnamed,1905.0,25.367323082456604,Trade & tariffs
unnamed,1910.0,35.06233105750893,Trade & tariffs
unnamed,1915.0,20.94162541254125,Trade & tariffs
unnamed,1920.0,18.47031772575251,Trade & tariffs
unnamed,1925.0,13.06670625256203,Trade & tariffs
unnamed,1930.0,24.20734298637039,Trade & tariffs
unnamed,1935.0,6.403638814016172,Trade & tariffs
unnamed,1940.0,5.458904462537358,Trade & tariffs
unnamed,1945.0,6.413855752091047,Trade & tariffs
unnamed,1950.0,8.841199422737716,Trade & tariffs
unnamed,1955.0,9.718400293524123,Trade & tariffs
unnamed,1960.0,9.267466233217858,Trade & tariffs
unnamed,1965.0,2.7926061259904085,Trade & tariffs
unnamed,1970.0,6.454001983283751,Trade & tariffs
unnamed,1975.0,7.021115450385912,Trade & tariffs
unnamed,1980.0,3.461438771846627,Trade & tariffs
unnamed,1985.0,6.8735542273389765,Trade & tariffs
unnamed,1990.0,8.490406271278172,Trade & tariffs
unnamed,1995.0,7.271939342888204,Trade & tariffs
unnamed,2000.0,6.443879755037736,Trade & tariffs
unnamed,2005.0,8.696217195830002,Trade & tariffs
unnamed,2010.0,5.9460034122033445,Trade & tariffs
unnamed,2015.0,7.6288760442375185,Trade & tariffs
unnamed,2020.0,2.4860696870820274,Trade & tariffs
unnamed,2025.0,4.57673514160351,Trade & tariffs
unnamed,2025.0,1.7483660130718954,Trade & tariffs
unnamed,2020.0,1.176072532887461,Trade & tariffs
unnamed,2015.0,4.5489162447269935,Trade & tariffs
unnamed,2010.0,3.1409716083139734,Trade & tariffs
unnamed,2005.0,3.1060928750148933,Trade & tariffs
unnamed,2000.0,2.5501635768811344,Trade & tariffs
unnamed,1995.0,3.0157933904798653,Trade & tariffs
unnamed,1990.0,3.5913437532849786,Trade & tariffs
unnamed,1985.0,4.046248222383214,Trade & tariffs
unnamed,1980.0,1.8486305268460215,Trade & tariffs
unnamed,1975.0,3.1548675175140457,Trade & tariffs
unnamed,1970.0,1.1796662425823947,Trade & tariffs
unnamed,1965.0,1.1661110275030757,Trade & tariffs
unnamed,1960.0,3.4211758968169317,Trade & tariffs
unnamed,1955.0,4.474572477392784,Trade & tariffs
unnamed,1950.0,2.2037770105363412,Trade & tariffs
unnamed,1945.0,0.5907226392040497,Trade & tariffs
unnamed,1940.0,1.2889602293978306,Trade & tariffs
unnamed,1935.0,2.385458167330677,Trade & tariffs
unnamed,1930.0,12.428625558990367,Trade & tariffs
unnamed,1925.0,6.954887218045112,Trade & tariffs
unnamed,1920.0,7.655502392344498,Trade & tariffs
unnamed,1915.0,10.082506203473946,Trade & tariffs
unnamed,1910.0,18.25749177027505,Trade & tariffs
unnamed,1905.0,12.108139778928221,Trade & tariffs
unnamed,1900.0,14.390655258061798,Trade & tariffs
unnamed,1895.0,8.841308527923825,Trade & tariffs
unnamed,1890.0,12.61315813549243,Trade & tariffs
unnamed,1885.0,6.6573971078976655,Trade & tariffs
unnamed,1880.0,9.774222204732213,Trade & tariffs
unnamed,1875.0,5.895978890666773,Trade & tariffs
unnamed,1870.0,11.651801862904684,Trade & tariffs
unnamed,1865.0,2.452621800165153,Trade & tariffs
unnamed,1860.0,5.006805157593123,Trade & tariffs
unnamed,1855.0,6.090374263112007,Trade & tariffs
unnamed,1850.0,8.328523664221256,Trade & tariffs
unnamed,1845.0,12.462035380640032,Trade & tariffs
unnamed,1840.0,10.900604161898222,Trade & tariffs
unnamed,1835.0,10.202247446772994,Trade & tariffs
unnamed,1830.0,8.467077114613469,Trade & tariffs
unnamed,1825.0,13.312185297079557,Trade & tariffs
unnamed,1820.0,17.647058823529413,Trade & tariffs
unnamed,1815.0,13.54422290388548,Trade & tariffs
unnamed,1810.0,6.08459595959596,Trade & tariffs
unnamed,1805.0,4.633419271672575,Trade & tariffs
unnamed,1800.0,11.522871376811594,Trade & tariffs
unnamed,1795.0,8.351744186046512,Trade & tariffs
unnamed,1790.0,4.3478260869565215,Trade & tariffs
unnamed,1785.0,0.0,Trade & tariffs
unnamed,1790.0,10.077519379844961,Trade & tariffs
unnamed,1795.0,16.037735849056602,Trade & tariffs
unnamed,1800.0,17.94871794871795,Trade & tariffs
unnamed,1805.0,10.76923076923077,Trade & tariffs
unnamed,1810.0,17.582417582417584,Trade & tariffs
unnamed,1815.0,18.226600985221676,Trade & tariffs
unnamed,1820.0,21.660649819494584,Trade & tariffs
unnamed,1825.0,19.293478260869566,Trade & tariffs
unnamed,1830.0,13.805970149253731,Trade & tariffs
