source_issue,unit,bucket_years,topic,requested_start,requested_end,observed_start,observed_end,numerator,denominator,share_percent,partial_period,support_status,interval_status
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1780,1789,1789,1789,0,14,0.0,True,low_support,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1790,1799,1790,1799,43,341,12.609970674486803,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1800,1809,1800,1809,64,351,18.233618233618234,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1810,1819,1810,1819,64,385,16.623376623376622,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1820,1829,1820,1829,115,645,17.829457364341085,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1830,1839,1830,1839,63,1447,4.353835521769177,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1840,1849,1840,1849,128,1452,8.81542699724518,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1850,1859,1850,1859,107,1593,6.716886377903326,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1860,1869,1860,1869,83,1454,5.708390646492434,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1870,1879,1870,1879,89,1104,8.06159420289855,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1880,1889,1880,1889,138,1434,9.623430962343097,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1890,1899,1890,1899,173,1689,10.242747187685021,False,descriptive,not_estimated
War & military,share of eligible paragraphs,10,"Military Preparedness, Armed Forces & Veterans",1900,1909,1900,1909,244,1982,12.31079717457114,False,descriptive,not_estimated
