source_issue,unit,period_kind,period,period_order,period_start,period_end,x,share_percent,lo_sampling_percent,hi_sampling_percent,lo_percent,hi_percent,n_paragraphs,n_speeches,n_paired_paragraphs,ci_status,interval_unresolvable,disagreement_band_applied,disagreement_half_width_percent,ci_components,disagreement_status,agreement_source
War & military,share of eligible paragraphs,year5,1785,1785,1785,1789,1785.0,7.142857142857142,0.0,33.33333333333333,0.0,33.33333333333333,14,2,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
War & military,share of eligible paragraphs,year5,1790,1790,1790,1794,1790.0,18.6046511627907,10.411441250241174,29.938311688311686,10.411441250241174,29.938311688311686,129,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
War & military,share of eligible paragraphs,year5,1795,1795,1795,1799,1795.0,22.169811320754718,13.46589878469073,30.119205993558325,13.46589878469073,30.119205993558325,212,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
War & military,share of eligible paragraphs,year5,1800,1800,1800,1804,1800.0,18.58974358974359,10.444940476190476,25.71022727272727,10.444940476190476,25.71022727272727,156,13,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
War & military,share of eligible paragraphs,year5,1805,1805,1805,1809,1805.0,30.256410256410255,23.20929802386164,38.437340804890475,23.20929802386164,38.437340804890475,195,15,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
War & military,share of eligible paragraphs,year5,1810,1810,1810,1814,1810.0,50.0,35.51755765199161,63.30859375,35.51755765199161,63.30859375,182,14,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
War & military,share of eligible paragraphs,year5,1815,1815,1815,1819,1815.0,30.541871921182267,23.21371024239877,40.12552095620036,23.21371024239877,40.12552095620036,203,9,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
War & military,share of eligible paragraphs,year5,1820,1820,1820,1824,1820.0,31.768953068592058,23.697348402521193,37.47917942437232,23.697348402521193,37.47917942437232,277,7,,low_cluster_caution,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
War & military,share of eligible paragraphs,year5,1825,1825,1825,1829,1825.0,27.445652173913043,23.195473618426927,34.7979937057435,23.195473618426927,34.7979937057435,368,10,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
War & military,share of eligible paragraphs,year5,1830,1830,1830,1834,1830.0,12.189054726368159,7.9616540082193215,17.33657639885222,7.9616540082193215,17.33657639885222,804,19,,ok,False,False,,sampling_only,not_applicable_no_annotator_in_pipeline,n/a: CorEx labels have no annotator
