source_issue,unit,president,display_name,period_start,period_end,numerator,denominator,share_percent,n_speeches,dot_included,dot_status
War & military,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1850,1854,22,360,6.111111111111111,2,True,included
War & military,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1855,1859,1,37,2.7027027027027026,1,True,included
War & military,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1860,1864,126,456,27.631578947368425,11,True,included
War & military,share of eligible paragraphs,Abraham Lincoln,Abraham Lincoln,1865,1869,5,6,83.33333333333334,1,False,below_25_paragraph_floor
War & military,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1825,1829,20,97,20.618556701030926,3,True,included
War & military,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1830,1834,98,804,12.189054726368159,19,True,included
War & military,share of eligible paragraphs,Andrew Jackson,Andrew Jackson,1835,1839,43,249,17.269076305220885,4,True,included
War & military,share of eligible paragraphs,Andrew Johnson,Andrew Johnson,1865,1869,262,725,36.137931034482754,31,True,included
War & military,share of eligible paragraphs,Barack Obama,Barack Obama,2005,2009,79,339,23.303834808259587,11,True,included
War & military,share of eligible paragraphs,Barack Obama,Barack Obama,2010,2014,193,1230,15.691056910569106,33,True,included
War & military,share of eligible paragraphs,Barack Obama,Barack Obama,2015,2019,44,310,14.193548387096774,7,True,included
War & military,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1885,1889,28,147,19.047619047619047,4,True,included
War & military,share of eligible paragraphs,Benjamin Harrison,Benjamin Harrison,1890,1894,58,451,12.86031042128603,12,True,included
War & military,share of eligible paragraphs,Bill Clinton,Bill Clinton,1990,1994,66,353,18.69688385269122,15,True,included
War & military,share of eligible paragraphs,Bill Clinton,Bill Clinton,1995,1999,139,834,16.666666666666664,22,True,included
War & military,share of eligible paragraphs,Bill Clinton,Bill Clinton,2000,2004,6,101,5.9405940594059405,2,True,included
War & military,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1920,1924,22,108,20.37037037037037,2,True,included
War & military,share of eligible paragraphs,Calvin Coolidge,Calvin Coolidge,1925,1929,122,482,25.311203319502074,10,True,included
War & military,share of eligible paragraphs,Chester A. Arthur,Chester A. Arthur,1880,1884,64,478,13.389121338912133,11,True,included
War & military,share of eligible paragraphs,Donald Trump,Donald Trump,2015,2019,119,976,12.192622950819672,20,True,included
War & military,share of eligible paragraphs,Donald Trump,Donald Trump,2020,2024,109,1346,8.098068350668647,23,True,included
War & military,share of eligible paragraphs,Donald Trump,Donald Trump,2025,2029,142,531,26.741996233521657,10,True,included
War & military,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1950,1954,70,209,33.49282296650718,5,True,included
War & military,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1955,1959,108,403,26.799007444168733,8,True,included
War & military,share of eligible paragraphs,Dwight D. Eisenhower,Dwight D. Eisenhower,1960,1964,26,84,30.952380952380953,2,True,included
War & military,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1930,1934,11,140,7.857142857142857,7,True,included
War & military,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1935,1939,37,275,13.454545454545455,13,True,included
War & military,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1940,1944,393,603,65.17412935323384,26,True,included
War & military,share of eligible paragraphs,Franklin D. Roosevelt,Franklin D. Roosevelt,1945,1949,34,66,51.515151515151516,3,True,included
War & military,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1850,1854,59,258,22.868217054263564,10,True,included
War & military,share of eligible paragraphs,Franklin Pierce,Franklin Pierce,1855,1859,49,214,22.897196261682243,5,True,included
War & military,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1985,1989,43,272,15.808823529411764,6,True,included
War & military,share of eligible paragraphs,George H. W. Bush,George H. W. Bush,1990,1994,181,662,27.341389728096676,17,True,included
War & military,share of eligible paragraphs,George W. Bush,George W. Bush,2000,2004,135,531,25.423728813559322,21,True,included
War & military,share of eligible paragraphs,George W. Bush,George W. Bush,2005,2009,112,527,21.25237191650854,17,True,included
War & military,share of eligible paragraphs,George Washington,George Washington,1785,1789,1,14,7.142857142857142,2,False,below_25_paragraph_floor
War & military,share of eligible paragraphs,George Washington,George Washington,1790,1794,24,129,18.6046511627907,13,True,included
War & military,share of eligible paragraphs,George Washington,George Washington,1795,1799,20,110,18.181818181818183,6,True,included
War & military,share of eligible paragraphs,Gerald Ford,Gerald Ford,1970,1974,12,101,11.881188118811881,5,True,included
War & military,share of eligible paragraphs,Gerald Ford,Gerald Ford,1975,1979,77,309,24.919093851132686,9,True,included
War & military,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1885,1889,95,651,14.592933947772657,14,True,included
War & military,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1890,1894,78,393,19.84732824427481,8,True,included
War & military,share of eligible paragraphs,Grover Cleveland,Grover Cleveland,1895,1899,42,306,13.725490196078432,10,True,included
War & military,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1945,1949,74,205,36.09756097560975,14,True,included
War & military,share of eligible paragraphs,Harry S. Truman,Harry S. Truman,1950,1954,31,103,30.097087378640776,5,True,included
War & military,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1925,1929,40,209,19.138755980861244,10,True,included
War & military,share of eligible paragraphs,Herbert Hoover,Herbert Hoover,1930,1934,69,489,14.11042944785276,20,True,included
War & military,share of eligible paragraphs,James A. Garfield,James A. Garfield,1880,1884,5,29,17.24137931034483,1,True,included
War & military,share of eligible paragraphs,James Buchanan,James Buchanan,1855,1859,107,438,24.429223744292237,7,True,included
War & military,share of eligible paragraphs,James Buchanan,James Buchanan,1860,1864,48,187,25.668449197860966,7,True,included
War & military,share of eligible paragraphs,James K. Polk,James K. Polk,1845,1849,288,722,39.88919667590028,25,True,included
War & military,share of eligible paragraphs,James Madison,James Madison,1805,1809,6,24,25.0,2,False,below_25_paragraph_floor
War & military,share of eligible paragraphs,James Madison,James Madison,1810,1814,91,182,50.0,14,True,included
War & military,share of eligible paragraphs,James Madison,James Madison,1815,1819,30,68,44.11764705882353,5,True,included
War & military,share of eligible paragraphs,James Monroe,James Monroe,1815,1819,32,135,23.703703703703706,4,True,included
War & military,share of eligible paragraphs,James Monroe,James Monroe,1820,1824,88,272,32.35294117647059,6,True,included
War & military,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1975,1979,115,754,15.251989389920425,16,True,included
War & military,share of eligible paragraphs,Jimmy Carter,Jimmy Carter,1980,1984,59,280,21.071428571428573,6,True,included
War & military,share of eligible paragraphs,Joe Biden,Joe Biden,2020,2024,274,1188,23.063973063973066,27,True,included
War & military,share of eligible paragraphs,Joe Biden,Joe Biden,2025,2029,3,31,9.67741935483871,1,True,included
War & military,share of eligible paragraphs,John Adams,John Adams,1795,1799,27,102,26.47058823529412,7,True,included
War & military,share of eligible paragraphs,John Adams,John Adams,1800,1804,3,14,21.428571428571427,2,False,below_25_paragraph_floor
War & military,share of eligible paragraphs,John F. Kennedy,John F. Kennedy,1960,1964,383,1367,28.017556693489393,44,True,included
War & military,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1820,1824,0,5,0.0,1,False,below_25_paragraph_floor
War & military,share of eligible paragraphs,John Quincy Adams,John Quincy Adams,1825,1829,81,271,29.88929889298893,7,True,included
War & military,share of eligible paragraphs,John Tyler,John Tyler,1840,1844,94,531,17.702448210922785,17,True,included
War & military,share of eligible paragraphs,John Tyler,John Tyler,1845,1849,0,9,0.0,1,False,below_25_paragraph_floor
War & military,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1960,1964,156,731,21.3406292749658,20,True,included
War & military,share of eligible paragraphs,Lyndon B. Johnson,Lyndon B. Johnson,1965,1969,490,1981,24.73498233215548,51,True,included
War & military,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1835,1839,50,394,12.690355329949238,8,True,included
War & military,share of eligible paragraphs,Martin Van Buren,Martin Van Buren,1840,1844,11,71,15.492957746478872,2,True,included
War & military,share of eligible paragraphs,Millard Fillmore,Millard Fillmore,1850,1854,57,268,21.26865671641791,7,True,included
War & military,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1950,1954,3,35,8.571428571428571,1,True,included
War & military,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1965,1969,28,51,54.90196078431373,2,True,included
War & military,share of eligible paragraphs,Richard M. Nixon,Richard M. Nixon,1970,1974,144,434,33.17972350230415,20,True,included
War & military,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1960,1964,8,34,23.52941176470588,1,True,included
War & military,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1975,1979,4,39,10.256410256410255,2,True,included
War & military,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1980,1984,293,1399,20.943531093638313,35,True,included
War & military,share of eligible paragraphs,Ronald Reagan,Ronald Reagan,1985,1989,119,572,20.804195804195803,22,True,included
War & military,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1875,1879,73,371,19.67654986522911,12,True,included
War & military,share of eligible paragraphs,Rutherford B. Hayes,Rutherford B. Hayes,1880,1884,27,129,20.930232558139537,4,True,included
War & military,share of eligible paragraphs,Theodore Roosevelt,Theodore Roosevelt,1900,1904,153,602,25.41528239202658,11,True,included
