issue,era,n,n_llm,n_corex,n_both,jaccard,kappa,min_support,low_support,empty_arm
Economy & jobs,,35825,3745,5720,1993,0.2667291220556745,0.337413487827007,3745,False,False
Economy & jobs,The founding,922,1,106,1,0.009433962264150943,0.016578289754373143,1,True,False
Economy & jobs,Expansion,3703,18,418,12,0.02830188679245283,0.04615557750740862,18,True,False
Economy & jobs,Civil War & Reconstruction,3874,41,331,14,0.03910614525139665,0.057518249827084755,41,False,False
Economy & jobs,The Gilded Age,3576,125,450,57,0.11003861003861004,0.15185676801975623,125,False,False
Economy & jobs,Progressives & Depression,4714,901,1074,440,0.28664495114006516,0.3000720561718131,901,False,False
Economy & jobs,War & New Deal,1192,289,263,164,0.422680412371134,0.472284918078147,263,False,False
Economy & jobs,The Cold War,9039,1059,1224,550,0.3173687247547605,0.4073724735162403,1059,False,False
Economy & jobs,Post-Cold War,4909,869,1256,518,0.3223397635345364,0.3519096410014818,869,False,False
Economy & jobs,The present era,3896,442,598,237,0.29514321295143214,0.3741113212731124,442,False,False
Taxes & budget,,35825,2984,3903,2065,0.4282455412691829,0.5579469980601088,2984,False,False
Taxes & budget,The founding,922,87,90,63,0.5526315789473685,0.6812802472650372,87,False,False
Taxes & budget,Expansion,3703,398,629,267,0.3513157894736842,0.4471790393171783,398,False,False
Taxes & budget,Civil War & Reconstruction,3874,254,360,168,0.37668161434977576,0.5095210943292424,254,False,False
Taxes & budget,The Gilded Age,3576,266,416,147,0.27476635514018694,0.3743064324109816,266,False,False
Taxes & budget,Progressives & Depression,4714,321,393,201,0.391812865497076,0.5276143491708661,321,False,False
Taxes & budget,War & New Deal,1192,53,58,28,0.3373493975903614,0.48035889794236075,53,False,False
Taxes & budget,The Cold War,9039,911,990,681,0.5581967213114755,0.683210399081002,911,False,False
Taxes & budget,Post-Cold War,4909,469,737,382,0.46359223300970875,0.5850450224404603,469,False,False
Taxes & budget,The present era,3896,225,230,128,0.39143730886850153,0.5355180387974934,225,False,False
War & military,,35825,6099,8041,3966,0.3898171810497346,0.4555404241165636,6099,False,False
War & military,The founding,922,239,271,165,0.4782608695652174,0.5128594994745834,239,False,False
War & military,Expansion,3703,492,833,401,0.43398268398268397,0.526116379967422,492,False,False
War & military,Civil War & Reconstruction,3874,284,933,240,0.24564994882292732,0.3177220713291279,284,False,False
War & military,The Gilded Age,3576,353,673,276,0.368,0.4692830381503382,353,False,False
War & military,Progressives & Depression,4714,713,1025,521,0.42810188989317993,0.512582595707623,713,False,False
War & military,War & New Deal,1192,546,536,396,0.577259475218659,0.5092783973470825,536,False,False
War & military,The Cold War,9039,1927,2151,1049,0.3463189171343678,0.3735898331908116,1927,False,False
War & military,Post-Cold War,4909,980,973,598,0.44132841328413286,0.5161435312141082,973,False,False
War & military,The present era,3896,565,646,320,0.35914702581369246,0.442183147964081,565,False,False
Foreign policy,,35825,9456,5525,3307,0.28327908172006167,0.30646935853029644,5525,False,False
Foreign policy,The founding,922,272,186,115,0.33527696793002915,0.3453091325850536,186,False,False
Foreign policy,Expansion,3703,1029,938,537,0.37552447552447554,0.38230267622595526,938,False,False
Foreign policy,Civil War & Reconstruction,3874,829,755,427,0.3690579083837511,0.42103653381036743,755,False,False
Foreign policy,The Gilded Age,3576,964,830,490,0.37576687116564417,0.3954722473284066,830,False,False
Foreign policy,Progressives & Depression,4714,939,724,379,0.29517133956386293,0.34161096715748085,724,False,False
Foreign policy,War & New Deal,1192,252,107,49,0.15806451612903225,0.16814973262032085,107,False,False
Foreign policy,The Cold War,9039,3296,1320,935,0.25400706329801687,0.24836003142576601,1320,False,False
Foreign policy,Post-Cold War,4909,1087,432,247,0.19418238993710693,0.227979212603161,432,False,False
Foreign policy,The present era,3896,788,233,128,0.1433370660694289,0.174532377926377,233,False,False
Immigration,,35825,788,971,479,0.37421875,0.533294059274976,788,False,False
Immigration,The founding,922,1,10,1,0.1,0.18020154119739185,1,True,False
Immigration,Expansion,3703,0,26,0,0.0,,0,True,True
Immigration,Civil War & Reconstruction,3874,28,87,18,0.18556701030927836,0.3054480094771671,28,False,False
Immigration,The Gilded Age,3576,122,170,61,0.26406926406926406,0.3937242199155889,122,False,False
Immigration,Progressives & Depression,4714,89,166,62,0.32124352331606215,0.47332843221705,89,False,False
Immigration,War & New Deal,1192,0,13,0,0.0,,0,True,True
Immigration,The Cold War,9039,32,69,19,0.23170731707317074,0.3732057416267943,32,False,False
Immigration,Post-Cold War,4909,152,192,121,0.5426008968609866,0.6928728452188762,152,False,False
Immigration,The present era,3896,364,238,197,0.48641975308641977,0.6269243801470263,238,False,False
Civil rights & race,,35825,3519,1620,895,0.21088595664467483,0.3052937985513463,1620,False,False
Civil rights & race,The founding,922,144,12,2,0.012987012987012988,0.0016527041659543107,12,True,False
Civil rights & race,Expansion,3703,298,91,25,0.06868131868131869,0.09443880565360319,91,False,False
Civil rights & race,Civil War & Reconstruction,3874,1289,522,478,0.35858964741185295,0.41583549349587956,522,False,False
Civil rights & race,The Gilded Age,3576,422,124,49,0.09859154929577464,0.13301584552775125,124,False,False
Civil rights & race,Progressives & Depression,4714,127,196,44,0.15770609318996415,0.24785346385685325,127,False,False
Civil rights & race,War & New Deal,1192,7,46,1,0.019230769230769232,0.02782575321435421,7,True,False
Civil rights & race,The Cold War,9039,571,382,175,0.2249357326478149,0.3335083981592881,382,False,False
Civil rights & race,Post-Cold War,4909,337,189,89,0.2036613272311213,0.3040703159754077,189,False,False
Civil rights & race,The present era,3896,324,58,32,0.09142857142857143,0.14597211805708754,58,False,False
Health care,,35825,1195,1620,704,0.33349123638086214,0.4802219527958458,1195,False,False
Health care,The founding,922,0,16,0,0.0,,0,True,True
Health care,Expansion,3703,0,39,0,0.0,,0,True,True
Health care,Civil War & Reconstruction,3874,0,31,0,0.0,,0,True,True
